panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource
"target-frame","TargetFrame","Button","","0","0","232","100","TOPLEFT","","","250","-4","","","","","","","LOW","","","","","","","patch.MPQ:Interface\FrameXML\TargetFrame.xml","",""
"target-frame","TargetFrameBackground","Texture","TargetFrame","7","22","119","41","TOPRIGHT","","","-106","-22","","","","","","BACKGROUND","LOW","","","","","","","patch.MPQ:Interface\FrameXML\TargetFrame.xml","",""
"target-frame","TargetFrameNameBackground","Texture","TargetFrame","7","22","119","19","TOPRIGHT","","","-106","-22","Interface\TargetingFrame\UI-TargetingFrame-LevelBackground.blp","","","","","BACKGROUND","LOW","","","","","","","patch.MPQ:Interface\FrameXML\TargetFrame.xml","interface.MPQ:Interface\TargetingFrame\UI-TargetingFrame-LevelBackground.blp",""
"target-frame","TargetPortrait","Texture","TargetFrame","126","12","64","64","TOPRIGHT","","","-42","-12","","","","","","BORDER","LOW","","","","","","","patch.MPQ:Interface\FrameXML\TargetFrame.xml","",""
"target-frame","TargetFrameTextureFrame","Frame","TargetFrame","","","","","","","","","","","","","","","","LOW","","","","","","","patch.MPQ:Interface\FrameXML\TargetFrame.xml","",""
"target-frame","TargetFrameTexture","Texture","TargetFrameTextureFrame","","","","","","","","","","Interface\TargetingFrame\UI-TargetingFrame.blp","","","","","BACKGROUND","LOW","","","","","","0.09375|0|1.0|0.78125","patch.MPQ:Interface\FrameXML\TargetFrame.xml","interface.MPQ:Interface\TargetingFrame\UI-TargetingFrame.blp",""
"target-frame","TargetName","FontString","TargetFrameTextureFrame","","","100","10","CENTER","","","-50","19","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","LOW","","","","","","","patch.MPQ:Interface\FrameXML\TargetFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"target-frame","TargetLevelText","FontString","TargetFrameTextureFrame","","","","","CENTER","","","63","-16","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","LOW","","","","","","","patch.MPQ:Interface\FrameXML\TargetFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"target-frame","TargetDeadText","FontString","TargetFrameTextureFrame","","","","","CENTER","","","-50","3","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","LOW","","","","","","","patch.MPQ:Interface\FrameXML\TargetFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"target-frame","TargetHighLevelTexture","Texture","TargetFrameTextureFrame","","","16","16","CENTER","","","63","-16","Interface\TargetingFrame\UI-TargetingFrame-Skull.blp","","","","","ARTWORK","LOW","","","","","","","patch.MPQ:Interface\FrameXML\TargetFrame.xml","interface.MPQ:Interface\TargetingFrame\UI-TargetingFrame-Skull.blp",""
"target-frame","TargetLeaderIcon","Texture","TargetFrameTextureFrame","","","16","16","TOPRIGHT","","","-44","-10","Interface\GroupFrame\UI-Group-LeaderIcon.blp","","","","","ARTWORK","LOW","","","","","","","patch.MPQ:Interface\FrameXML\TargetFrame.xml","interface.MPQ:Interface\GroupFrame\UI-Group-LeaderIcon.blp",""
"target-frame","TargetPVPIcon","Texture","TargetFrameTextureFrame","","","64","64","TOPRIGHT","","","3","-20","","","","","","ARTWORK","LOW","","","","","","","patch.MPQ:Interface\FrameXML\TargetFrame.xml","",""
