panel,element,field,expected,actual,verdict
"target-frame","TargetDeadText","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrame","presence","PRESENT","PRESENT","PASS"
"target-frame","TargetFrame","geometry","0|0|232|100","0|0|232|100","PASS"
"target-frame","TargetFrame","anchor","TOPLEFT|||250|-4","TOPLEFT|||250|-4","PASS"
"target-frame","TargetFrame","texture-path","||","||","PASS"
"target-frame","TargetFrame","font","|","|","PASS"
"target-frame","TargetFrame","color","","","PASS"
"target-frame","TargetFrame","layer","LOW|","LOW|","PASS"
"target-frame","TargetFrameBackground","presence","PRESENT","PRESENT","PASS"
"target-frame","TargetFrameBackground","geometry","7|22|119|41","7|22|119|41","PASS"
"target-frame","TargetFrameBackground","anchor","TOPRIGHT|||-106|-22","TOPRIGHT|||-106|-22","PASS"
"target-frame","TargetFrameBackground","texture-path","||","||","PASS"
"target-frame","TargetFrameBackground","font","|","|","PASS"
"target-frame","TargetFrameBackground","color","","","PASS"
"target-frame","TargetFrameBackground","layer","LOW|BACKGROUND","LOW|BACKGROUND","PASS"
"target-frame","TargetFrameBuff1","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameBuff2","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameBuff3","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameBuff4","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameBuff5","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff1","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff10","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff11","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff12","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff13","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff14","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff15","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff16","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff2","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff3","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff4","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff5","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff6","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff7","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff8","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff9","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameNameBackground","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameTexture","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameTextureFrame","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetHighLevelTexture","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetLevelText","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetName","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetPortrait","presence","PRESENT","PRESENT","PASS"
"target-frame","TargetPortrait","geometry","126|12|64|64","126|12|64|64","PASS"
"target-frame","TargetPortrait","anchor","TOPRIGHT|||-42|-12","TOPRIGHT|||-42|-12","PASS"
"target-frame","TargetPortrait","texture-path","||","||","PASS"
"target-frame","TargetPortrait","font","|","|","PASS"
"target-frame","TargetPortrait","color","","","PASS"
"target-frame","TargetPortrait","layer","LOW|BORDER","LOW|BORDER","PASS"
