panel,element,field,expected,actual,verdict
"party-frame","PartyMemberFrame1","presence","PRESENT","PRESENT","PASS"
"party-frame","PartyMemberFrame1","geometry","0|0|128|53","0|0|128|53","PASS"
"party-frame","PartyMemberFrame1","anchor","TOPLEFT|||10|-128","TOPLEFT|||10|-128","PASS"
"party-frame","PartyMemberFrame1","texture-path","||","||","PASS"
"party-frame","PartyMemberFrame1","font","|","|","PASS"
"party-frame","PartyMemberFrame1","color","","","PASS"
"party-frame","PartyMemberFrame1","layer","LOW|","LOW|","PASS"
"party-frame","PartyMemberFrame1/Frame","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1/Frame/Frame","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1/Frame/FrameName","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1/Frame/FrameTexture","presence","PRESENT","PRESENT","PASS"
"party-frame","PartyMemberFrame1/Frame/FrameTexture","geometry","0|2|128|64","0|2|128|64","PASS"
"party-frame","PartyMemberFrame1/Frame/FrameTexture","anchor","TOPLEFT|||0|-2","TOPLEFT|||0|-2","PASS"
"party-frame","PartyMemberFrame1/Frame/FrameTexture","texture-path","Interface\TargetingFrame\UI-PartyFrame.blp||","Interface\TargetingFrame\UI-PartyFrame.blp||","PASS"
"party-frame","PartyMemberFrame1/Frame/FrameTexture","font","|","|","PASS"
"party-frame","PartyMemberFrame1/Frame/FrameTexture","color","","","PASS"
"party-frame","PartyMemberFrame1/Frame/FrameTexture","layer","LOW|BACKGROUND","LOW|BACKGROUND","PASS"
"party-frame","PartyMemberFrame1Debuff1","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff1Border","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff1Icon","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff2","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff2Border","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff2Icon","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff3","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff3Border","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff3Icon","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff4","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff4Border","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff4Icon","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1HealthBar","presence","PRESENT","PRESENT","PASS"
"party-frame","PartyMemberFrame1HealthBar","geometry","47|12|70|8","47|12|70|8","PASS"
"party-frame","PartyMemberFrame1HealthBar","anchor","TOPLEFT|||47|-12","TOPLEFT|||47|-12","PASS"
"party-frame","PartyMemberFrame1HealthBar","texture-path","Interface\TargetingFrame\UI-StatusBar.blp||","Interface\TargetingFrame\UI-StatusBar.blp||","PASS"
"party-frame","PartyMemberFrame1HealthBar","font","|","|","PASS"
"party-frame","PartyMemberFrame1HealthBar","color","","","PASS"
"party-frame","PartyMemberFrame1HealthBar","layer","LOW|","LOW|","PASS"
"party-frame","PartyMemberFrame1ManaBar","presence","PRESENT","PRESENT","PASS"
"party-frame","PartyMemberFrame1ManaBar","geometry","47|21|70|8","47|21|70|8","PASS"
"party-frame","PartyMemberFrame1ManaBar","anchor","TOPLEFT|||47|-21","TOPLEFT|||47|-21","PASS"
