panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource
"party-frame","PartyMemberFrame1","Button","","0","0","128","53","TOPLEFT","","","10","-128","","","","","","","LOW","","","","","","","patch.MPQ:Interface\FrameXML\PartyFrame.xml","",""
"party-frame","PartyMemberFrame1Portrait","Texture","PartyMemberFrame1","7","6","37","37","TOPLEFT","","","7","-6","","","","","","BACKGROUND","LOW","","","","","","","patch.MPQ:Interface\FrameXML\PartyFrameTemplates.xml","",""
"party-frame","PartyMemberFrame1/Frame","Frame","PartyMemberFrame1","0","0","128","53","","","","","","","","","","","","LOW","","","","","","","patch.MPQ:Interface\FrameXML\PartyFrameTemplates.xml","",""
"party-frame","PartyMemberFrame1/Frame/Frame","Frame","PartyMemberFrame1/Frame","0","0","128","53","","","","","","","","","","","","LOW","","","","","","","patch.MPQ:Interface\FrameXML\PartyFrameTemplates.xml","",""
"party-frame","PartyMemberFrame1/Frame/FrameTexture","Texture","PartyMemberFrame1/Frame/Frame","0","2","128","64","TOPLEFT","","","0","-2","Interface\TargetingFrame\UI-PartyFrame.blp","","","","","BACKGROUND","LOW","","","","","","","patch.MPQ:Interface\FrameXML\PartyFrameTemplates.xml","interface.MPQ:Interface\TargetingFrame\UI-PartyFrame.blp",""
"party-frame","PartyMemberFrame1/Frame/FrameName","FontString","PartyMemberFrame1/Frame/Frame","","","","","BOTTOMLEFT","","","50","43","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","LOW","","","","","","","patch.MPQ:Interface\FrameXML\PartyFrameTemplates.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"party-frame","PartyMemberFrame1HealthBar","StatusBar","PartyMemberFrame1","47","12","70","8","TOPLEFT","","","47","-12","Interface\TargetingFrame\UI-StatusBar.blp","","","","","","LOW","","","","","","","patch.MPQ:Interface\FrameXML\PartyFrameTemplates.xml","interface.MPQ:Interface\TargetingFrame\UI-StatusBar.blp",""
"party-frame","PartyMemberFrame1ManaBar","StatusBar","PartyMemberFrame1","47","21","70","8","TOPLEFT","","","47","-21","Interface\TargetingFrame\UI-StatusBar.blp","","","","","","LOW","","","","","","","patch.MPQ:Interface\FrameXML\PartyFrameTemplates.xml","interface.MPQ:Interface\TargetingFrame\UI-StatusBar.blp",""
"party-frame","PartyMemberFrame1Debuff1","Button","PartyMemberFrame1","48","32","15","15","TOPLEFT","","","48","-32","","","","","","","LOW","","","","","","","patch.MPQ:Interface\FrameXML\PartyFrameTemplates.xml","",""
"party-frame","PartyMemberFrame1Debuff1Icon","Texture","PartyMemberFrame1Debuff1","48","32","15","15","","","","","","","","","","","ARTWORK","LOW","","","","","","","patch.MPQ:Interface\FrameXML\PartyFrameTemplates.xml","",""
"party-frame","PartyMemberFrame1Debuff1Border","Texture","PartyMemberFrame1Debuff1","47","31","17","17","CENTER","","","0","0","Interface\Buttons\UI-Debuff-Overlays.blp","","","","","OVERLAY","LOW","","","","","","0.296875|0|0.5703125|0.515625","patch.MPQ:Interface\FrameXML\PartyFrameTemplates.xml","patch.MPQ:Interface\Buttons\UI-Debuff-Overlays.blp",""
