panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource
"action-bar","MainMenuBar","Frame","","0","0","1024","53","BOTTOM","","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","",""
"action-bar","MainMenuExpBar","StatusBar","MainMenuBar","0","0","1024","13","TOP","","","","","Interface\TargetingFrame\UI-StatusBar.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","interface.MPQ:Interface\TargetingFrame\UI-StatusBar.blp",""
"action-bar","ExhaustionLevelFillBar","Texture","MainMenuExpBar","0","0","0","13","TOPLEFT","MainMenuExpBar","","0","0","","","","","","BORDER","","","","","","","","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","",""
"action-bar","MainMenuXPBarTexture0","Texture","MainMenuExpBar","0","0","256","10","BOTTOM","","","-384","3","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp","","","","","OVERLAY","","","","","","","0|0.79296875|1.0|0.83203125","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","patch.MPQ:Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp",""
"action-bar","MainMenuXPBarTexture1","Texture","MainMenuExpBar","256","0","256","10","BOTTOM","","","-128","3","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp","","","","","OVERLAY","","","","","","","0|0.54296875|1.0|0.58203125","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","patch.MPQ:Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp",""
"action-bar","MainMenuXPBarTexture2","Texture","MainMenuExpBar","512","0","256","10","BOTTOM","","","128","3","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp","","","","","OVERLAY","","","","","","","0|0.29296875|1.0|0.33203125","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","patch.MPQ:Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp",""
"action-bar","MainMenuXPBarTexture3","Texture","MainMenuExpBar","768","0","256","10","BOTTOM","","","384","3","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp","","","","","OVERLAY","","","","","","","0|0.04296875|1.0|0.08203125","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","patch.MPQ:Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp",""
"action-bar","MainMenuExpBar/Texture","Texture","MainMenuExpBar","0","0","1024","13","","","","","","","","","","","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","",""
"action-bar","MainMenuBarOverlayFrame","Frame","MainMenuExpBar","0","0","1024","53","TOPLEFT","MainMenuBar","","","","","","","","","","DIALOG","","","","","","","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","",""
"action-bar","MainMenuBarExpText","FontString","MainMenuBarOverlayFrame","","","","","CENTER","MainMenuExpBar","","0","1","","TextStatusBarText","Fonts\ARIALN.TTF","14","#FFFFFFFF","ARTWORK","DIALOG","","","","","","","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","","fonts.MPQ:Fonts\ARIALN.TTF"
"action-bar","MainMenuBarArtFrame","Frame","MainMenuBar","0","0","1024","53","TOPLEFT","MainMenuBar","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\MainMenuBar.xml","",""
