panel,element,field,expected,actual,verdict
"action-button","ActionButton1","presence","PRESENT","PRESENT","PASS"
"action-button","ActionButton1","geometry","0|0|36|36","0|0|36|36","PASS"
"action-button","ActionButton1","anchor","BOTTOMLEFT|||8|4","BOTTOMLEFT|||8|4","PASS"
"action-button","ActionButton1","texture-path","Interface\Buttons\UI-Quickslot2.blp||","Interface\Buttons\UI-Quickslot2.blp||","PASS"
"action-button","ActionButton1","font","|","|","PASS"
"action-button","ActionButton1","color","","","PASS"
"action-button","ActionButton1","layer","|","|","PASS"
"action-button","ActionButton1/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"action-button","ActionButton1/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"action-button","ActionButton1/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"action-button","ActionButton1Cooldown","presence","PRESENT","ABSENT","DELTA"
"action-button","ActionButton1Count","presence","PRESENT","ABSENT","DELTA"
"action-button","ActionButton1HotKey","presence","PRESENT","PRESENT","PASS"
"action-button","ActionButton1HotKey","geometry","-2|2|36|10","-2|2|36|10","PASS"
"action-button","ActionButton1HotKey","anchor","TOPLEFT|||-2|-2","TOPLEFT|||-2|-2","PASS"
"action-button","ActionButton1HotKey","texture-path","||","||","PASS"
"action-button","ActionButton1HotKey","font","NumberFontNormalSmallGray|12","NumberFontNormalSmallGray|12","PASS"
"action-button","ActionButton1HotKey","color","#999999FF","#999999FF","PASS"
"action-button","ActionButton1HotKey","layer","|ARTWORK","|ARTWORK","PASS"
"action-button","ActionButton1Icon","presence","PRESENT","PRESENT","PASS"
"action-button","ActionButton1Icon","geometry","0|0|36|36","0|0|36|36","PASS"
"action-button","ActionButton1Icon","anchor","||||","||||","PASS"
"action-button","ActionButton1Icon","texture-path","||","||","PASS"
"action-button","ActionButton1Icon","font","|","|","PASS"
"action-button","ActionButton1Icon","color","","","PASS"
"action-button","ActionButton1Icon","layer","|BACKGROUND","|BACKGROUND","PASS"
"action-button","ActionButton1Name","presence","PRESENT","ABSENT","DELTA"
"action-button","ActionButton1NormalTexture","presence","PRESENT","PRESENT","PASS"
"action-button","ActionButton1NormalTexture","geometry","-15|-14|66|66","-15|-14|66|66","PASS"
"action-button","ActionButton1NormalTexture","anchor","CENTER|||0|-1","CENTER|||0|-1","PASS"
"action-button","ActionButton1NormalTexture","texture-path","Interface\Buttons\UI-Quickslot2.blp||","Interface\Buttons\UI-Quickslot2.blp||","PASS"
"action-button","ActionButton1NormalTexture","font","|","|","PASS"
"action-button","ActionButton1NormalTexture","color","","","PASS"
"action-button","ActionButton1NormalTexture","layer","|","|","PASS"
