panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource
"action-button","ActionButton1","CheckButton","","0","0","36","36","BOTTOMLEFT","","","8","4","Interface\Buttons\UI-Quickslot2.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\ActionBarFrame.xml","interface.MPQ:Interface\Buttons\UI-Quickslot2.blp",""
"action-button","ActionButton1Icon","Texture","ActionButton1","0","0","36","36","","","","","","","","","","","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","",""
"action-button","ActionButton1HotKey","FontString","ActionButton1","-2","2","36","10","TOPLEFT","","","-2","-2","","NumberFontNormalSmallGray","Fonts\ARIALN.TTF","12","#999999FF","ARTWORK","","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","","fonts.MPQ:Fonts\ARIALN.TTF"
"action-button","ActionButton1Count","FontString","ActionButton1","","","","","BOTTOMRIGHT","","","-2","2","","NumberFontNormal","Fonts\ARIALN.TTF","14","#FFFFFFFF","ARTWORK","","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","","fonts.MPQ:Fonts\ARIALN.TTF"
"action-button","ActionButton1Name","FontString","ActionButton1","0","24","36","10","BOTTOM","","","0","2","","GameFontHighlightSmallOutline","Fonts\FRIZQT__.TTF","10","#FFFFFFFF","OVERLAY","","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"action-button","ActionButton1Cooldown","Model","ActionButton1","","","","","CENTER","","","0","-1","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","",""
"action-button","ActionButton1NormalTexture","NormalTexture","ActionButton1","-15","-14","66","66","CENTER","","","0","-1","Interface\Buttons\UI-Quickslot2.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","interface.MPQ:Interface\Buttons\UI-Quickslot2.blp",""
"action-button","ActionButton1/PushedTexture","PushedTexture","ActionButton1","0","0","36","36","","","","","","Interface\Buttons\UI-Quickslot-Depress.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","interface.MPQ:Interface\Buttons\UI-Quickslot-Depress.blp",""
"action-button","ActionButton1/HighlightTexture","HighlightTexture","ActionButton1","0","0","36","36","","","","","","Interface\Buttons\ButtonHilight-Square.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","interface.MPQ:Interface\Buttons\ButtonHilight-Square.blp",""
"action-button","ActionButton1/CheckedTexture","CheckedTexture","ActionButton1","0","0","36","36","","","","","","Interface\Buttons\CheckButtonHilight.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","interface.MPQ:Interface\Buttons\CheckButtonHilight.blp",""
