panel,element,field,expected,actual,verdict
"multi-action-bar","MultiBarBottomLeft","presence","PRESENT","PRESENT","PASS"
"multi-action-bar","MultiBarBottomLeft","geometry","0|0|500|38","0|0|500|38","PASS"
"multi-action-bar","MultiBarBottomLeft","anchor","BOTTOMLEFT|ActionButton1|TOPLEFT|0|17","BOTTOMLEFT|ActionButton1|TOPLEFT|0|17","PASS"
"multi-action-bar","MultiBarBottomLeft","texture-path","||","||","PASS"
"multi-action-bar","MultiBarBottomLeft","font","|","|","PASS"
"multi-action-bar","MultiBarBottomLeft","color","","","PASS"
"multi-action-bar","MultiBarBottomLeft","layer","HIGH|","HIGH|","PASS"
"multi-action-bar","MultiBarBottomLeftButton1","presence","PRESENT","PRESENT","PASS"
"multi-action-bar","MultiBarBottomLeftButton1","geometry","0|2|36|36","0|2|36|36","PASS"
"multi-action-bar","MultiBarBottomLeftButton1","anchor","BOTTOMLEFT|||0|0","BOTTOMLEFT|||0|0","PASS"
"multi-action-bar","MultiBarBottomLeftButton1","texture-path","Interface\Buttons\UI-Quickslot2.blp||","Interface\Buttons\UI-Quickslot2.blp||","PASS"
"multi-action-bar","MultiBarBottomLeftButton1","font","|","|","PASS"
"multi-action-bar","MultiBarBottomLeftButton1","color","","","PASS"
"multi-action-bar","MultiBarBottomLeftButton1","layer","HIGH|","HIGH|","PASS"
"multi-action-bar","MultiBarBottomLeftButton1/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton1/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton1/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
