panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource
"multi-action-bar","MultiBarBottomLeft","Frame","","0","0","500","38","BOTTOMLEFT","ActionButton1","TOPLEFT","0","17","","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\MultiActionBars.xml","",""
"multi-action-bar","MultiBarBottomLeftButton1","CheckButton","MultiBarBottomLeft","0","2","36","36","BOTTOMLEFT","","","0","0","Interface\Buttons\UI-Quickslot2.blp","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\MultiActionBars.xml","interface.MPQ:Interface\Buttons\UI-Quickslot2.blp",""
"multi-action-bar","MultiBarBottomLeftButton1Icon","Texture","MultiBarBottomLeftButton1","0","2","36","36","","","","","","","","","","","BACKGROUND","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","",""
"multi-action-bar","MultiBarBottomLeftButton1HotKey","FontString","MultiBarBottomLeftButton1","-2","4","36","10","TOPLEFT","","","-2","-2","","NumberFontNormalSmallGray","Fonts\ARIALN.TTF","12","#999999FF","ARTWORK","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","","fonts.MPQ:Fonts\ARIALN.TTF"
"multi-action-bar","MultiBarBottomLeftButton1Count","FontString","MultiBarBottomLeftButton1","","","","","BOTTOMRIGHT","","","-2","2","","NumberFontNormal","Fonts\ARIALN.TTF","14","#FFFFFFFF","ARTWORK","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","","fonts.MPQ:Fonts\ARIALN.TTF"
"multi-action-bar","MultiBarBottomLeftButton1Name","FontString","MultiBarBottomLeftButton1","0","26","36","10","BOTTOM","","","0","2","","GameFontHighlightSmallOutline","Fonts\FRIZQT__.TTF","10","#FFFFFFFF","OVERLAY","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"multi-action-bar","MultiBarBottomLeftButton1Cooldown","Model","MultiBarBottomLeftButton1","","","","","CENTER","","","0","-1","","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","",""
"multi-action-bar","MultiBarBottomLeftButton1NormalTexture","NormalTexture","MultiBarBottomLeftButton1","-15","-12","66","66","CENTER","","","0","-1","Interface\Buttons\UI-Quickslot2.blp","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","interface.MPQ:Interface\Buttons\UI-Quickslot2.blp",""
"multi-action-bar","MultiBarBottomLeftButton1/PushedTexture","PushedTexture","MultiBarBottomLeftButton1","0","2","36","36","","","","","","Interface\Buttons\UI-Quickslot-Depress.blp","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","interface.MPQ:Interface\Buttons\UI-Quickslot-Depress.blp",""
"multi-action-bar","MultiBarBottomLeftButton1/HighlightTexture","HighlightTexture","MultiBarBottomLeftButton1","0","2","36","36","","","","","","Interface\Buttons\ButtonHilight-Square.blp","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","interface.MPQ:Interface\Buttons\ButtonHilight-Square.blp",""
"multi-action-bar","MultiBarBottomLeftButton1/CheckedTexture","CheckedTexture","MultiBarBottomLeftButton1","0","2","36","36","","","","","","Interface\Buttons\CheckButtonHilight.blp","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","interface.MPQ:Interface\Buttons\CheckButtonHilight.blp",""
"multi-action-bar","MultiBarBottomLeftButton2","CheckButton","MultiBarBottomLeft","42","2","36","36","LEFT","MultiBarBottomLeftButton1","RIGHT","6","0","Interface\Buttons\UI-Quickslot2.blp","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\MultiActionBars.xml","interface.MPQ:Interface\Buttons\UI-Quickslot2.blp",""
"multi-action-bar","MultiBarBottomLeftButton2Icon","Texture","MultiBarBottomLeftButton2","42","2","36","36","","","","","","","","","","","BACKGROUND","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","",""
"multi-action-bar","MultiBarBottomLeftButton2HotKey","FontString","MultiBarBottomLeftButton2","40","4","36","10","TOPLEFT","","","-2","-2","","NumberFontNormalSmallGray","Fonts\ARIALN.TTF","12","#999999FF","ARTWORK","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","","fonts.MPQ:Fonts\ARIALN.TTF"
"multi-action-bar","MultiBarBottomLeftButton2Count","FontString","MultiBarBottomLeftButton2","","","","","BOTTOMRIGHT","","","-2","2","","NumberFontNormal","Fonts\ARIALN.TTF","14","#FFFFFFFF","ARTWORK","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","","fonts.MPQ:Fonts\ARIALN.TTF"
"multi-action-bar","MultiBarBottomLeftButton2Name","FontString","MultiBarBottomLeftButton2","42","26","36","10","BOTTOM","","","0","2","","GameFontHighlightSmallOutline","Fonts\FRIZQT__.TTF","10","#FFFFFFFF","OVERLAY","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"multi-action-bar","MultiBarBottomLeftButton2Cooldown","Model","MultiBarBottomLeftButton2","","","","","CENTER","","","0","-1","","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","",""
"multi-action-bar","MultiBarBottomLeftButton2NormalTexture","NormalTexture","MultiBarBottomLeftButton2","27","-12","66","66","CENTER","","","0","-1","Interface\Buttons\UI-Quickslot2.blp","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","interface.MPQ:Interface\Buttons\UI-Quickslot2.blp",""
"multi-action-bar","MultiBarBottomLeftButton2/PushedTexture","PushedTexture","MultiBarBottomLeftButton2","42","2","36","36","","","","","","Interface\Buttons\UI-Quickslot-Depress.blp","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","interface.MPQ:Interface\Buttons\UI-Quickslot-Depress.blp",""
"multi-action-bar","MultiBarBottomLeftButton2/HighlightTexture","HighlightTexture","MultiBarBottomLeftButton2","42","2","36","36","","","","","","Interface\Buttons\ButtonHilight-Square.blp","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","interface.MPQ:Interface\Buttons\ButtonHilight-Square.blp",""
"multi-action-bar","MultiBarBottomLeftButton2/CheckedTexture","CheckedTexture","MultiBarBottomLeftButton2","42","2","36","36","","","","","","Interface\Buttons\CheckButtonHilight.blp","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","interface.MPQ:Interface\Buttons\CheckButtonHilight.blp",""
"multi-action-bar","MultiBarBottomLeftButton3","CheckButton","MultiBarBottomLeft","84","2","36","36","LEFT","MultiBarBottomLeftButton2","RIGHT","6","0","Interface\Buttons\UI-Quickslot2.blp","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\MultiActionBars.xml","interface.MPQ:Interface\Buttons\UI-Quickslot2.blp",""
"multi-action-bar","MultiBarBottomLeftButton3Icon","Texture","MultiBarBottomLeftButton3","84","2","36","36","","","","","","","","","","","BACKGROUND","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","",""
"multi-action-bar","MultiBarBottomLeftButton3HotKey","FontString","MultiBarBottomLeftButton3","82","4","36","10","TOPLEFT","","","-2","-2","","NumberFontNormalSmallGray","Fonts\ARIALN.TTF","12","#999999FF","ARTWORK","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","","fonts.MPQ:Fonts\ARIALN.TTF"
"multi-action-bar","MultiBarBottomLeftButton3Count","FontString","MultiBarBottomLeftButton3","","","","","BOTTOMRIGHT","","","-2","2","","NumberFontNormal","Fonts\ARIALN.TTF","14","#FFFFFFFF","ARTWORK","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","","fonts.MPQ:Fonts\ARIALN.TTF"
"multi-action-bar","MultiBarBottomLeftButton3Name","FontString","MultiBarBottomLeftButton3","84","26","36","10","BOTTOM","","","0","2","","GameFontHighlightSmallOutline","Fonts\FRIZQT__.TTF","10","#FFFFFFFF","OVERLAY","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"multi-action-bar","MultiBarBottomLeftButton3Cooldown","Model","MultiBarBottomLeftButton3","","","","","CENTER","","","0","-1","","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","",""
"multi-action-bar","MultiBarBottomLeftButton3NormalTexture","NormalTexture","MultiBarBottomLeftButton3","69","-12","66","66","CENTER","","","0","-1","Interface\Buttons\UI-Quickslot2.blp","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","interface.MPQ:Interface\Buttons\UI-Quickslot2.blp",""
"multi-action-bar","MultiBarBottomLeftButton3/PushedTexture","PushedTexture","MultiBarBottomLeftButton3","84","2","36","36","","","","","","Interface\Buttons\UI-Quickslot-Depress.blp","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","interface.MPQ:Interface\Buttons\UI-Quickslot-Depress.blp",""
"multi-action-bar","MultiBarBottomLeftButton3/HighlightTexture","HighlightTexture","MultiBarBottomLeftButton3","84","2","36","36","","","","","","Interface\Buttons\ButtonHilight-Square.blp","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","interface.MPQ:Interface\Buttons\ButtonHilight-Square.blp",""
"multi-action-bar","MultiBarBottomLeftButton3/CheckedTexture","CheckedTexture","MultiBarBottomLeftButton3","84","2","36","36","","","","","","Interface\Buttons\CheckButtonHilight.blp","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","interface.MPQ:Interface\Buttons\CheckButtonHilight.blp",""
"multi-action-bar","MultiBarBottomLeftButton4","CheckButton","MultiBarBottomLeft","126","2","36","36","LEFT","MultiBarBottomLeftButton3","RIGHT","6","0","Interface\Buttons\UI-Quickslot2.blp","","","","","","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\MultiActionBars.xml","interface.MPQ:Interface\Buttons\UI-Quickslot2.blp",""
"multi-action-bar","MultiBarBottomLeftButton4Icon","Texture","MultiBarBottomLeftButton4","126","2","36","36","","","","","","","","","","","BACKGROUND","HIGH","","","","","","","patch.MPQ:Interface\FrameXML\ActionButtonTemplate.xml","",""
