panel,element,field,expected,actual,verdict
"multi-action-bar","MultiBarBottomLeft","presence","PRESENT","PRESENT","PASS"
"multi-action-bar","MultiBarBottomLeft","geometry","0|0|500|38","0|0|500|38","PASS"
"multi-action-bar","MultiBarBottomLeft","anchor","BOTTOMLEFT|ActionButton1|TOPLEFT|0|17","BOTTOMLEFT|ActionButton1|TOPLEFT|0|17","PASS"
"multi-action-bar","MultiBarBottomLeft","texture-path","||","||","PASS"
"multi-action-bar","MultiBarBottomLeft","font","|","|","PASS"
"multi-action-bar","MultiBarBottomLeft","color","","","PASS"
"multi-action-bar","MultiBarBottomLeft","layer","HIGH|","HIGH|","PASS"
"multi-action-bar","MultiBarBottomLeftButton1","presence","PRESENT","PRESENT","PASS"
"multi-action-bar","MultiBarBottomLeftButton1","geometry","0|2|36|36","0|2|36|36","PASS"
"multi-action-bar","MultiBarBottomLeftButton1","anchor","BOTTOMLEFT|||0|0","BOTTOMLEFT|||0|0","PASS"
"multi-action-bar","MultiBarBottomLeftButton1","texture-path","Interface\Buttons\UI-Quickslot2.blp||","Interface\Buttons\UI-Quickslot2.blp||","PASS"
"multi-action-bar","MultiBarBottomLeftButton1","font","|","|","PASS"
"multi-action-bar","MultiBarBottomLeftButton1","color","","","PASS"
"multi-action-bar","MultiBarBottomLeftButton1","layer","HIGH|","HIGH|","PASS"
"multi-action-bar","MultiBarBottomLeftButton1HotKey","presence","PRESENT","PRESENT","PASS"
"multi-action-bar","MultiBarBottomLeftButton1HotKey","geometry","-2|4|36|10","-2|4|36|10","PASS"
"multi-action-bar","MultiBarBottomLeftButton1HotKey","anchor","TOPLEFT|||-2|-2","TOPLEFT|||-2|-2","PASS"
"multi-action-bar","MultiBarBottomLeftButton1HotKey","texture-path","||","||","PASS"
"multi-action-bar","MultiBarBottomLeftButton1HotKey","font","NumberFontNormalSmallGray|12","NumberFontNormalSmallGray|12","PASS"
"multi-action-bar","MultiBarBottomLeftButton1HotKey","color","#999999FF","#999999FF","PASS"
"multi-action-bar","MultiBarBottomLeftButton1HotKey","layer","HIGH|ARTWORK","HIGH|ARTWORK","PASS"
"multi-action-bar","MultiBarBottomLeftButton1Icon","presence","PRESENT","PRESENT","PASS"
"multi-action-bar","MultiBarBottomLeftButton1Icon","geometry","0|2|36|36","0|2|36|36","PASS"
"multi-action-bar","MultiBarBottomLeftButton1Icon","anchor","||||","||||","PASS"
"multi-action-bar","MultiBarBottomLeftButton1Icon","texture-path","||","||","PASS"
"multi-action-bar","MultiBarBottomLeftButton1Icon","font","|","|","PASS"
"multi-action-bar","MultiBarBottomLeftButton1Icon","color","","","PASS"
"multi-action-bar","MultiBarBottomLeftButton1Icon","layer","HIGH|BACKGROUND","HIGH|BACKGROUND","PASS"
"multi-action-bar","MultiBarBottomLeftButton1NormalTexture","presence","PRESENT","PRESENT","PASS"
"multi-action-bar","MultiBarBottomLeftButton1NormalTexture","geometry","-15|-12|66|66","-15|-12|66|66","PASS"
"multi-action-bar","MultiBarBottomLeftButton1NormalTexture","anchor","CENTER|||0|-1","CENTER|||0|-1","PASS"
"multi-action-bar","MultiBarBottomLeftButton1NormalTexture","texture-path","Interface\Buttons\UI-Quickslot2.blp||","Interface\Buttons\UI-Quickslot2.blp||","PASS"
"multi-action-bar","MultiBarBottomLeftButton1NormalTexture","font","|","|","PASS"
"multi-action-bar","MultiBarBottomLeftButton1NormalTexture","color","","","PASS"
"multi-action-bar","MultiBarBottomLeftButton1NormalTexture","layer","HIGH|","HIGH|","PASS"
