panel,element,field,expected,actual,verdict
"cast-bar","CastingBarBorder","presence","PRESENT","PRESENT","PASS"
"cast-bar","CastingBarBorder","geometry","-30.5|-28|256|64","-30.5|-28|256|64","PASS"
"cast-bar","CastingBarBorder","anchor","TOP|||0|28","TOP|||0|28","PASS"
"cast-bar","CastingBarBorder","texture-path","Interface\CastingBar\UI-CastingBar-Border.blp||","Interface\CastingBar\UI-CastingBar-Border.blp||","PASS"
"cast-bar","CastingBarBorder","font","|","|","PASS"
"cast-bar","CastingBarBorder","color","","","PASS"
"cast-bar","CastingBarBorder","layer","|ARTWORK","|ARTWORK","PASS"
"cast-bar","CastingBarFrame","presence","PRESENT","PRESENT","PASS"
"cast-bar","CastingBarFrame","geometry","0|0|195|13","0|0|195|13","PASS"
"cast-bar","CastingBarFrame","anchor","BOTTOM|||0|55","BOTTOM|||0|55","PASS"
"cast-bar","CastingBarFrame","texture-path","Interface\TargetingFrame\UI-StatusBar.blp||","Interface\TargetingFrame\UI-StatusBar.blp||","PASS"
"cast-bar","CastingBarFrame","font","|","|","PASS"
"cast-bar","CastingBarFrame","color","","","PASS"
"cast-bar","CastingBarFrame","layer","|BORDER","|BORDER","PASS"
"cast-bar","CastingBarSpark","presence","PRESENT","PRESENT","PASS"
"cast-bar","CastingBarSpark","geometry","81.5|-9.5|32|32","81.5|-9.5|32|32","PASS"
"cast-bar","CastingBarSpark","anchor","CENTER||||","CENTER||||","PASS"
"cast-bar","CastingBarSpark","texture-path","Interface\CastingBar\UI-CastingBar-Spark.blp||","Interface\CastingBar\UI-CastingBar-Spark.blp||","PASS"
"cast-bar","CastingBarSpark","font","|","|","PASS"
"cast-bar","CastingBarSpark","color","","","PASS"
"cast-bar","CastingBarSpark","layer","|OVERLAY","|OVERLAY","PASS"
"cast-bar","CastingBarText","presence","PRESENT","PRESENT","PASS"
"cast-bar","CastingBarText","geometry","5|-5|185|16","5|-5|185|16","PASS"
"cast-bar","CastingBarText","anchor","TOP|||0|5","TOP|||0|5","PASS"
"cast-bar","CastingBarText","texture-path","||","||","PASS"
"cast-bar","CastingBarText","font","GameFontHighlight|12","GameFontHighlight|12","PASS"
"cast-bar","CastingBarText","color","#FFFFFFFF","#FFFFFFFF","PASS"
"cast-bar","CastingBarText","layer","|ARTWORK","|ARTWORK","PASS"
