panel,element,field,expected,actual,verdict
"buff-frame","BuffButton0","presence","PRESENT","PRESENT","PASS"
"buff-frame","BuffButton0","geometry","20|0|30|30","20|0|30|30","PASS"
"buff-frame","BuffButton0","anchor","TOPRIGHT|||0|0","TOPRIGHT|||0|0","PASS"
"buff-frame","BuffButton0","texture-path","||","||","PASS"
"buff-frame","BuffButton0","font","|","|","PASS"
"buff-frame","BuffButton0","color","","","PASS"
"buff-frame","BuffButton0","layer","LOW|","LOW|","PASS"
"buff-frame","BuffButton0Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton0Duration","presence","PRESENT","PRESENT","PASS"
"buff-frame","BuffButton0Duration","geometry","|||","|||","PASS"
"buff-frame","BuffButton0Duration","anchor","TOP||||","TOP||||","PASS"
"buff-frame","BuffButton0Duration","texture-path","||","||","PASS"
"buff-frame","BuffButton0Duration","font","BuffButtonDurationTemplate|10","GameFontNormalSmall|10","DELTA"
"buff-frame","BuffButton0Duration","color","#FFD100FF","#FFD100FF","PASS"
"buff-frame","BuffButton0Duration","layer","LOW|ARTWORK","LOW|ARTWORK","PASS"
"buff-frame","BuffButton0Icon","presence","PRESENT","PRESENT","PASS"
"buff-frame","BuffButton0Icon","geometry","20|0|30|30","20|0|30|30","PASS"
"buff-frame","BuffButton0Icon","anchor","||||","||||","PASS"
"buff-frame","BuffButton0Icon","texture-path","||","||","PASS"
"buff-frame","BuffButton0Icon","font","|","|","PASS"
"buff-frame","BuffButton0Icon","color","","","PASS"
"buff-frame","BuffButton0Icon","layer","LOW|BACKGROUND","LOW|BACKGROUND","PASS"
"buff-frame","BuffButton1","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton10","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton10Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton10Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton10Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton11","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton11Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton11Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton11Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton12","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton12Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton12Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton12Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton13","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton13Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton13Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton13Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton14","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton14Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton14Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton14Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton15","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton15Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton15Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton15Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton16","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton16Border","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton16Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton16Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton16Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton17","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton17Border","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton17Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton17Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton17Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton18","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton18Border","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton18Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton18Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton18Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton19","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton19Border","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton19Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton19Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton19Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton1Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton1Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton1Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton2","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton20","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton20Border","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton20Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton20Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton20Icon","presence","PRESENT","ABSENT","DELTA"
