panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource
"buff-frame","BuffFrame","Frame","","0","0","50","50","TOPRIGHT","UIParent","TOPRIGHT","-205","-13","","","","","","","LOW","","","","","","","patch.MPQ:Interface\FrameXML\BuffFrame.xml","",""
"buff-frame","BuffButton0Duration","FontString","BuffFrame","","","","","TOP","","","","","","BuffButtonDurationTemplate","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","LOW","","","","","","","patch.MPQ:Interface\FrameXML\BuffFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"buff-frame","BuffButton1Duration","FontString","BuffFrame","","","","","TOP","","","","","","BuffButtonDurationTemplate","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","LOW","","","","","","","patch.MPQ:Interface\FrameXML\BuffFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"buff-frame","BuffButton2Duration","FontString","BuffFrame","","","","","TOP","","","","","","BuffButtonDurationTemplate","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","LOW","","","","","","","patch.MPQ:Interface\FrameXML\BuffFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"buff-frame","BuffButton3Duration","FontString","BuffFrame","","","","","TOP","","","","","","BuffButtonDurationTemplate","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","LOW","","","","","","","patch.MPQ:Interface\FrameXML\BuffFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"buff-frame","BuffButton4Duration","FontString","BuffFrame","","","","","TOP","","","","","","BuffButtonDurationTemplate","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","LOW","","","","","","","patch.MPQ:Interface\FrameXML\BuffFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"buff-frame","BuffButton5Duration","FontString","BuffFrame","","","","","TOP","","","","","","BuffButtonDurationTemplate","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","LOW","","","","","","","patch.MPQ:Interface\FrameXML\BuffFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"buff-frame","BuffButton6Duration","FontString","BuffFrame","","","","","TOP","","","","","","BuffButtonDurationTemplate","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","LOW","","","","","","","patch.MPQ:Interface\FrameXML\BuffFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"buff-frame","BuffButton7Duration","FontString","BuffFrame","","","","","TOP","","","","","","BuffButtonDurationTemplate","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","LOW","","","","","","","patch.MPQ:Interface\FrameXML\BuffFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"buff-frame","BuffButton8Duration","FontString","BuffFrame","","","","","TOP","","","","","","BuffButtonDurationTemplate","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","LOW","","","","","","","patch.MPQ:Interface\FrameXML\BuffFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"buff-frame","BuffButton9Duration","FontString","BuffFrame","","","","","TOP","","","","","","BuffButtonDurationTemplate","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","LOW","","","","","","","patch.MPQ:Interface\FrameXML\BuffFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"buff-frame","BuffButton10Duration","FontString","BuffFrame","","","","","TOP","","","","","","BuffButtonDurationTemplate","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","LOW","","","","","","","patch.MPQ:Interface\FrameXML\BuffFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"buff-frame","BuffButton11Duration","FontString","BuffFrame","","","","","TOP","","","","","","BuffButtonDurationTemplate","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","LOW","","","","","","","patch.MPQ:Interface\FrameXML\BuffFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"buff-frame","BuffButton12Duration","FontString","BuffFrame","","","","","TOP","","","","","","BuffButtonDurationTemplate","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","LOW","","","","","","","patch.MPQ:Interface\FrameXML\BuffFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"buff-frame","BuffButton13Duration","FontString","BuffFrame","","","","","TOP","","","","","","BuffButtonDurationTemplate","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","LOW","","","","","","","patch.MPQ:Interface\FrameXML\BuffFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"buff-frame","BuffButton14Duration","FontString","BuffFrame","","","","","TOP","","","","","","BuffButtonDurationTemplate","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","LOW","","","","","","","patch.MPQ:Interface\FrameXML\BuffFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
