panel,element,field,expected,actual,verdict
"buff-frame","BuffButton0","presence","PRESENT","PRESENT","PASS"
"buff-frame","BuffButton0","geometry","20|0|30|30","20|0|30|30","PASS"
"buff-frame","BuffButton0","anchor","TOPRIGHT|||0|0","TOPRIGHT|||0|0","PASS"
"buff-frame","BuffButton0","texture-path","||","||","PASS"
"buff-frame","BuffButton0","font","|","|","PASS"
"buff-frame","BuffButton0","color","","","PASS"
"buff-frame","BuffButton0","layer","LOW|","LOW|","PASS"
"buff-frame","BuffButton0Duration","presence","PRESENT","PRESENT","PASS"
"buff-frame","BuffButton0Duration","geometry","|||","|||","PASS"
"buff-frame","BuffButton0Duration","anchor","TOP||||","TOP||||","PASS"
"buff-frame","BuffButton0Duration","texture-path","||","||","PASS"
"buff-frame","BuffButton0Duration","font","BuffButtonDurationTemplate|10","BuffButtonDurationTemplate|10","PASS"
"buff-frame","BuffButton0Duration","color","#FFD100FF","#FFD100FF","PASS"
"buff-frame","BuffButton0Duration","layer","LOW|ARTWORK","LOW|ARTWORK","PASS"
"buff-frame","BuffButton0Icon","presence","PRESENT","PRESENT","PASS"
"buff-frame","BuffButton0Icon","geometry","20|0|30|30","20|0|30|30","PASS"
"buff-frame","BuffButton0Icon","anchor","||||","||||","PASS"
"buff-frame","BuffButton0Icon","texture-path","||","||","PASS"
"buff-frame","BuffButton0Icon","font","|","|","PASS"
"buff-frame","BuffButton0Icon","color","","","PASS"
"buff-frame","BuffButton0Icon","layer","LOW|BACKGROUND","LOW|BACKGROUND","PASS"
"buff-frame","BuffFrame","presence","PRESENT","PRESENT","PASS"
"buff-frame","BuffFrame","geometry","0|0|50|50","0|0|50|50","PASS"
"buff-frame","BuffFrame","anchor","TOPRIGHT|UIParent|TOPRIGHT|-205|-13","TOPRIGHT|UIParent|TOPRIGHT|-205|-13","PASS"
"buff-frame","BuffFrame","texture-path","||","||","PASS"
"buff-frame","BuffFrame","font","|","|","PASS"
"buff-frame","BuffFrame","color","","","PASS"
"buff-frame","BuffFrame","layer","LOW|","LOW|","PASS"
