panel,element,field,expected,actual,verdict
"minimap","Minimap","presence","PRESENT","PRESENT","PASS"
"minimap","Minimap","geometry","35|22|140|140","35|22|140|140","PASS"
"minimap","Minimap","anchor","CENTER||TOP|9|-92","CENTER||TOP|9|-92","PASS"
"minimap","Minimap","texture-path","||","||","PASS"
"minimap","Minimap","font","|","|","PASS"
"minimap","Minimap","color","","","PASS"
"minimap","Minimap","layer","BACKGROUND|","BACKGROUND|","PASS"
"minimap","MinimapBackdrop","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapBackdrop","geometry","0|20|192|192","0|20|192|192","PASS"
"minimap","MinimapBackdrop","anchor","CENTER|MinimapCluster||0|-20","CENTER|MinimapCluster||0|-20","PASS"
"minimap","MinimapBackdrop","texture-path","||","||","PASS"
"minimap","MinimapBackdrop","font","|","|","PASS"
"minimap","MinimapBackdrop","color","","","PASS"
"minimap","MinimapBackdrop","layer","BACKGROUND|","BACKGROUND|","PASS"
"minimap","MinimapBorder","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapBorder","geometry","0|20|192|192","0|20|192|192","PASS"
"minimap","MinimapBorder","anchor","||||","||||","PASS"
"minimap","MinimapBorder","texture-path","Interface\Minimap\UI-Minimap-Border.blp||","Interface\Minimap\UI-Minimap-Border.blp||","PASS"
"minimap","MinimapBorder","font","|","|","PASS"
"minimap","MinimapBorder","color","","","PASS"
"minimap","MinimapBorder","layer","BACKGROUND|ARTWORK","BACKGROUND|ARTWORK","PASS"
"minimap","MinimapBorderTop","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapBorderTop","geometry","0|0|192|32","0|0|192|32","PASS"
"minimap","MinimapBorderTop","anchor","TOPRIGHT||||","TOPRIGHT||||","PASS"
"minimap","MinimapBorderTop","texture-path","Interface\Minimap\UI-Minimap-Border.blp||","Interface\Minimap\UI-Minimap-Border.blp||","PASS"
"minimap","MinimapBorderTop","font","|","|","PASS"
"minimap","MinimapBorderTop","color","","","PASS"
"minimap","MinimapBorderTop","layer","BACKGROUND|ARTWORK","BACKGROUND|ARTWORK","PASS"
"minimap","MinimapCluster","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapCluster","geometry","0|0|192|192","0|0|192|192","PASS"
"minimap","MinimapCluster","anchor","TOPRIGHT||||","TOPRIGHT||||","PASS"
"minimap","MinimapCluster","texture-path","||","||","PASS"
"minimap","MinimapCluster","font","|","|","PASS"
