panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource
"minimap","MinimapCluster","Frame","","0","0","192","192","TOPRIGHT","","","","","","","","","","","BACKGROUND","","","","","","","MSUI:actual-draw-path","",""
"minimap","Minimap","Minimap","MinimapCluster","35","22","140","140","CENTER","","TOP","9","-92","","","","","","","BACKGROUND","","","","","","","MSUI:actual-draw-path","",""
"minimap","MinimapBackdrop","Frame","Minimap","0","20","192","192","CENTER","MinimapCluster","","0","-20","","","","","","","BACKGROUND","","","","","","","MSUI:actual-draw-path","",""
"minimap","MinimapBorder","Texture","MinimapBackdrop","0","20","192","192","","","","","","Interface\Minimap\UI-Minimap-Border.blp","","","","","ARTWORK","BACKGROUND","","","","","","0.25|0.125|1.0|0.875","MSUI:actual-draw-path","interface.MPQ:Interface\Minimap\UI-Minimap-Border.blp",""
"minimap","MinimapZoomIn","Button","MinimapBackdrop","157","113","32","32","CENTER","","","77","-13","Interface\Minimap\UI-Minimap-ZoomInButton-Up.blp","","","","","","BACKGROUND","","","","","","","MSUI:actual-draw-path","interface.MPQ:Interface\Minimap\UI-Minimap-ZoomInButton-Up.blp",""
"minimap","MinimapZoomIn/NormalTexture","NormalTexture","MinimapZoomIn","157","113","32","32","","","","","","Interface\Minimap\UI-Minimap-ZoomInButton-Up.blp","","","","","","BACKGROUND","","","","","","","MSUI:actual-draw-path","interface.MPQ:Interface\Minimap\UI-Minimap-ZoomInButton-Up.blp",""
"minimap","MinimapZoomOut","Button","MinimapBackdrop","131","141","32","32","CENTER","","","51","-41","Interface\Minimap\UI-Minimap-ZoomOutButton-Up.blp","","","","","","BACKGROUND","","","","","","","MSUI:actual-draw-path","interface.MPQ:Interface\Minimap\UI-Minimap-ZoomOutButton-Up.blp",""
"minimap","MinimapZoomOut/NormalTexture","NormalTexture","MinimapZoomOut","131","141","32","32","","","","","","Interface\Minimap\UI-Minimap-ZoomOutButton-Up.blp","","","","","","BACKGROUND","","","","","","","MSUI:actual-draw-path","interface.MPQ:Interface\Minimap\UI-Minimap-ZoomOutButton-Up.blp",""
"minimap","MinimapBorderTop","Texture","MinimapCluster","0","0","192","32","TOPRIGHT","","","","","Interface\Minimap\UI-Minimap-Border.blp","","","","","ARTWORK","BACKGROUND","","","","","","0.25|0.0|1.0|0.125","MSUI:actual-draw-path","interface.MPQ:Interface\Minimap\UI-Minimap-Border.blp",""
"minimap","MinimapZoneTextButton","Button","MinimapCluster","29","7","128","12","CENTER","","","-3","83","","","","","","","BACKGROUND","","","","","","","MSUI:actual-draw-path","",""
"minimap","MinimapZoneText","FontString","MinimapZoneTextButton","29","7","128","12","TOP","","","","","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","BACKGROUND","BACKGROUND","","","","","","","MSUI:actual-draw-path","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"minimap","MinimapToggleButton","Button","MinimapCluster","161","-3","32","32","CENTER","","TOPRIGHT","-15","-13","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","","","","","","BACKGROUND","","","","","","","MSUI:actual-draw-path","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Up.blp",""
"minimap","MinimapToggleButton/NormalTexture","NormalTexture","MinimapToggleButton","161","-3","32","32","","","","","","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","","","","","","BACKGROUND","","","","","","","MSUI:actual-draw-path","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Up.blp",""
