panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource
"chat-frame","ChatFrame1","ScrollingMessageFrame","","0","0","430","120","BOTTOMLEFT","","","32","95","","","","","","","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\FloatingChatFrame.xml","",""
"chat-frame","ChatFrame1/FontString","FontString","ChatFrame1","0","0","430","120","","","","","","","ChatFontNormal","Fonts\ARIALN.TTF","14","#FFFFFFFF","","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\ChatFrame.xml","","fonts.MPQ:Fonts\ARIALN.TTF"
"chat-frame","ChatFrame1Background","Texture","ChatFrame1","-2","-3","430","120","TOPLEFT","","","-2","3","Interface\ChatFrame\ChatFrameBackground.blp","","","","","BACKGROUND","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\FloatingChatFrame.xml","interface.MPQ:Interface\ChatFrame\ChatFrameBackground.blp",""
"chat-frame","ChatFrame1ResizeTopLeft","Button","ChatFrame1","-4","-5","16","16","TOPLEFT","ChatFrame1Background","","-2","2","","","","","","","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\FloatingChatFrame.xml","",""
"chat-frame","ChatFrame1ResizeTopLeftTexture","Texture","ChatFrame1ResizeTopLeft","-4","-5","16","16","TOPLEFT","","","","","Interface\ChatFrame\ChatFrameBorder.blp","","","","","BACKGROUND","BACKGROUND","","","","","","0|0|0.25|0.125","patch.MPQ:Interface\FrameXML\FloatingChatFrame.xml","interface.MPQ:Interface\ChatFrame\ChatFrameBorder.blp",""
"chat-frame","ChatFrame1ResizeTopRight","Button","ChatFrame1","414","-5","16","16","TOPRIGHT","ChatFrame1Background","","2","2","","","","","","","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\FloatingChatFrame.xml","",""
"chat-frame","ChatFrame1ResizeTopRightTexture","Texture","ChatFrame1ResizeTopRight","414","-5","16","16","TOPLEFT","","","","","Interface\ChatFrame\ChatFrameBorder.blp","","","","","BACKGROUND","BACKGROUND","","","","","","0.75|0|1.0|0.125","patch.MPQ:Interface\FrameXML\FloatingChatFrame.xml","interface.MPQ:Interface\ChatFrame\ChatFrameBorder.blp",""
"chat-frame","ChatFrame1ResizeBottomLeft","Button","ChatFrame1","-4","104","16","16","BOTTOMLEFT","ChatFrame1Background","","-2","-3","","","","","","","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\FloatingChatFrame.xml","",""
"chat-frame","ChatFrame1ResizeBottomLeftTexture","Texture","ChatFrame1ResizeBottomLeft","-4","104","16","16","TOPLEFT","","","","","Interface\ChatFrame\ChatFrameBorder.blp","","","","","BACKGROUND","BACKGROUND","","","","","","0|0.7265625|0.25|0.8515625","patch.MPQ:Interface\FrameXML\FloatingChatFrame.xml","interface.MPQ:Interface\ChatFrame\ChatFrameBorder.blp",""
"chat-frame","ChatFrame1ResizeBottomRight","Button","ChatFrame1","414","104","16","16","BOTTOMRIGHT","ChatFrame1Background","","2","-3","","","","","","","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\FloatingChatFrame.xml","",""
"chat-frame","ChatFrame1ResizeBottomRightTexture","Texture","ChatFrame1ResizeBottomRight","414","104","16","16","TOPLEFT","","","","","Interface\ChatFrame\ChatFrameBorder.blp","","","","","BACKGROUND","BACKGROUND","","","","","","0.75|0.7265625|1.0|0.8515625","patch.MPQ:Interface\FrameXML\FloatingChatFrame.xml","interface.MPQ:Interface\ChatFrame\ChatFrameBorder.blp",""
"chat-frame","ChatFrame1ResizeTop","Button","ChatFrame1","398","-5","16","16","RIGHT","ChatFrame1ResizeTopRight","LEFT","0","0","","","","","","","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\FloatingChatFrame.xml","",""
"chat-frame","ChatFrame1ResizeTopTexture","Texture","ChatFrame1ResizeTop","398","-5","16","16","RIGHT","","","","","Interface\ChatFrame\ChatFrameBorder.blp","","","","","BACKGROUND","BACKGROUND","","","","","","0.25|0|0.75|0.125","patch.MPQ:Interface\FrameXML\FloatingChatFrame.xml","interface.MPQ:Interface\ChatFrame\ChatFrameBorder.blp",""
"chat-frame","ChatFrame1ResizeBottom","Button","ChatFrame1","398","104","16","16","RIGHT","ChatFrame1ResizeBottomRight","LEFT","0","0","","","","","","","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\FloatingChatFrame.xml","",""
"chat-frame","ChatFrame1ResizeBottomTexture","Texture","ChatFrame1ResizeBottom","398","104","16","16","RIGHT","","","","","Interface\ChatFrame\ChatFrameBorder.blp","","","","","BACKGROUND","BACKGROUND","","","","","","0.25|0.7265625|0.75|0.8515625","patch.MPQ:Interface\FrameXML\FloatingChatFrame.xml","interface.MPQ:Interface\ChatFrame\ChatFrameBorder.blp",""
"chat-frame","ChatFrame1ResizeLeft","Button","ChatFrame1","-4","88","16","16","BOTTOM","ChatFrame1ResizeBottomLeft","TOP","0","0","","","","","","","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\FloatingChatFrame.xml","",""
"chat-frame","ChatFrame1ResizeLeftTexture","Texture","ChatFrame1ResizeLeft","-4","88","16","16","BOTTOM","","","","","Interface\ChatFrame\ChatFrameBorder.blp","","","","","BACKGROUND","BACKGROUND","","","","","","0|0.125|0.25|0.7265625","patch.MPQ:Interface\FrameXML\FloatingChatFrame.xml","interface.MPQ:Interface\ChatFrame\ChatFrameBorder.blp",""
"chat-frame","ChatFrame1ResizeRight","Button","ChatFrame1","414","88","16","16","BOTTOM","ChatFrame1ResizeBottomRight","TOP","0","0","","","","","","","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\FloatingChatFrame.xml","",""
"chat-frame","ChatFrame1ResizeRightTexture","Texture","ChatFrame1ResizeRight","414","88","16","16","BOTTOM","","","","","Interface\ChatFrame\ChatFrameBorder.blp","","","","","BACKGROUND","BACKGROUND","","","","","","0.75|0.125|1.0|0.7265625","patch.MPQ:Interface\FrameXML\FloatingChatFrame.xml","interface.MPQ:Interface\ChatFrame\ChatFrameBorder.blp",""
