panel,element,field,expected,actual,verdict
"chat-frame","ChatFrame1","presence","PRESENT","PRESENT","PASS"
"chat-frame","ChatFrame1","geometry","0|0|430|120","0|0|430|120","PASS"
"chat-frame","ChatFrame1","anchor","BOTTOMLEFT|||32|95","BOTTOMLEFT|||32|95","PASS"
"chat-frame","ChatFrame1","texture-path","||","||","PASS"
"chat-frame","ChatFrame1","font","|","|","PASS"
"chat-frame","ChatFrame1","color","","","PASS"
"chat-frame","ChatFrame1","layer","BACKGROUND|","BACKGROUND|","PASS"
"chat-frame","ChatFrame1/FontString","presence","PRESENT","PRESENT","PASS"
"chat-frame","ChatFrame1/FontString","geometry","0|0|430|120","0|0|430|120","PASS"
"chat-frame","ChatFrame1/FontString","anchor","||||","||||","PASS"
"chat-frame","ChatFrame1/FontString","texture-path","||","||","PASS"
"chat-frame","ChatFrame1/FontString","font","ChatFontNormal|14","ChatFontNormal|14","PASS"
"chat-frame","ChatFrame1/FontString","color","#FFFFFFFF","#FFFFFFFF","PASS"
"chat-frame","ChatFrame1/FontString","layer","BACKGROUND|","BACKGROUND|","PASS"
"chat-frame","ChatFrame1Background","presence","PRESENT","PRESENT","PASS"
"chat-frame","ChatFrame1Background","geometry","-2|-3|430|120","-2|-3|430|120","PASS"
"chat-frame","ChatFrame1Background","anchor","TOPLEFT|||-2|3","TOPLEFT|||-2|3","PASS"
"chat-frame","ChatFrame1Background","texture-path","Interface\ChatFrame\ChatFrameBackground.blp||","Interface\ChatFrame\ChatFrameBackground.blp||","PASS"
"chat-frame","ChatFrame1Background","font","|","|","PASS"
"chat-frame","ChatFrame1Background","color","","","PASS"
"chat-frame","ChatFrame1Background","layer","BACKGROUND|BACKGROUND","BACKGROUND|BACKGROUND","PASS"
"chat-frame","ChatFrame1BottomButton","presence","PRESENT","PRESENT","PASS"
"chat-frame","ChatFrame1BottomButton","geometry","-32|92|32|32","-32|92|32|32","PASS"
"chat-frame","ChatFrame1BottomButton","anchor","BOTTOMLEFT|||-32|-4","BOTTOMLEFT|||-32|-4","PASS"
"chat-frame","ChatFrame1BottomButton","texture-path","Interface\ChatFrame\UI-ChatIcon-ScrollEnd-Up.blp||","Interface\ChatFrame\UI-ChatIcon-ScrollEnd-Up.blp||","PASS"
"chat-frame","ChatFrame1BottomButton","font","|","|","PASS"
"chat-frame","ChatFrame1BottomButton","color","","","PASS"
"chat-frame","ChatFrame1BottomButton","layer","BACKGROUND|","BACKGROUND|","PASS"
"chat-frame","ChatFrame1BottomButton/NormalTexture","presence","PRESENT","PRESENT","PASS"
"chat-frame","ChatFrame1BottomButton/NormalTexture","geometry","-32|92|32|32","-32|92|32|32","PASS"
"chat-frame","ChatFrame1BottomButton/NormalTexture","anchor","||||","||||","PASS"
"chat-frame","ChatFrame1BottomButton/NormalTexture","texture-path","Interface\ChatFrame\UI-ChatIcon-ScrollEnd-Up.blp||","Interface\ChatFrame\UI-ChatIcon-ScrollEnd-Up.blp||","PASS"
"chat-frame","ChatFrame1BottomButton/NormalTexture","font","|","|","PASS"
"chat-frame","ChatFrame1BottomButton/NormalTexture","color","","","PASS"
"chat-frame","ChatFrame1BottomButton/NormalTexture","layer","BACKGROUND|","BACKGROUND|","PASS"
"chat-frame","ChatFrame1DownButton","presence","PRESENT","PRESENT","PASS"
"chat-frame","ChatFrame1DownButton","geometry","-32|62|32|32","-32|62|32|32","PASS"
"chat-frame","ChatFrame1DownButton","anchor","BOTTOM|ChatFrame1BottomButton|TOP|0|-2","BOTTOM|ChatFrame1BottomButton|TOP|0|-2","PASS"
"chat-frame","ChatFrame1DownButton","texture-path","Interface\ChatFrame\UI-ChatIcon-ScrollDown-Up.blp||","Interface\ChatFrame\UI-ChatIcon-ScrollDown-Up.blp||","PASS"
"chat-frame","ChatFrame1DownButton","font","|","|","PASS"
"chat-frame","ChatFrame1DownButton","color","","","PASS"
"chat-frame","ChatFrame1DownButton","layer","BACKGROUND|","BACKGROUND|","PASS"
"chat-frame","ChatFrame1DownButton/NormalTexture","presence","PRESENT","PRESENT","PASS"
"chat-frame","ChatFrame1DownButton/NormalTexture","geometry","-32|62|32|32","-32|62|32|32","PASS"
"chat-frame","ChatFrame1DownButton/NormalTexture","anchor","||||","||||","PASS"
"chat-frame","ChatFrame1DownButton/NormalTexture","texture-path","Interface\ChatFrame\UI-ChatIcon-ScrollDown-Up.blp||","Interface\ChatFrame\UI-ChatIcon-ScrollDown-Up.blp||","PASS"
"chat-frame","ChatFrame1DownButton/NormalTexture","font","|","|","PASS"
"chat-frame","ChatFrame1DownButton/NormalTexture","color","","","PASS"
"chat-frame","ChatFrame1DownButton/NormalTexture","layer","BACKGROUND|","BACKGROUND|","PASS"
"chat-frame","ChatFrame1UpButton","presence","PRESENT","PRESENT","PASS"
"chat-frame","ChatFrame1UpButton","geometry","-32|30|32|32","-32|30|32|32","PASS"
"chat-frame","ChatFrame1UpButton","anchor","BOTTOM|ChatFrame1DownButton|TOP||","BOTTOM|ChatFrame1DownButton|TOP||","PASS"
"chat-frame","ChatFrame1UpButton","texture-path","Interface\ChatFrame\UI-ChatIcon-ScrollUp-Up.blp||","Interface\ChatFrame\UI-ChatIcon-ScrollUp-Up.blp||","PASS"
"chat-frame","ChatFrame1UpButton","font","|","|","PASS"
"chat-frame","ChatFrame1UpButton","color","","","PASS"
"chat-frame","ChatFrame1UpButton","layer","BACKGROUND|","BACKGROUND|","PASS"
"chat-frame","ChatFrame1UpButton/NormalTexture","presence","PRESENT","PRESENT","PASS"
"chat-frame","ChatFrame1UpButton/NormalTexture","geometry","-32|30|32|32","-32|30|32|32","PASS"
"chat-frame","ChatFrame1UpButton/NormalTexture","anchor","||||","||||","PASS"
"chat-frame","ChatFrame1UpButton/NormalTexture","texture-path","Interface\ChatFrame\UI-ChatIcon-ScrollUp-Up.blp||","Interface\ChatFrame\UI-ChatIcon-ScrollUp-Up.blp||","PASS"
"chat-frame","ChatFrame1UpButton/NormalTexture","font","|","|","PASS"
"chat-frame","ChatFrame1UpButton/NormalTexture","color","","","PASS"
"chat-frame","ChatFrame1UpButton/NormalTexture","layer","BACKGROUND|","BACKGROUND|","PASS"
