panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource
"action-bar","MainMenuBar","Frame","","0","0","1024","53","BOTTOM","","","","","","","","","","","","","","","","","","MSUI:actual-draw-path","",""
"action-bar","MainMenuExpBar","StatusBar","MainMenuBar","0","0","1024","13","TOP","","","","","Interface\TargetingFrame\UI-StatusBar.blp","","","","","","","","","","","","","MSUI:actual-draw-path","interface.MPQ:Interface\TargetingFrame\UI-StatusBar.blp",""
"action-bar","MainMenuXPBarTexture0","Texture","MainMenuExpBar","0","0","256","10","BOTTOM","","","-384","3","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp","","","","","OVERLAY","","","","","","","0|0.79296875|1.0|0.83203125","MSUI:actual-draw-path","patch.MPQ:Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp",""
"action-bar","MainMenuXPBarTexture1","Texture","MainMenuExpBar","256","0","256","10","BOTTOM","","","-128","3","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp","","","","","OVERLAY","","","","","","","0|0.54296875|1.0|0.58203125","MSUI:actual-draw-path","patch.MPQ:Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp",""
"action-bar","MainMenuXPBarTexture2","Texture","MainMenuExpBar","512","0","256","10","BOTTOM","","","128","3","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp","","","","","OVERLAY","","","","","","","0|0.29296875|1.0|0.33203125","MSUI:actual-draw-path","patch.MPQ:Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp",""
"action-bar","MainMenuXPBarTexture3","Texture","MainMenuExpBar","768","0","256","10","BOTTOM","","","384","3","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp","","","","","OVERLAY","","","","","","","0|0.04296875|1.0|0.08203125","MSUI:actual-draw-path","patch.MPQ:Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp",""
"action-bar","MainMenuBarTexture0","Texture","MainMenuBarArtFrame","0","10","256","43","BOTTOM","","","-384","0","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp","","","","","ARTWORK","","","","","","","0|0.83203125|1.0|1.0","MSUI:actual-draw-path","patch.MPQ:Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp",""
"action-bar","MainMenuBarTexture1","Texture","MainMenuBarArtFrame","256","10","256","43","BOTTOM","","","-128","0","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp","","","","","ARTWORK","","","","","","","0|0.58203125|1.0|0.75","MSUI:actual-draw-path","patch.MPQ:Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp",""
"action-bar","MainMenuBarTexture2","Texture","MainMenuBarArtFrame","512","10","256","43","BOTTOM","","","128","0","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp","","","","","ARTWORK","","","","","","","0|0.33203125|1.0|0.5","MSUI:actual-draw-path","patch.MPQ:Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp",""
"action-bar","MainMenuBarTexture3","Texture","MainMenuBarArtFrame","768","10","256","43","BOTTOM","","","384","0","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp","","","","","ARTWORK","","","","","","","0|0.08203125|1.0|0.25","MSUI:actual-draw-path","patch.MPQ:Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp",""
"action-bar","MainMenuBarLeftEndCap","Texture","MainMenuBarArtFrame","-96","-75","128","128","BOTTOM","","","-544","0","Interface\MainMenuBar\UI-MainMenuBar-EndCap-Dwarf.blp","","","","","OVERLAY","","","","","","","","MSUI:actual-draw-path","interface.MPQ:Interface\MainMenuBar\UI-MainMenuBar-EndCap-Dwarf.blp",""
"action-bar","MainMenuBarRightEndCap","Texture","MainMenuBarArtFrame","992","-75","128","128","BOTTOM","","","544","0","Interface\MainMenuBar\UI-MainMenuBar-EndCap-Dwarf.blp","","","","","OVERLAY","","","","","","","1.0|0.0|0.0|1.0","MSUI:actual-draw-path","interface.MPQ:Interface\MainMenuBar\UI-MainMenuBar-EndCap-Dwarf.blp",""
"action-bar","MainMenuBarPerformanceBarFrame","Frame","MainMenuBar","781","-1","16","64","BOTTOMRIGHT","","","-227","-10","","","","","","","LOW","","","","","","","MSUI:actual-draw-path","",""
"action-bar","MainMenuBarPerformanceBar","Texture","MainMenuBarPerformanceBarFrame","777","-1","20","66","TOPRIGHT","","","","","Interface\MainMenuBar\UI-MainMenuBar-PerformanceBar.blp","","","","","BACKGROUND","LOW","","","","","","","MSUI:actual-draw-path","interface.MPQ:Interface\MainMenuBar\UI-MainMenuBar-PerformanceBar.blp",""
