panel,element,field,expected,actual,verdict
"xp-bar","MainMenuExpBar","presence","PRESENT","PRESENT","PASS"
"xp-bar","MainMenuExpBar","geometry","0|0|1024|13","0|0|1024|13","PASS"
"xp-bar","MainMenuExpBar","anchor","TOP||||","TOP||||","PASS"
"xp-bar","MainMenuExpBar","texture-path","Interface\TargetingFrame\UI-StatusBar.blp||","Interface\TargetingFrame\UI-StatusBar.blp||","PASS"
"xp-bar","MainMenuExpBar","font","|","|","PASS"
"xp-bar","MainMenuExpBar","color","","","PASS"
"xp-bar","MainMenuExpBar","layer","|","|","PASS"
"xp-bar","MainMenuXPBarTexture0","presence","PRESENT","PRESENT","PASS"
"xp-bar","MainMenuXPBarTexture0","geometry","0|0|256|10","0|0|256|10","PASS"
"xp-bar","MainMenuXPBarTexture0","anchor","BOTTOM|||-384|3","BOTTOM|||-384|3","PASS"
"xp-bar","MainMenuXPBarTexture0","texture-path","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp||","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp||","PASS"
"xp-bar","MainMenuXPBarTexture0","font","|","|","PASS"
"xp-bar","MainMenuXPBarTexture0","color","","","PASS"
"xp-bar","MainMenuXPBarTexture0","layer","|OVERLAY","|OVERLAY","PASS"
"xp-bar","MainMenuXPBarTexture1","presence","PRESENT","PRESENT","PASS"
"xp-bar","MainMenuXPBarTexture1","geometry","256|0|256|10","256|0|256|10","PASS"
"xp-bar","MainMenuXPBarTexture1","anchor","BOTTOM|||-128|3","BOTTOM|||-128|3","PASS"
"xp-bar","MainMenuXPBarTexture1","texture-path","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp||","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp||","PASS"
"xp-bar","MainMenuXPBarTexture1","font","|","|","PASS"
"xp-bar","MainMenuXPBarTexture1","color","","","PASS"
"xp-bar","MainMenuXPBarTexture1","layer","|OVERLAY","|OVERLAY","PASS"
"xp-bar","MainMenuXPBarTexture2","presence","PRESENT","PRESENT","PASS"
"xp-bar","MainMenuXPBarTexture2","geometry","512|0|256|10","512|0|256|10","PASS"
"xp-bar","MainMenuXPBarTexture2","anchor","BOTTOM|||128|3","BOTTOM|||128|3","PASS"
"xp-bar","MainMenuXPBarTexture2","texture-path","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp||","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp||","PASS"
"xp-bar","MainMenuXPBarTexture2","font","|","|","PASS"
"xp-bar","MainMenuXPBarTexture2","color","","","PASS"
"xp-bar","MainMenuXPBarTexture2","layer","|OVERLAY","|OVERLAY","PASS"
"xp-bar","MainMenuXPBarTexture3","presence","PRESENT","PRESENT","PASS"
"xp-bar","MainMenuXPBarTexture3","geometry","768|0|256|10","768|0|256|10","PASS"
"xp-bar","MainMenuXPBarTexture3","anchor","BOTTOM|||384|3","BOTTOM|||384|3","PASS"
"xp-bar","MainMenuXPBarTexture3","texture-path","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp||","Interface\MainMenuBar\UI-MainMenuBar-Dwarf.blp||","PASS"
"xp-bar","MainMenuXPBarTexture3","font","|","|","PASS"
"xp-bar","MainMenuXPBarTexture3","color","","","PASS"
"xp-bar","MainMenuXPBarTexture3","layer","|OVERLAY","|OVERLAY","PASS"
