panel,element,field,expected,actual,verdict
"backpack","ContainerFrame1","presence","PRESENT","PRESENT","PASS"
"backpack","ContainerFrame1","geometry","0|0|192|240","0|0|192|240","PASS"
"backpack","ContainerFrame1","anchor","BOTTOMRIGHT|UIParent|BOTTOMRIGHT|0|70","BOTTOMRIGHT|UIParent|BOTTOMRIGHT|0|70","PASS"
"backpack","ContainerFrame1","texture-path","||","||","PASS"
"backpack","ContainerFrame1","font","|","|","PASS"
"backpack","ContainerFrame1","color","","","PASS"
"backpack","ContainerFrame1","layer","MEDIUM|","MEDIUM|","PASS"
"backpack","ContainerFrame1BackgroundTop","presence","PRESENT","PRESENT","PASS"
"backpack","ContainerFrame1BackgroundTop","geometry","-64|0|256|256","-64|0|256|256","PASS"
"backpack","ContainerFrame1BackgroundTop","anchor","TOPRIGHT|ContainerFrame1|TOPRIGHT|0|0","TOPRIGHT|ContainerFrame1|TOPRIGHT|0|0","PASS"
"backpack","ContainerFrame1BackgroundTop","texture-path","Interface\ContainerFrame\UI-BackpackBackground.blp||","Interface\ContainerFrame\UI-BackpackBackground.blp||","PASS"
"backpack","ContainerFrame1BackgroundTop","font","|","|","PASS"
"backpack","ContainerFrame1BackgroundTop","color","","","PASS"
"backpack","ContainerFrame1BackgroundTop","layer","MEDIUM|ARTWORK","MEDIUM|ARTWORK","PASS"
"backpack","ContainerFrame1CloseButton","presence","PRESENT","PRESENT","PASS"
"backpack","ContainerFrame1CloseButton","geometry","160|1|32|32","160|1|32|32","PASS"
"backpack","ContainerFrame1CloseButton","anchor","TOPRIGHT|ContainerFrame1|TOPRIGHT|0|-1","TOPRIGHT|ContainerFrame1|TOPRIGHT|0|-1","PASS"
"backpack","ContainerFrame1CloseButton","texture-path","||","||","PASS"
"backpack","ContainerFrame1CloseButton","font","|","|","PASS"
"backpack","ContainerFrame1CloseButton","color","","","PASS"
"backpack","ContainerFrame1CloseButton","layer","MEDIUM|","MEDIUM|","PASS"
"backpack","ContainerFrame1CloseButton/NormalTexture","presence","PRESENT","PRESENT","PASS"
"backpack","ContainerFrame1CloseButton/NormalTexture","geometry","160|1|32|32","160|1|32|32","PASS"
"backpack","ContainerFrame1CloseButton/NormalTexture","anchor","||||","||||","PASS"
"backpack","ContainerFrame1CloseButton/NormalTexture","texture-path","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp||","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp||","PASS"
"backpack","ContainerFrame1CloseButton/NormalTexture","font","|","|","PASS"
"backpack","ContainerFrame1CloseButton/NormalTexture","color","","","PASS"
"backpack","ContainerFrame1CloseButton/NormalTexture","layer","MEDIUM|","MEDIUM|","PASS"
"backpack","ContainerFrame1Item1","presence","PRESENT","PRESENT","PASS"
"backpack","ContainerFrame1Item1","geometry","143|173|37|37","143|173|37|37","PASS"
"backpack","ContainerFrame1Item1","anchor","BOTTOMRIGHT|ContainerFrame1|BOTTOMRIGHT|-12|30","BOTTOMRIGHT|ContainerFrame1|BOTTOMRIGHT|-12|30","PASS"
"backpack","ContainerFrame1Item1","texture-path","||","||","PASS"
"backpack","ContainerFrame1Item1","font","|","|","PASS"
"backpack","ContainerFrame1Item1","color","","","PASS"
"backpack","ContainerFrame1Item1","layer","MEDIUM|","MEDIUM|","PASS"
"backpack","ContainerFrame1Item1NormalTexture","presence","PRESENT","PRESENT","PASS"
"backpack","ContainerFrame1Item1NormalTexture","geometry","130|159|64|64","130|159|64|64","PASS"
"backpack","ContainerFrame1Item1NormalTexture","anchor","CENTER|ContainerFrame1Item1|CENTER|0|-1","CENTER|ContainerFrame1Item1|CENTER|0|-1","PASS"
"backpack","ContainerFrame1Item1NormalTexture","texture-path","Interface\Buttons\UI-Quickslot2.blp||","Interface\Buttons\UI-Quickslot2.blp||","PASS"
"backpack","ContainerFrame1Item1NormalTexture","font","|","|","PASS"
"backpack","ContainerFrame1Item1NormalTexture","color","","","PASS"
"backpack","ContainerFrame1Item1NormalTexture","layer","MEDIUM|","MEDIUM|","PASS"
"backpack","ContainerFrame1Name","presence","PRESENT","PRESENT","PASS"
"backpack","ContainerFrame1Name","geometry","47|10|112|12","47|10|112|12","PASS"
"backpack","ContainerFrame1Name","anchor","TOPLEFT|ContainerFrame1|TOPLEFT|47|-10","TOPLEFT|ContainerFrame1|TOPLEFT|47|-10","PASS"
"backpack","ContainerFrame1Name","texture-path","||","||","PASS"
"backpack","ContainerFrame1Name","font","GameFontHighlight|12","GameFontHighlight|12","PASS"
"backpack","ContainerFrame1Name","color","1,1,1,1","1,1,1,1","PASS"
"backpack","ContainerFrame1Name","layer","MEDIUM|ARTWORK","MEDIUM|ARTWORK","PASS"
"backpack","ContainerFrame1Portrait","presence","PRESENT","PRESENT","PASS"
"backpack","ContainerFrame1Portrait","geometry","7|5|40|40","7|5|40|40","PASS"
"backpack","ContainerFrame1Portrait","anchor","TOPLEFT|ContainerFrame1|TOPLEFT|7|-5","TOPLEFT|ContainerFrame1|TOPLEFT|7|-5","PASS"
"backpack","ContainerFrame1Portrait","texture-path","Interface\Buttons\Button-Backpack-Up.blp||","Interface\Buttons\Button-Backpack-Up.blp||","PASS"
"backpack","ContainerFrame1Portrait","font","|","|","PASS"
"backpack","ContainerFrame1Portrait","color","","","PASS"
"backpack","ContainerFrame1Portrait","layer","MEDIUM|BACKGROUND","MEDIUM|BACKGROUND","PASS"
