panel,element,field,expected,actual,verdict
"action-bar","ExhaustionLevelFillBar","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"action-bar","ExhaustionLevelFillBar","presence","PRESENT","ABSENT","DELTA"
"action-bar","MainMenuBar","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuBar","presence","PRESENT","PRESENT","PASS"
"action-bar","MainMenuBarArtFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"action-bar","MainMenuBarArtFrame","presence","PRESENT","ABSENT","DELTA"
"action-bar","MainMenuBarExpText","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"action-bar","MainMenuBarExpText","presence","PRESENT","ABSENT","DELTA"
"action-bar","MainMenuBarLeftEndCap","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuBarLeftEndCap","presence","PRESENT","PRESENT","PASS"
"action-bar","MainMenuBarOverlayFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"action-bar","MainMenuBarOverlayFrame","presence","PRESENT","ABSENT","DELTA"
"action-bar","MainMenuBarPageNumber","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"action-bar","MainMenuBarPageNumber","presence","PRESENT","ABSENT","DELTA"
"action-bar","MainMenuBarPerformanceBar","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuBarPerformanceBar","presence","PRESENT","PRESENT","PASS"
"action-bar","MainMenuBarPerformanceBarFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuBarPerformanceBarFrame","presence","PRESENT","PRESENT","PASS"
"action-bar","MainMenuBarPerformanceBarFrameButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"action-bar","MainMenuBarPerformanceBarFrameButton","presence","PRESENT","ABSENT","DELTA"
"action-bar","MainMenuBarRightEndCap","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuBarRightEndCap","presence","PRESENT","PRESENT","PASS"
"action-bar","MainMenuBarTexture0","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuBarTexture0","presence","PRESENT","PRESENT","PASS"
"action-bar","MainMenuBarTexture1","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuBarTexture1","presence","PRESENT","PRESENT","PASS"
"action-bar","MainMenuBarTexture2","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuBarTexture2","presence","PRESENT","PRESENT","PASS"
"action-bar","MainMenuBarTexture3","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuBarTexture3","presence","PRESENT","PRESENT","PASS"
"action-bar","MainMenuExpBar","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuExpBar","presence","PRESENT","PRESENT","PASS"
"action-bar","MainMenuExpBar/Texture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"action-bar","MainMenuExpBar/Texture","presence","PRESENT","ABSENT","DELTA"
"action-bar","MainMenuXPBarTexture0","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuXPBarTexture0","presence","PRESENT","PRESENT","PASS"
"action-bar","MainMenuXPBarTexture1","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuXPBarTexture1","presence","PRESENT","PRESENT","PASS"
"action-bar","MainMenuXPBarTexture2","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuXPBarTexture2","presence","PRESENT","PRESENT","PASS"
"action-bar","MainMenuXPBarTexture3","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuXPBarTexture3","presence","PRESENT","PRESENT","PASS"
