panel,element,field,expected,actual,verdict
"action-button","ActionButton1","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-button","ActionButton1","presence","PRESENT","PRESENT","PASS"
"action-button","ActionButton1/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"action-button","ActionButton1/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"action-button","ActionButton1/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"action-button","ActionButton1/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"action-button","ActionButton1/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"action-button","ActionButton1/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"action-button","ActionButton1Cooldown","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"action-button","ActionButton1Cooldown","presence","PRESENT","ABSENT","DELTA"
"action-button","ActionButton1Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"action-button","ActionButton1Count","presence","PRESENT","ABSENT","DELTA"
"action-button","ActionButton1HotKey","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-button","ActionButton1HotKey","presence","PRESENT","PRESENT","PASS"
"action-button","ActionButton1Icon","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-button","ActionButton1Icon","presence","PRESENT","PRESENT","PASS"
"action-button","ActionButton1Name","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"action-button","ActionButton1Name","presence","PRESENT","ABSENT","DELTA"
"action-button","ActionButton1NormalTexture","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-button","ActionButton1NormalTexture","presence","PRESENT","PRESENT","PASS"
