panel,element,field,expected,actual,verdict
"buff-frame","BuffButton0","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"buff-frame","BuffButton0","presence","PRESENT","PRESENT","PASS"
"buff-frame","BuffButton0Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton0Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton0Duration","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"buff-frame","BuffButton0Duration","presence","PRESENT","PRESENT","PASS"
"buff-frame","BuffButton0Icon","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"buff-frame","BuffButton0Icon","presence","PRESENT","PRESENT","PASS"
"buff-frame","BuffButton1","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton1","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton10","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton10","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton10Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton10Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton10Duration","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton10Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton10Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton10Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton11","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton11","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton11Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton11Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton11Duration","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton11Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton11Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton11Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton12","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton12","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton12Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton12Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton12Duration","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton12Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton12Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton12Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton13","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton13","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton13Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton13Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton13Duration","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton13Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton13Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
