panel,element,field,expected,actual,verdict
"chat-frame","ChatFrame1","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"chat-frame","ChatFrame1","presence","PRESENT","PRESENT","PASS"
"chat-frame","ChatFrame1/FontString","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"chat-frame","ChatFrame1/FontString","presence","PRESENT","PRESENT","PASS"
"chat-frame","ChatFrame1Background","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"chat-frame","ChatFrame1Background","presence","PRESENT","PRESENT","PASS"
"chat-frame","ChatFrame1BottomButton","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"chat-frame","ChatFrame1BottomButton","presence","PRESENT","PRESENT","PASS"
"chat-frame","ChatFrame1BottomButton/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1BottomButton/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1BottomButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1BottomButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1BottomButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"chat-frame","ChatFrame1BottomButton/NormalTexture","presence","PRESENT","PRESENT","PASS"
"chat-frame","ChatFrame1BottomButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1BottomButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1DownButton","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"chat-frame","ChatFrame1DownButton","presence","PRESENT","PRESENT","PASS"
"chat-frame","ChatFrame1DownButton/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1DownButton/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1DownButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1DownButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1DownButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"chat-frame","ChatFrame1DownButton/NormalTexture","presence","PRESENT","PRESENT","PASS"
"chat-frame","ChatFrame1DownButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1DownButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1ResizeBottom","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1ResizeBottom","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1ResizeBottomLeft","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1ResizeBottomLeft","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1ResizeBottomLeftTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1ResizeBottomLeftTexture","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1ResizeBottomRight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1ResizeBottomRight","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1ResizeBottomRightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1ResizeBottomRightTexture","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1ResizeBottomTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1ResizeBottomTexture","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1ResizeLeft","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1ResizeLeft","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1ResizeLeftTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1ResizeLeftTexture","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1ResizeRight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1ResizeRight","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1ResizeRightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1ResizeRightTexture","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1ResizeTop","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1ResizeTop","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1ResizeTopLeft","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1ResizeTopLeft","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1ResizeTopLeftTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1ResizeTopLeftTexture","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1ResizeTopRight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1ResizeTopRight","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1ResizeTopRightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1ResizeTopRightTexture","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1ResizeTopTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1ResizeTopTexture","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1UpButton","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"chat-frame","ChatFrame1UpButton","presence","PRESENT","PRESENT","PASS"
"chat-frame","ChatFrame1UpButton/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1UpButton/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1UpButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1UpButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"chat-frame","ChatFrame1UpButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"chat-frame","ChatFrame1UpButton/NormalTexture","presence","PRESENT","PRESENT","PASS"
"chat-frame","ChatFrame1UpButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"chat-frame","ChatFrame1UpButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
