panel,element,field,expected,actual,verdict
"minimap","Minimap","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"minimap","Minimap","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapBackdrop","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"minimap","MinimapBackdrop","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapBorder","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"minimap","MinimapBorder","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapBorderTop","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"minimap","MinimapBorderTop","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapCluster","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"minimap","MinimapCluster","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapToggleButton","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"minimap","MinimapToggleButton","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapToggleButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"minimap","MinimapToggleButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"minimap","MinimapToggleButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"minimap","MinimapToggleButton/NormalTexture","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapToggleButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"minimap","MinimapToggleButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"minimap","MinimapZoneText","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"minimap","MinimapZoneText","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapZoneTextButton","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"minimap","MinimapZoneTextButton","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapZoomIn","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"minimap","MinimapZoomIn","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapZoomIn/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"minimap","MinimapZoomIn/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"minimap","MinimapZoomIn/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"minimap","MinimapZoomIn/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"minimap","MinimapZoomIn/NormalTexture","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"minimap","MinimapZoomIn/NormalTexture","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapZoomIn/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"minimap","MinimapZoomIn/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"minimap","MinimapZoomOut","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"minimap","MinimapZoomOut","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapZoomOut/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"minimap","MinimapZoomOut/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"minimap","MinimapZoomOut/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"minimap","MinimapZoomOut/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"minimap","MinimapZoomOut/NormalTexture","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"minimap","MinimapZoomOut/NormalTexture","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapZoomOut/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"minimap","MinimapZoomOut/PushedTexture","presence","PRESENT","ABSENT","DELTA"
