panel,element,field,expected,actual,verdict
"multi-action-bar","MultiBarBottomLeft","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"multi-action-bar","MultiBarBottomLeft","presence","PRESENT","PRESENT","PASS"
"multi-action-bar","MultiBarBottomLeftButton1","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"multi-action-bar","MultiBarBottomLeftButton1","presence","PRESENT","PRESENT","PASS"
"multi-action-bar","MultiBarBottomLeftButton1/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton1/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton1/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton1/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton1/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton1/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10Cooldown","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10Cooldown","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10Count","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10HotKey","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10HotKey","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10Icon","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10Name","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10Name","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton10NormalTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton11","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton11","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton11/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton11/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton11/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton11/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton11/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton11/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton11Cooldown","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton11Cooldown","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton11Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton11Count","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton11HotKey","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton11HotKey","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton11Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton11Icon","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton11Name","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton11Name","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton11NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton11NormalTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton12","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton12","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton12/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton12/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton12/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton12/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton12/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton12/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton12Cooldown","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton12Cooldown","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton12Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton12Count","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton12HotKey","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton12HotKey","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton12Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton12Icon","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton12Name","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton12Name","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton12NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton12NormalTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton1Cooldown","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton1Cooldown","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton1Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton1Count","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton1HotKey","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"multi-action-bar","MultiBarBottomLeftButton1HotKey","presence","PRESENT","PRESENT","PASS"
"multi-action-bar","MultiBarBottomLeftButton1Icon","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"multi-action-bar","MultiBarBottomLeftButton1Icon","presence","PRESENT","PRESENT","PASS"
"multi-action-bar","MultiBarBottomLeftButton1Name","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton1Name","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton1NormalTexture","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"multi-action-bar","MultiBarBottomLeftButton1NormalTexture","presence","PRESENT","PRESENT","PASS"
"multi-action-bar","MultiBarBottomLeftButton2","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton2","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton2/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton2/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton2/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton2/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton2/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton2/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"multi-action-bar","MultiBarBottomLeftButton2Cooldown","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"multi-action-bar","MultiBarBottomLeftButton2Cooldown","presence","PRESENT","ABSENT","DELTA"
