panel,element,field,expected,actual,verdict
"party-frame","PartyMemberFrame1","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"party-frame","PartyMemberFrame1","presence","PRESENT","PRESENT","PASS"
"party-frame","PartyMemberFrame1/Frame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1/Frame","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1/Frame/Frame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1/Frame/Frame","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1/Frame/FrameName","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1/Frame/FrameName","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1/Frame/FrameTexture","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"party-frame","PartyMemberFrame1/Frame/FrameTexture","presence","PRESENT","PRESENT","PASS"
"party-frame","PartyMemberFrame1Debuff1","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1Debuff1","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff1Border","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1Debuff1Border","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff1Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1Debuff1Icon","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff2","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1Debuff2","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff2Border","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1Debuff2Border","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff2Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1Debuff2Icon","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff3","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1Debuff3","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff3Border","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1Debuff3Border","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff3Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1Debuff3Icon","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff4","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1Debuff4","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff4Border","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1Debuff4Border","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1Debuff4Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"party-frame","PartyMemberFrame1Debuff4Icon","presence","PRESENT","ABSENT","DELTA"
"party-frame","PartyMemberFrame1HealthBar","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"party-frame","PartyMemberFrame1HealthBar","presence","PRESENT","PRESENT","PASS"
"party-frame","PartyMemberFrame1ManaBar","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"party-frame","PartyMemberFrame1ManaBar","presence","PRESENT","PRESENT","PASS"
"party-frame","PartyMemberFrame1PetFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
