panel,element,field,expected,actual,verdict
"player-frame","PlayerAttackBackground","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"player-frame","PlayerAttackBackground","presence","PRESENT","ABSENT","DELTA"
"player-frame","PlayerAttackGlow","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"player-frame","PlayerAttackGlow","presence","PRESENT","ABSENT","DELTA"
"player-frame","PlayerAttackIcon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"player-frame","PlayerAttackIcon","presence","PRESENT","ABSENT","DELTA"
"player-frame","PlayerFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"player-frame","PlayerFrame","presence","PRESENT","PRESENT","PASS"
"player-frame","PlayerFrame","geometry","0|0|232|100","0|0|232|100","PASS"
"player-frame","PlayerFrame","anchor","TOPLEFT|||-19|-4","ANCHOR:ABSOLUTE|||-19|4","DELTA"
"player-frame","PlayerFrame","texture-path","||","||","PASS"
"player-frame","PlayerFrame","font","|","|","PASS"
"player-frame","PlayerFrame","color","","","PASS"
"player-frame","PlayerFrame","layer","BACKGROUND|","IMGUI_WINDOW|IMGUI_HOST","DELTA"
"player-frame","PlayerFrame/Frame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"player-frame","PlayerFrame/Frame","presence","PRESENT","ABSENT","DELTA"
"player-frame","PlayerFrame/Frame/Frame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"player-frame","PlayerFrame/Frame/Frame","presence","PRESENT","ABSENT","DELTA"
"player-frame","PlayerFrameBackground","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"player-frame","PlayerFrameBackground","presence","PRESENT","PRESENT","PASS"
"player-frame","PlayerFrameBackground","geometry","106|22|119|41","106|22|119|41","PASS"
"player-frame","PlayerFrameBackground","anchor","TOPLEFT|||106|-22","TOPLEFT|PlayerFrame|TOPLEFT|106|-22","DELTA"
"player-frame","PlayerFrameBackground","texture-path","||","||","PASS"
"player-frame","PlayerFrameBackground","font","|","|","PASS"
"player-frame","PlayerFrameBackground","color","","#00000080","DELTA"
"player-frame","PlayerFrameBackground","layer","BACKGROUND|BACKGROUND","IMGUI_WINDOW|IMGUI_RECT_FILLED","DELTA"
"player-frame","PlayerFrameDropDown","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"player-frame","PlayerFrameDropDown","presence","PRESENT","ABSENT","DELTA"
"player-frame","PlayerFrameGroupIndicator","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
