panel,element,field,expected,actual,verdict
"reputation-bar","ReputationWatchBar","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"reputation-bar","ReputationWatchBar","presence","PRESENT","PRESENT","PASS"
"reputation-bar","ReputationWatchBarOverlayFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"reputation-bar","ReputationWatchBarOverlayFrame","presence","PRESENT","PRESENT","PASS"
"reputation-bar","ReputationWatchBarTexture0","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"reputation-bar","ReputationWatchBarTexture0","presence","PRESENT","PRESENT","PASS"
"reputation-bar","ReputationWatchBarTexture1","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"reputation-bar","ReputationWatchBarTexture1","presence","PRESENT","PRESENT","PASS"
"reputation-bar","ReputationWatchBarTexture2","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"reputation-bar","ReputationWatchBarTexture2","presence","PRESENT","PRESENT","PASS"
"reputation-bar","ReputationWatchBarTexture3","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"reputation-bar","ReputationWatchBarTexture3","presence","PRESENT","PRESENT","PASS"
"reputation-bar","ReputationWatchStatusBar","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"reputation-bar","ReputationWatchStatusBar","presence","PRESENT","PRESENT","PASS"
"reputation-bar","ReputationWatchStatusBarBackground","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"reputation-bar","ReputationWatchStatusBarBackground","presence","PRESENT","PRESENT","PASS"
"reputation-bar","ReputationXPBarTexture0","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"reputation-bar","ReputationXPBarTexture0","presence","PRESENT","PRESENT","PASS"
"reputation-bar","ReputationXPBarTexture1","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"reputation-bar","ReputationXPBarTexture1","presence","PRESENT","PRESENT","PASS"
"reputation-bar","ReputationXPBarTexture2","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"reputation-bar","ReputationXPBarTexture2","presence","PRESENT","PRESENT","PASS"
"reputation-bar","ReputationXPBarTexture3","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"reputation-bar","ReputationXPBarTexture3","presence","PRESENT","PRESENT","PASS"
