panel,element,field,expected,actual,verdict
"target-frame","TargetDeadText","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetDeadText","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"target-frame","TargetFrame","presence","PRESENT","PRESENT","PASS"
"target-frame","TargetFrame","geometry","0|0|232|100","0|0|232|100","PASS"
"target-frame","TargetFrame","anchor","TOPLEFT|||250|-4","ANCHOR:ABSOLUTE|||250|4","DELTA"
"target-frame","TargetFrame","texture-path","||","||","PASS"
"target-frame","TargetFrame","font","|","|","PASS"
"target-frame","TargetFrame","color","","","PASS"
"target-frame","TargetFrame","layer","LOW|","IMGUI_WINDOW|IMGUI_HOST","DELTA"
"target-frame","TargetFrameBackground","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"target-frame","TargetFrameBackground","presence","PRESENT","PRESENT","PASS"
"target-frame","TargetFrameBackground","geometry","7|22|119|41","7|22|119|41","PASS"
"target-frame","TargetFrameBackground","anchor","TOPRIGHT|||-106|-22","TOPLEFT|TargetFrame|TOPLEFT|7|-22","DELTA"
"target-frame","TargetFrameBackground","texture-path","||","||","PASS"
"target-frame","TargetFrameBackground","font","|","|","PASS"
"target-frame","TargetFrameBackground","color","","#00000080","DELTA"
"target-frame","TargetFrameBackground","layer","LOW|BACKGROUND","IMGUI_WINDOW|IMGUI_RECT_FILLED","DELTA"
"target-frame","TargetFrameBuff1","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameBuff1","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameBuff2","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameBuff2","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameBuff3","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameBuff3","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameBuff4","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameBuff4","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameBuff5","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameBuff5","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff1","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameDebuff1","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff10","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameDebuff10","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff11","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameDebuff11","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff12","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameDebuff12","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff13","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameDebuff13","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff14","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameDebuff14","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff15","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameDebuff15","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff16","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameDebuff16","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff2","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameDebuff2","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff3","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameDebuff3","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff4","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameDebuff4","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff5","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameDebuff5","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff6","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameDebuff6","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff7","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameDebuff7","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff8","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameDebuff8","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDebuff9","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameDebuff9","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameDropDown","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"target-frame","TargetFrameDropDown","presence","PRESENT","ABSENT","DELTA"
"target-frame","TargetFrameNameBackground","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"target-frame","TargetFrameNameBackground","presence","PRESENT","PRESENT","PASS"
"target-frame","TargetFrameNameBackground","geometry","7|22|119|19","7|22|119|19","PASS"
"target-frame","TargetFrameNameBackground","anchor","TOPRIGHT|||-106|-22","TOPRIGHT|TargetFrame|TOPRIGHT|-106|-22","DELTA"
"target-frame","TargetFrameNameBackground","texture-path","Interface\TargetingFrame\UI-TargetingFrame-LevelBackground.blp||","Interface\TargetingFrame\UI-TargetingFrame-LevelBackground.blp||","PASS"
"target-frame","TargetFrameNameBackground","font","|","|","PASS"
"target-frame","TargetFrameNameBackground","color","","#FFFF00FF","DELTA"
"target-frame","TargetFrameNameBackground","layer","LOW|BACKGROUND","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"target-frame","TargetFrameTexture","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"target-frame","TargetFrameTexture","presence","PRESENT","PRESENT","PASS"
"target-frame","TargetFrameTexture","geometry","|||","0|0|232|100","DELTA"
"target-frame","TargetFrameTexture","anchor","||||","ANCHOR:ABSOLUTE|||250|4","DELTA"
