panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"action-bar","MainMenuBar","Frame","","0","0","1024","53","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"action-bar","MainMenuExpBar","StatusBar","MainMenuBar","0","0","1024","13","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"action-bar","MainMenuXPBarTexture0","Texture","MainMenuExpBar","0","0","256","10","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"action-bar","MainMenuXPBarTexture1","Texture","MainMenuExpBar","256","0","256","10","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"action-bar","MainMenuXPBarTexture2","Texture","MainMenuExpBar","512","0","256","10","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"action-bar","MainMenuXPBarTexture3","Texture","MainMenuExpBar","768","0","256","10","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"action-bar","MainMenuBarTexture0","Texture","MainMenuBarArtFrame","0","10","256","43","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"action-bar","MainMenuBarTexture1","Texture","MainMenuBarArtFrame","256","10","256","43","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"action-bar","MainMenuBarTexture2","Texture","MainMenuBarArtFrame","512","10","256","43","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"action-bar","MainMenuBarTexture3","Texture","MainMenuBarArtFrame","768","10","256","43","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"action-bar","MainMenuBarLeftEndCap","Texture","MainMenuBarArtFrame","-96","-75","128","128","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"action-bar","MainMenuBarRightEndCap","Texture","MainMenuBarArtFrame","992","-75","128","128","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"action-bar","MainMenuBarPerformanceBarFrame","Frame","MainMenuBar","781","-1","16","64","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"action-bar","MainMenuBarPerformanceBar","Texture","MainMenuBarPerformanceBarFrame","777","-1","20","66","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
