panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"minimap","MinimapCluster","Frame","","0","0","192","192","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"minimap","Minimap","Minimap","MinimapCluster","35","22","140","140","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"minimap","MinimapBackdrop","Frame","Minimap","0","20","192","192","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"minimap","MinimapBorder","Texture","MinimapBackdrop","0","20","192","192","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"minimap","MinimapZoomIn","Button","MinimapBackdrop","157","113","32","32","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"minimap","MinimapZoomIn/NormalTexture","NormalTexture","MinimapZoomIn","157","113","32","32","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"minimap","MinimapZoomOut","Button","MinimapBackdrop","131","141","32","32","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"minimap","MinimapZoomOut/NormalTexture","NormalTexture","MinimapZoomOut","131","141","32","32","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"minimap","MinimapBorderTop","Texture","MinimapCluster","0","0","192","32","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"minimap","MinimapZoneTextButton","Button","MinimapCluster","29","7","128","12","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"minimap","MinimapZoneText","FontString","MinimapZoneTextButton","29","7","128","12","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"minimap","MinimapToggleButton","Button","MinimapCluster","161","-3","32","32","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"minimap","MinimapToggleButton/NormalTexture","NormalTexture","MinimapToggleButton","161","-3","32","32","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
