panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"reputation-bar","ReputationWatchBar","Frame","","0","0","1024","11","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"reputation-bar","ReputationWatchStatusBar","StatusBar","ReputationWatchBar","0","0","1024","8","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"reputation-bar","ReputationWatchBarTexture0","Texture","ReputationWatchStatusBar","0","-2","256","11","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"reputation-bar","ReputationWatchBarTexture1","Texture","ReputationWatchStatusBar","256","-2","256","11","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"reputation-bar","ReputationWatchBarTexture2","Texture","ReputationWatchStatusBar","512","-2","256","11","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"reputation-bar","ReputationWatchBarTexture3","Texture","ReputationWatchStatusBar","768","-2","256","11","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"reputation-bar","ReputationXPBarTexture0","Texture","ReputationWatchStatusBar","0","0","256","10","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"reputation-bar","ReputationXPBarTexture1","Texture","ReputationWatchStatusBar","256","0","256","10","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"reputation-bar","ReputationXPBarTexture2","Texture","ReputationWatchStatusBar","512","0","256","10","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"reputation-bar","ReputationXPBarTexture3","Texture","ReputationWatchStatusBar","768","0","256","10","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"reputation-bar","ReputationWatchStatusBarBackground","Texture","ReputationWatchStatusBar","0","0","1024","8","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
"reputation-bar","ReputationWatchBarOverlayFrame","Frame","ReputationWatchBar","0","0","1024","11","","","","","","","","","","","","","","","","","","","MSUI:legacy-geometry-only","","","DRAWN-NOT-INSTRUMENTED"
