panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"target-frame","TargetFrame","Button","","0","0","232","100","ANCHOR:ABSOLUTE","","","250","4","","","","","","IMGUI_HOST","IMGUI_WINDOW","","","","","","","MSUI:derived-from-draw-variables","","","DRAWN-INSTRUMENTED"
"target-frame","TargetFrameBackground","Texture","TargetFrame","7","22","119","41","TOPLEFT","TargetFrame","TOPLEFT","7","-22","","","","","#00000080","IMGUI_RECT_FILLED","IMGUI_WINDOW","","","","","","","MSUI:derived-from-draw-variables","","","DRAWN-INSTRUMENTED"
"target-frame","TargetFrameNameBackground","Texture","TargetFrame","7","22","119","19","TOPRIGHT","TargetFrame","TOPRIGHT","-106","-22","Interface\TargetingFrame\UI-TargetingFrame-LevelBackground.blp","","","","#FFFF00FF","IMGUI_IMAGE","IMGUI_WINDOW","","","","","","","MSUI:derived-from-draw-variables","interface.MPQ:Interface\TargetingFrame\UI-TargetingFrame-LevelBackground.blp","","DRAWN-INSTRUMENTED"
"target-frame","TargetPortrait","Texture","TargetFrame","126","12","64","64","TOPRIGHT","TargetFrame","TOPRIGHT","-42","-12","","","","","#FFFFFFFF","IMGUI_IMAGE","IMGUI_WINDOW","","","","","","","MSUI:derived-from-draw-variables","","","DRAWN-INSTRUMENTED"
"target-frame","TargetFrameTexture","Texture","TargetFrameTextureFrame","0","0","232","100","ANCHOR:ABSOLUTE","","","250","4","Interface\TargetingFrame\UI-TargetingFrame.blp","","","","#FFFFFFFF","IMGUI_IMAGE","IMGUI_WINDOW","","","","","","","MSUI:derived-from-draw-variables","interface.MPQ:Interface\TargetingFrame\UI-TargetingFrame.blp","","DRAWN-INSTRUMENTED"
"target-frame","TargetName","FontString","TargetFrameTextureFrame","37.136","26","57.727","10","ANCHOR:ABSOLUTE","","","287.136","30","","","","10","#FFD100FF","IMGUI_TEXT","IMGUI_WINDOW","","","","","","","MSUI:derived-from-draw-variables","","","DRAWN-INSTRUMENTED"
"target-frame","TargetLevelText","FontString","TargetFrameTextureFrame","176.273","61","5.455","10","ANCHOR:ABSOLUTE","","","426.273","65","","","","10","#FFFF00FF","IMGUI_TEXT","IMGUI_WINDOW","","","","","","","MSUI:derived-from-draw-variables","","","DRAWN-INSTRUMENTED"
"target-frame","TargetFrameTextureFrame","","TargetFrame","","","","","","","","","","","","","","","","","","","","","","","MSUI:panel-draw-walk","","","NOT-DRAWN"
"target-frame","TargetDeadText","","TargetFrame","","","","","","","","","","","","","","","","","","","","","","","MSUI:panel-draw-walk","","","NOT-DRAWN"
"target-frame","TargetHighLevelTexture","","TargetFrame","","","","","","","","","","","","","","","","","","","","","","","MSUI:panel-draw-walk","","","NOT-DRAWN"
