panel,element,field,expected,actual,verdict
"xp-bar","ExhaustionLevelFillBar","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"xp-bar","ExhaustionLevelFillBar","presence","PRESENT","ABSENT","DELTA"
"action-bar","MainMenuBar","coverage","NOT-REFERENCE","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuBar","presence","ABSENT","PRESENT","DELTA"
"xp-bar","MainMenuBarExpText","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"xp-bar","MainMenuBarExpText","presence","PRESENT","ABSENT","DELTA"
"action-bar","MainMenuBarLeftEndCap","coverage","NOT-REFERENCE","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuBarLeftEndCap","presence","ABSENT","PRESENT","DELTA"
"xp-bar","MainMenuBarOverlayFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"xp-bar","MainMenuBarOverlayFrame","presence","PRESENT","ABSENT","DELTA"
"action-bar","MainMenuBarPerformanceBar","coverage","NOT-REFERENCE","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuBarPerformanceBar","presence","ABSENT","PRESENT","DELTA"
"action-bar","MainMenuBarPerformanceBarFrame","coverage","NOT-REFERENCE","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuBarPerformanceBarFrame","presence","ABSENT","PRESENT","DELTA"
"action-bar","MainMenuBarRightEndCap","coverage","NOT-REFERENCE","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuBarRightEndCap","presence","ABSENT","PRESENT","DELTA"
"action-bar","MainMenuBarTexture0","coverage","NOT-REFERENCE","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuBarTexture0","presence","ABSENT","PRESENT","DELTA"
"action-bar","MainMenuBarTexture1","coverage","NOT-REFERENCE","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuBarTexture1","presence","ABSENT","PRESENT","DELTA"
"action-bar","MainMenuBarTexture2","coverage","NOT-REFERENCE","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuBarTexture2","presence","ABSENT","PRESENT","DELTA"
"action-bar","MainMenuBarTexture3","coverage","NOT-REFERENCE","DRAWN-NOT-INSTRUMENTED","DELTA"
"action-bar","MainMenuBarTexture3","presence","ABSENT","PRESENT","DELTA"
"xp-bar","MainMenuExpBar","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"xp-bar","MainMenuExpBar","presence","PRESENT","PRESENT","PASS"
"xp-bar","MainMenuExpBar/Texture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"xp-bar","MainMenuExpBar/Texture","presence","PRESENT","ABSENT","DELTA"
"xp-bar","MainMenuXPBarTexture0","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"xp-bar","MainMenuXPBarTexture0","presence","PRESENT","PRESENT","PASS"
"xp-bar","MainMenuXPBarTexture1","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"xp-bar","MainMenuXPBarTexture1","presence","PRESENT","PRESENT","PASS"
"xp-bar","MainMenuXPBarTexture2","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"xp-bar","MainMenuXPBarTexture2","presence","PRESENT","PRESENT","PASS"
"xp-bar","MainMenuXPBarTexture3","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"xp-bar","MainMenuXPBarTexture3","presence","PRESENT","PRESENT","PASS"
