panel,element,field,expected,actual,verdict
"character-frame","CharacterFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"character-frame","CharacterFrame","presence","PRESENT","PRESENT","PASS"
"character-frame","CharacterFrame","geometry","0|0|384|512","0|0|384|544","DELTA"
"character-frame","CharacterFrame","anchor","TOPLEFT|||0|-104","ANCHOR:ABSOLUTE|||0|8","DELTA"
"character-frame","CharacterFrame","texture-path","||","||","PASS"
"character-frame","CharacterFrame","font","|","|","PASS"
"character-frame","CharacterFrame","color","","","PASS"
"character-frame","CharacterFrame","layer","|","IMGUI_WINDOW|IMGUI_HOST","DELTA"
"character-frame","CharacterFrameCloseButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"character-frame","CharacterFrameCloseButton","presence","PRESENT","ABSENT","DELTA"
"character-frame","CharacterFrameCloseButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"character-frame","CharacterFrameCloseButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"character-frame","CharacterFrameCloseButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"character-frame","CharacterFrameCloseButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"character-frame","CharacterFrameCloseButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"character-frame","CharacterFrameCloseButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"character-frame","CharacterFramePortrait","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"character-frame","CharacterFramePortrait","presence","PRESENT","ABSENT","DELTA"
"character-frame","CharacterFrameTab1","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"character-frame","CharacterFrameTab1","presence","PRESENT","ABSENT","DELTA"
"character-frame","CharacterFrameTab2","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"character-frame","CharacterFrameTab2","presence","PRESENT","ABSENT","DELTA"
"character-frame","CharacterFrameTab3","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"character-frame","CharacterFrameTab3","presence","PRESENT","ABSENT","DELTA"
"character-frame","CharacterFrameTab4","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"character-frame","CharacterFrameTab4","presence","PRESENT","ABSENT","DELTA"
"character-frame","CharacterFrameTab5","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"character-frame","CharacterFrameTab5","presence","PRESENT","ABSENT","DELTA"
"character-frame","CharacterNameFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"character-frame","CharacterNameFrame","presence","PRESENT","ABSENT","DELTA"
"character-frame","CharacterNameText","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"character-frame","CharacterNameText","presence","PRESENT","ABSENT","DELTA"
"character-frame","PaperDollFrame","coverage","NOT-REFERENCE","DRAWN-INSTRUMENTED","DELTA"
"character-frame","PaperDollFrame","presence","ABSENT","PRESENT","DELTA"
"character-frame","PaperDollFrame/Texture","coverage","NOT-REFERENCE","DRAWN-INSTRUMENTED","DELTA"
"character-frame","PaperDollFrame/Texture","presence","ABSENT","PRESENT","DELTA"
"character-frame","PaperDollFrame/Texture#2","coverage","NOT-REFERENCE","DRAWN-INSTRUMENTED","DELTA"
"character-frame","PaperDollFrame/Texture#2","presence","ABSENT","PRESENT","DELTA"
"character-frame","PaperDollFrame/Texture#3","coverage","NOT-REFERENCE","DRAWN-INSTRUMENTED","DELTA"
"character-frame","PaperDollFrame/Texture#3","presence","ABSENT","PRESENT","DELTA"
"character-frame","PaperDollFrame/Texture#4","coverage","NOT-REFERENCE","DRAWN-INSTRUMENTED","DELTA"
"character-frame","PaperDollFrame/Texture#4","presence","ABSENT","PRESENT","DELTA"
