panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"character-frame","PaperDollFrame","Frame","","0","0","","","","","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","PaperDollFrame/Texture","Texture","PaperDollFrame","","","256","256","TOPLEFT","","","","","Interface\PaperDollInfoFrame\UI-Character-CharacterTab-L1.blp","","","","","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","interface.MPQ:Interface\PaperDollInfoFrame\UI-Character-CharacterTab-L1.blp","",""
"character-frame","PaperDollFrame/Texture","Texture","PaperDollFrame","","","128","256","TOPLEFT","","","256","0","Interface\PaperDollInfoFrame\UI-Character-CharacterTab-R1.blp","","","","","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","interface.MPQ:Interface\PaperDollInfoFrame\UI-Character-CharacterTab-R1.blp","",""
"character-frame","PaperDollFrame/Texture","Texture","PaperDollFrame","","","256","256","TOPLEFT","","","0","-256","Interface\PaperDollInfoFrame\UI-Character-CharacterTab-BottomLeft.blp","","","","","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","interface.MPQ:Interface\PaperDollInfoFrame\UI-Character-CharacterTab-BottomLeft.blp","",""
"character-frame","PaperDollFrame/Texture","Texture","PaperDollFrame","","","128","256","TOPLEFT","","","256","-256","Interface\PaperDollInfoFrame\UI-Character-CharacterTab-BottomRight.blp","","","","","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","interface.MPQ:Interface\PaperDollInfoFrame\UI-Character-CharacterTab-BottomRight.blp","",""
"character-frame","CharacterLevelText","FontString","PaperDollFrame","","","","","TOP","CharacterNameText","BOTTOM","0","-6","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"character-frame","CharacterGuildText","FontString","PaperDollFrame","","","","","TOP","CharacterLevelText","BOTTOM","0","-1","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"character-frame","CharacterAttributesFrame","Frame","PaperDollFrame","","","230","78","TOPLEFT","","","67","-291","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","PlayerStatBackgroundTop","Texture","CharacterAttributesFrame","","","115","16","TOPLEFT","","","0","0","Interface\PaperDollInfoFrame\UI-Character-StatBackground.blp","","","","","BACKGROUND","","","","","","","0|0|0.8984375|0.125","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","interface.MPQ:Interface\PaperDollInfoFrame\UI-Character-StatBackground.blp","",""
"character-frame","PlayerStatBackgroundMiddle","Texture","CharacterAttributesFrame","","","115","53","TOPLEFT","PlayerStatBackgroundTop","BOTTOMLEFT","0","0","Interface\PaperDollInfoFrame\UI-Character-StatBackground.blp","","","","","BACKGROUND","","","","","","","0|0.125|0.8984375|0.1953125","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","interface.MPQ:Interface\PaperDollInfoFrame\UI-Character-StatBackground.blp","",""
"character-frame","PlayerStatBackgroundBottom","Texture","CharacterAttributesFrame","","","115","16","TOPLEFT","PlayerStatBackgroundMiddle","BOTTOMLEFT","0","0","Interface\PaperDollInfoFrame\UI-Character-StatBackground.blp","","","","","BACKGROUND","","","","","","","0|0.484375|0.8984375|0.609375","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","interface.MPQ:Interface\PaperDollInfoFrame\UI-Character-StatBackground.blp","",""
"character-frame","MeleeAttackBackgroundTop","Texture","CharacterAttributesFrame","","","115","16","TOPLEFT","","","115","0","Interface\PaperDollInfoFrame\UI-Character-StatBackground.blp","","","","","BACKGROUND","","","","","","","0|0|0.8984375|0.125","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","interface.MPQ:Interface\PaperDollInfoFrame\UI-Character-StatBackground.blp","",""
"character-frame","MeleeAttackBackgroundMiddle","Texture","CharacterAttributesFrame","","","115","12","TOPLEFT","MeleeAttackBackgroundTop","BOTTOMLEFT","0","0","Interface\PaperDollInfoFrame\UI-Character-StatBackground.blp","","","","","BACKGROUND","","","","","","","0|0.125|0.8984375|0.1953125","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","interface.MPQ:Interface\PaperDollInfoFrame\UI-Character-StatBackground.blp","",""
"character-frame","MeleeAttackBackgroundBottom","Texture","CharacterAttributesFrame","","","115","16","TOPLEFT","MeleeAttackBackgroundMiddle","BOTTOMLEFT","0","0","Interface\PaperDollInfoFrame\UI-Character-StatBackground.blp","","","","","BACKGROUND","","","","","","","0|0.484375|0.8984375|0.609375","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","interface.MPQ:Interface\PaperDollInfoFrame\UI-Character-StatBackground.blp","",""
"character-frame","RangedAttackBackgroundTop","Texture","CharacterAttributesFrame","","","115","16","TOPLEFT","MeleeAttackBackgroundBottom","BOTTOMLEFT","0","2","Interface\PaperDollInfoFrame\UI-Character-StatBackground.blp","","","","","BACKGROUND","","","","","","","0|0|0.8984375|0.125","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","interface.MPQ:Interface\PaperDollInfoFrame\UI-Character-StatBackground.blp","",""
"character-frame","RangedAttackBackgroundMiddle","Texture","CharacterAttributesFrame","","","115","11","TOPLEFT","RangedAttackBackgroundTop","BOTTOMLEFT","0","0","Interface\PaperDollInfoFrame\UI-Character-StatBackground.blp","","","","","BACKGROUND","","","","","","","0|0.125|0.8984375|0.1953125","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","interface.MPQ:Interface\PaperDollInfoFrame\UI-Character-StatBackground.blp","",""
"character-frame","RangedAttackBackgroundBottom","Texture","CharacterAttributesFrame","","","115","16","TOPLEFT","RangedAttackBackgroundMiddle","BOTTOMLEFT","0","0","Interface\PaperDollInfoFrame\UI-Character-StatBackground.blp","","","","","BACKGROUND","","","","","","","0|0.484375|0.8984375|0.609375","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","interface.MPQ:Interface\PaperDollInfoFrame\UI-Character-StatBackground.blp","",""
"character-frame","CharacterStatFrame1","Frame","CharacterAttributesFrame","","","104","13","TOPLEFT","","","6","-3","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterStatFrame1Label","FontString","CharacterStatFrame1","","","","","LEFT","","","","","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"character-frame","CharacterStatFrame1Stat","Frame","CharacterStatFrame1","","","30","13","RIGHT","","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterStatFrame1StatText","FontString","CharacterStatFrame1Stat","","","","","RIGHT","","","","","","GameFontHighlightSmall","Fonts\FRIZQT__.TTF","10","#FFFFFFFF","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"character-frame","CharacterStatFrame2","Frame","CharacterAttributesFrame","","","104","13","TOPLEFT","CharacterStatFrame1","BOTTOMLEFT","0","0","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
"character-frame","CharacterStatFrame2Label","FontString","CharacterStatFrame2","","","","","LEFT","","","","","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"character-frame","CharacterStatFrame2Stat","Frame","CharacterStatFrame2","","","30","13","RIGHT","","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\PaperDollFrame.xml","","",""
