panel,element,field,expected,actual,verdict
"loot","LootCloseButton","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"loot","LootCloseButton","presence","PRESENT","PRESENT","PASS"
"loot","LootCloseButton","geometry","159|10|32|32","159|10|32|32","PASS"
"loot","LootCloseButton","anchor","CENTER||TOPRIGHT|-81|-26","TOPLEFT|LootFrame|TOPLEFT|159|-10","DELTA"
"loot","LootCloseButton","texture-path","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp||","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp||","PASS"
"loot","LootCloseButton","font","|","|","PASS"
"loot","LootCloseButton","color","","#FFFFFFFF","DELTA"
"loot","LootCloseButton","layer","|","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"loot","LootCloseButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"loot","LootCloseButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"loot","LootCloseButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"loot","LootCloseButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"loot","LootCloseButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"loot","LootCloseButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"loot","LootFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"loot","LootFrame","presence","PRESENT","PRESENT","PASS"
"loot","LootFrame","geometry","0|0|256|256","0|0|256|256","PASS"
"loot","LootFrame","anchor","TOPLEFT|||0|-104","ANCHOR:ABSOLUTE|||16|116","DELTA"
"loot","LootFrame","texture-path","||","||","PASS"
"loot","LootFrame","font","|","|","PASS"
"loot","LootFrame","color","","","PASS"
"loot","LootFrame","layer","|","IMGUI_WINDOW|IMGUI_HOST","DELTA"
"loot","LootFrame/FontString","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"loot","LootFrame/FontString","presence","PRESENT","ABSENT","DELTA"
"loot","LootFrame/Texture","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"loot","LootFrame/Texture","presence","PRESENT","PRESENT","PASS"
"loot","LootFrame/Texture","geometry","0|0|256|256","0|0|256|256","PASS"
"loot","LootFrame/Texture","anchor","||||","TOPLEFT|LootFrame|TOPLEFT|0|0","DELTA"
"loot","LootFrame/Texture","texture-path","Interface\LootFrame\UI-LootPanel.blp||","Interface\LootFrame\UI-LootPanel.blp||","PASS"
"loot","LootFrame/Texture","font","|","|","PASS"
"loot","LootFrame/Texture","color","","#FFFFFFFF","DELTA"
"loot","LootFrame/Texture","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"loot","LootFrameDownButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"loot","LootFrameDownButton","presence","PRESENT","ABSENT","DELTA"
"loot","LootFrameDownButton/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"loot","LootFrameDownButton/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"loot","LootFrameDownButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"loot","LootFrameDownButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"loot","LootFrameDownButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"loot","LootFrameDownButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"loot","LootFrameDownButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"loot","LootFrameDownButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"loot","LootFrameNext","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"loot","LootFrameNext","presence","PRESENT","ABSENT","DELTA"
"loot","LootFramePortraitOverlay","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"loot","LootFramePortraitOverlay","presence","PRESENT","PRESENT","PASS"
"loot","LootFramePortraitOverlay","geometry","10|8|58|58","10|8|58|58","PASS"
"loot","LootFramePortraitOverlay","anchor","TOPLEFT|||10|-8","TOPLEFT|LootFrame|TOPLEFT|10|-8","DELTA"
"loot","LootFramePortraitOverlay","texture-path","Interface\TargetingFrame\TargetDead.blp||","Interface\TargetingFrame\TargetDead.blp||","PASS"
"loot","LootFramePortraitOverlay","font","|","|","PASS"
"loot","LootFramePortraitOverlay","color","","#FFFFFFFF","DELTA"
"loot","LootFramePortraitOverlay","layer","|BORDER","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"loot","LootFramePrev","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"loot","LootFramePrev","presence","PRESENT","ABSENT","DELTA"
"loot","LootFrameUpButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"loot","LootFrameUpButton","presence","PRESENT","ABSENT","DELTA"
"loot","LootFrameUpButton/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"loot","LootFrameUpButton/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"loot","LootFrameUpButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"loot","LootFrameUpButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"loot","LootFrameUpButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"loot","LootFrameUpButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"loot","LootFrameUpButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"loot","LootFrameUpButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
