panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"loot","LootFrame","Frame","","0","0","256","256","TOPLEFT","","","0","-104","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\LootFrame.xml","","",""
"loot","LootFramePortraitOverlay","Texture","LootFrame","10","8","58","58","TOPLEFT","","","10","-8","Interface\TargetingFrame\TargetDead.blp","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\LootFrame.xml","interface.MPQ:Interface\TargetingFrame\TargetDead.blp","",""
"loot","LootFrame/Texture","Texture","LootFrame","0","0","256","256","","","","","","Interface\LootFrame\UI-LootPanel.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\LootFrame.xml","interface.MPQ:Interface\LootFrame\UI-LootPanel.blp","",""
"loot","LootFrame/FontString","FontString","LootFrame","","","","","CENTER","","","-12","102","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\LootFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"loot","LootFramePrev","FontString","LootFrame","","","","","BOTTOMLEFT","","","57","27","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\LootFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"loot","LootFrameNext","FontString","LootFrame","","","","","RIGHT","LootFramePrev","LEFT","85","0","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\LootFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"loot","LootCloseButton","Button","LootFrame","159","10","32","32","CENTER","","TOPRIGHT","-81","-26","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\LootFrame.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","",""
"loot","LootCloseButton/NormalTexture","NormalTexture","LootCloseButton","159","10","32","32","","","","","","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\LootFrame.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","",""
"loot","LootCloseButton/PushedTexture","PushedTexture","LootCloseButton","159","10","32","32","","","","","","Interface\Buttons\UI-Panel-MinimizeButton-Down.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\LootFrame.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Down.blp","",""
"loot","LootCloseButton/HighlightTexture","HighlightTexture","LootCloseButton","159","10","32","32","","","","","","Interface\Buttons\UI-Panel-MinimizeButton-Highlight.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\LootFrame.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Highlight.blp","",""
"loot","LootFrameUpButton","Button","LootFrame","25","208","32","32","BOTTOMLEFT","LootFrame","BOTTOMLEFT","25","16","Interface\ChatFrame\UI-ChatIcon-ScrollUp-Up.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\LootFrame.xml","interface.MPQ:Interface\ChatFrame\UI-ChatIcon-ScrollUp-Up.blp","",""
"loot","LootFrameUpButton/NormalTexture","NormalTexture","LootFrameUpButton","25","208","32","32","","","","","","Interface\ChatFrame\UI-ChatIcon-ScrollUp-Up.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\LootFrame.xml","interface.MPQ:Interface\ChatFrame\UI-ChatIcon-ScrollUp-Up.blp","",""
"loot","LootFrameUpButton/PushedTexture","PushedTexture","LootFrameUpButton","25","208","32","32","","","","","","Interface\ChatFrame\UI-ChatIcon-ScrollUp-Down.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\LootFrame.xml","interface.MPQ:Interface\ChatFrame\UI-ChatIcon-ScrollUp-Down.blp","",""
"loot","LootFrameUpButton/DisabledTexture","DisabledTexture","LootFrameUpButton","25","208","32","32","","","","","","Interface\ChatFrame\UI-ChatIcon-ScrollUp-Disabled.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\LootFrame.xml","interface.MPQ:Interface\ChatFrame\UI-ChatIcon-ScrollUp-Disabled.blp","",""
"loot","LootFrameUpButton/HighlightTexture","HighlightTexture","LootFrameUpButton","25","208","32","32","","","","","","Interface\Buttons\UI-Common-MouseHilight.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\LootFrame.xml","interface.MPQ:Interface\Buttons\UI-Common-MouseHilight.blp","",""
"loot","LootFrameDownButton","Button","LootFrame","143","208","32","32","LEFT","LootFrameUpButton","RIGHT","86","0","Interface\ChatFrame\UI-ChatIcon-ScrollDown-Up.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\LootFrame.xml","interface.MPQ:Interface\ChatFrame\UI-ChatIcon-ScrollDown-Up.blp","",""
"loot","LootFrameDownButton/NormalTexture","NormalTexture","LootFrameDownButton","143","208","32","32","","","","","","Interface\ChatFrame\UI-ChatIcon-ScrollDown-Up.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\LootFrame.xml","interface.MPQ:Interface\ChatFrame\UI-ChatIcon-ScrollDown-Up.blp","",""
"loot","LootFrameDownButton/PushedTexture","PushedTexture","LootFrameDownButton","143","208","32","32","","","","","","Interface\ChatFrame\UI-ChatIcon-ScrollDown-Down.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\LootFrame.xml","interface.MPQ:Interface\ChatFrame\UI-ChatIcon-ScrollDown-Down.blp","",""
"loot","LootFrameDownButton/DisabledTexture","DisabledTexture","LootFrameDownButton","143","208","32","32","","","","","","Interface\ChatFrame\UI-ChatIcon-ScrollDown-Disabled.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\LootFrame.xml","interface.MPQ:Interface\ChatFrame\UI-ChatIcon-ScrollDown-Disabled.blp","",""
"loot","LootFrameDownButton/HighlightTexture","HighlightTexture","LootFrameDownButton","143","208","32","32","","","","","","Interface\Buttons\UI-Common-MouseHilight.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\LootFrame.xml","interface.MPQ:Interface\Buttons\UI-Common-MouseHilight.blp","",""
