step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\live-runs\N2-0-3-10-loot-20260801-211500\loot.protocol
1,PASS,gm .gm on
2,PASS,gm .go xyz -9017.324 -216.39986 70.6723 0
3,PASS,wait 2
4,PASS,gm .npc spawn add 3229
5,PASS,select entry-nearest:3229 guid=0xF130000C9D04A2BB
6,PASS,anchor selected guid=0xF130000C9D04A2BB position=-9020.343|-214.3034|70.7598
7,PASS,gm .damage 99999
8,PASS,wait 1
9,PASS,gm .gm off
10,PASS,select anchor guid=0xF130000C9D04A2BB
11,PASS,loot request
12,PASS,wait 2
13,PASS,ui-parity loot
14,PASS,wait 2
15,PASS,loot release
16,PASS,gm .gm on
17,PASS,select anchor guid=0xF130000C9D04A2BB
18,PASS,gm .npc spawn delete
19,PASS,gm .gm off
