panel,element,field,expected,actual,verdict
"guild","GuildFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"guild","GuildFrame","presence","PRESENT","PRESENT","PASS"
"guild","GuildFrame","geometry","0|0|384|512","0|0|384|512","PASS"
"guild","GuildFrame","anchor","||||","ANCHOR:ABSOLUTE|||0|8","DELTA"
"guild","GuildFrame","texture-path","||","||","PASS"
"guild","GuildFrame","font","|","|","PASS"
"guild","GuildFrame","color","","","PASS"
"guild","GuildFrame","layer","|","IMGUI_WINDOW|IMGUI_HOST","DELTA"
"guild","GuildFrame/ShellBotLeft","coverage","NOT-REFERENCE","DRAWN-INSTRUMENTED","DELTA"
"guild","GuildFrame/ShellBotLeft","presence","ABSENT","PRESENT","DELTA"
"guild","GuildFrame/ShellBotRight","coverage","NOT-REFERENCE","DRAWN-INSTRUMENTED","DELTA"
"guild","GuildFrame/ShellBotRight","presence","ABSENT","PRESENT","DELTA"
"guild","GuildFrame/ShellTopLeft","coverage","NOT-REFERENCE","DRAWN-INSTRUMENTED","DELTA"
"guild","GuildFrame/ShellTopLeft","presence","ABSENT","PRESENT","DELTA"
"guild","GuildFrame/ShellTopRight","coverage","NOT-REFERENCE","DRAWN-INSTRUMENTED","DELTA"
"guild","GuildFrame/ShellTopRight","presence","ABSENT","PRESENT","DELTA"
"guild","GuildFrameAddMemberButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"guild","GuildFrameAddMemberButton","presence","PRESENT","ABSENT","DELTA"
"guild","GuildFrameAddMemberButton/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"guild","GuildFrameAddMemberButton/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"guild","GuildFrameAddMemberButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"guild","GuildFrameAddMemberButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"guild","GuildFrameAddMemberButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"guild","GuildFrameAddMemberButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"guild","GuildFrameAddMemberButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"guild","GuildFrameAddMemberButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"guild","GuildFrameControlButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"guild","GuildFrameControlButton","presence","PRESENT","ABSENT","DELTA"
"guild","GuildFrameControlButton/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"guild","GuildFrameControlButton/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"guild","GuildFrameControlButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"guild","GuildFrameControlButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"guild","GuildFrameControlButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"guild","GuildFrameControlButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"guild","GuildFrameControlButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"guild","GuildFrameControlButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"guild","GuildFrameDemoteButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"guild","GuildFrameDemoteButton","presence","PRESENT","ABSENT","DELTA"
"guild","GuildFrameDemoteButton/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"guild","GuildFrameDemoteButton/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"guild","GuildFrameDemoteButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"guild","GuildFrameDemoteButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"guild","GuildFrameDemoteButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"guild","GuildFrameDemoteButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"guild","GuildFrameDemoteButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"guild","GuildFrameDemoteButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
