panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"guild","GuildFrame","Frame","","0","0","384","512","","","","","","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","","",""
"guild","GuildFrameTotals","FontString","GuildFrame","70","328","0","16","BOTTOM","","","-122","168","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"guild","GuildFrameOnlineTotals","FontString","GuildFrame","73","328","0","16","LEFT","GuildFrameTotals","RIGHT","3","0","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"guild","GuildFrameNotesLabel","FontString","GuildFrame","23","358","225","14","TOPLEFT","","","23","-358","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"guild","GuildFrameLFGFrame","Frame","GuildFrame","132","38","210","23","TOPRIGHT","","","-42","-38","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","","",""
"guild","GuildFrameLFGFrameRight","Texture","GuildFrameLFGFrame","330","38","12","28","TOPRIGHT","","","","","Interface\ClassTrainerFrame\UI-ClassTrainer-FilterBorder.blp","","","","","BACKGROUND","","","","","","","0.90625|0|1.0|1.0","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","interface.MPQ:Interface\ClassTrainerFrame\UI-ClassTrainer-FilterBorder.blp","",""
"guild","GuildFrameLFGFrameMiddle","Texture","GuildFrameLFGFrame","144","38","186","28","RIGHT","GuildFrameLFGFrameRight","LEFT","","","Interface\ClassTrainerFrame\UI-ClassTrainer-FilterBorder.blp","","","","","BACKGROUND","","","","","","","0.09375|0|0.90625|1.0","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","interface.MPQ:Interface\ClassTrainerFrame\UI-ClassTrainer-FilterBorder.blp","",""
"guild","GuildFrameLFGFrameLeft","Texture","GuildFrameLFGFrame","132","38","12","28","RIGHT","GuildFrameLFGFrameMiddle","LEFT","","","Interface\ClassTrainerFrame\UI-ClassTrainer-FilterBorder.blp","","","","","BACKGROUND","","","","","","","0|0|0.09375|1.0","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","interface.MPQ:Interface\ClassTrainerFrame\UI-ClassTrainer-FilterBorder.blp","",""
"guild","GuildFrameLFGButton","CheckButton","GuildFrameLFGFrame","314","39.5","20","20","RIGHT","","","-8","0","Interface\Buttons\UI-CheckBox-Up.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","interface.MPQ:Interface\Buttons\UI-CheckBox-Up.blp","",""
"guild","GuildFrameLFGButtonText","FontString","GuildFrameLFGButton","","","","","RIGHT","","LEFT","-10","1","","GameFontHighlightSmall","Fonts\FRIZQT__.TTF","10","#FFFFFFFF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"guild","GuildFrameLFGButton/NormalTexture","NormalTexture","GuildFrameLFGButton","314","39.5","20","20","","","","","","Interface\Buttons\UI-CheckBox-Up.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","interface.MPQ:Interface\Buttons\UI-CheckBox-Up.blp","",""
