panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"guild","GuildFrame","Frame","","0","0","","","","","","","","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","","",""
"guild","GuildFrameTotals","FontString","GuildFrame","","","0","16","BOTTOM","","","-122","168","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"guild","GuildFrameOnlineTotals","FontString","GuildFrame","","","0","16","LEFT","GuildFrameTotals","RIGHT","3","0","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"guild","GuildFrameNotesLabel","FontString","GuildFrame","","","225","14","TOPLEFT","","","23","-358","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"guild","GuildFrameLFGFrame","Frame","GuildFrame","","","210","23","TOPRIGHT","","","-42","-38","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","","",""
"guild","GuildFrameLFGFrameRight","Texture","GuildFrameLFGFrame","","","12","28","TOPRIGHT","","","","","Interface\ClassTrainerFrame\UI-ClassTrainer-FilterBorder.blp","","","","","BACKGROUND","","","","","","","0.90625|0|1.0|1.0","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","interface.MPQ:Interface\ClassTrainerFrame\UI-ClassTrainer-FilterBorder.blp","",""
"guild","GuildFrameLFGFrameMiddle","Texture","GuildFrameLFGFrame","","","186","28","RIGHT","GuildFrameLFGFrameRight","LEFT","","","Interface\ClassTrainerFrame\UI-ClassTrainer-FilterBorder.blp","","","","","BACKGROUND","","","","","","","0.09375|0|0.90625|1.0","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","interface.MPQ:Interface\ClassTrainerFrame\UI-ClassTrainer-FilterBorder.blp","",""
"guild","GuildFrameLFGFrameLeft","Texture","GuildFrameLFGFrame","","","12","28","RIGHT","GuildFrameLFGFrameMiddle","LEFT","","","Interface\ClassTrainerFrame\UI-ClassTrainer-FilterBorder.blp","","","","","BACKGROUND","","","","","","","0|0|0.09375|1.0","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","interface.MPQ:Interface\ClassTrainerFrame\UI-ClassTrainer-FilterBorder.blp","",""
"guild","GuildFrameLFGButton","CheckButton","GuildFrameLFGFrame","","","20","20","RIGHT","","","-8","0","Interface\Buttons\UI-CheckBox-Up.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","interface.MPQ:Interface\Buttons\UI-CheckBox-Up.blp","",""
"guild","GuildFrameLFGButtonText","FontString","GuildFrameLFGButton","","","","","RIGHT","","LEFT","-10","1","","GameFontHighlightSmall","Fonts\FRIZQT__.TTF","10","#FFFFFFFF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"guild","GuildFrameLFGButton/NormalTexture","NormalTexture","GuildFrameLFGButton","","","","","","","","","","Interface\Buttons\UI-CheckBox-Up.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","interface.MPQ:Interface\Buttons\UI-CheckBox-Up.blp","",""
"guild","GuildFrameLFGButton/PushedTexture","PushedTexture","GuildFrameLFGButton","","","","","","","","","","Interface\Buttons\UI-CheckBox-Down.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","interface.MPQ:Interface\Buttons\UI-CheckBox-Down.blp","",""
"guild","GuildFrameLFGButton/HighlightTexture","HighlightTexture","GuildFrameLFGButton","","","","","","","","","","Interface\Buttons\UI-CheckBox-Highlight.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","interface.MPQ:Interface\Buttons\UI-CheckBox-Highlight.blp","",""
"guild","GuildFrameLFGButton/CheckedTexture","CheckedTexture","GuildFrameLFGButton","","","","","","","","","","Interface\Buttons\UI-CheckBox-Check.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","interface.MPQ:Interface\Buttons\UI-CheckBox-Check.blp","",""
"guild","GuildFrameGuildListToggleButton","Button","GuildFrame","","","32","32","LEFT","","","245","-200","Interface\Buttons\UI-SpellbookIcon-NextPage-Up.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","interface.MPQ:Interface\Buttons\UI-SpellbookIcon-NextPage-Up.blp","",""
"guild","GuildFrameGuildListToggleButton/NormalTexture","NormalTexture","GuildFrameGuildListToggleButton","","","","","","","","","","Interface\Buttons\UI-SpellbookIcon-NextPage-Up.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","interface.MPQ:Interface\Buttons\UI-SpellbookIcon-NextPage-Up.blp","",""
"guild","GuildFrameGuildListToggleButton/PushedTexture","PushedTexture","GuildFrameGuildListToggleButton","","","","","","","","","","Interface\Buttons\UI-SpellbookIcon-NextPage-Down.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","interface.MPQ:Interface\Buttons\UI-SpellbookIcon-NextPage-Down.blp","",""
"guild","GuildFrameGuildListToggleButton/DisabledTexture","DisabledTexture","GuildFrameGuildListToggleButton","","","","","","","","","","Interface\Buttons\UI-SpellbookIcon-NextPage-Disabled.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\FriendsFrame.xml","interface.MPQ:Interface\Buttons\UI-SpellbookIcon-NextPage-Disabled.blp","",""
