panel,element,field,expected,actual,verdict
"gossip","GossipFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"gossip","GossipFrame","presence","PRESENT","PRESENT","PASS"
"gossip","GossipFrame","geometry","0|0|384|512","0|0|384|512","PASS"
"gossip","GossipFrame","anchor","TOPLEFT|||0|-104","ANCHOR:ABSOLUTE|||0|8","DELTA"
"gossip","GossipFrame","texture-path","||","||","PASS"
"gossip","GossipFrame","font","|","|","PASS"
"gossip","GossipFrame","color","","","PASS"
"gossip","GossipFrame","layer","|","IMGUI_WINDOW|IMGUI_HOST","DELTA"
"gossip","GossipFrameCloseButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"gossip","GossipFrameCloseButton","presence","PRESENT","ABSENT","DELTA"
"gossip","GossipFrameCloseButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"gossip","GossipFrameCloseButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"gossip","GossipFrameCloseButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"gossip","GossipFrameCloseButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"gossip","GossipFrameCloseButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"gossip","GossipFrameCloseButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"gossip","GossipFrameGreetingGoodbyeButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"gossip","GossipFrameGreetingGoodbyeButton","presence","PRESENT","ABSENT","DELTA"
"gossip","GossipFrameGreetingGoodbyeButton/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"gossip","GossipFrameGreetingGoodbyeButton/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"gossip","GossipFrameGreetingGoodbyeButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"gossip","GossipFrameGreetingGoodbyeButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"gossip","GossipFrameGreetingGoodbyeButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"gossip","GossipFrameGreetingGoodbyeButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"gossip","GossipFrameGreetingGoodbyeButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"gossip","GossipFrameGreetingGoodbyeButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"gossip","GossipFrameGreetingPanel","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"gossip","GossipFrameGreetingPanel","presence","PRESENT","ABSENT","DELTA"
"gossip","GossipFrameGreetingPanel/Texture","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"gossip","GossipFrameGreetingPanel/Texture","presence","PRESENT","PRESENT","PASS"
"gossip","GossipFrameGreetingPanel/Texture","geometry","0|0|256|256","0|0|256|256","PASS"
"gossip","GossipFrameGreetingPanel/Texture","anchor","TOPLEFT||||","TOPLEFT|GossipFrame|TOPLEFT|0|-0","DELTA"
"gossip","GossipFrameGreetingPanel/Texture","texture-path","Interface\QuestFrame\UI-QuestGreeting-TopLeft.blp||","Interface\QuestFrame\UI-QuestGreeting-TopLeft.blp||","PASS"
"gossip","GossipFrameGreetingPanel/Texture","font","|","|","PASS"
"gossip","GossipFrameGreetingPanel/Texture","color","","#FFFFFFFF","DELTA"
"gossip","GossipFrameGreetingPanel/Texture","layer","|BACKGROUND","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"gossip","GossipFrameGreetingPanel/Texture#2","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"gossip","GossipFrameGreetingPanel/Texture#2","presence","PRESENT","PRESENT","PASS"
"gossip","GossipFrameGreetingPanel/Texture#2","geometry","256|0|128|256","256|0|128|256","PASS"
"gossip","GossipFrameGreetingPanel/Texture#2","anchor","TOPRIGHT||||","TOPLEFT|GossipFrame|TOPLEFT|256|-0","DELTA"
"gossip","GossipFrameGreetingPanel/Texture#2","texture-path","Interface\QuestFrame\UI-QuestGreeting-TopRight.blp||","Interface\QuestFrame\UI-QuestGreeting-TopRight.blp||","PASS"
"gossip","GossipFrameGreetingPanel/Texture#2","font","|","|","PASS"
"gossip","GossipFrameGreetingPanel/Texture#2","color","","#FFFFFFFF","DELTA"
"gossip","GossipFrameGreetingPanel/Texture#2","layer","|BACKGROUND","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"gossip","GossipFrameGreetingPanel/Texture#3","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"gossip","GossipFrameGreetingPanel/Texture#3","presence","PRESENT","PRESENT","PASS"
"gossip","GossipFrameGreetingPanel/Texture#3","geometry","0|256|256|256","0|256|256|256","PASS"
"gossip","GossipFrameGreetingPanel/Texture#3","anchor","BOTTOMLEFT||||","TOPLEFT|GossipFrame|TOPLEFT|0|-256","DELTA"
"gossip","GossipFrameGreetingPanel/Texture#3","texture-path","Interface\QuestFrame\UI-QuestGreeting-BotLeft.blp||","Interface\QuestFrame\UI-QuestGreeting-BotLeft.blp||","PASS"
"gossip","GossipFrameGreetingPanel/Texture#3","font","|","|","PASS"
"gossip","GossipFrameGreetingPanel/Texture#3","color","","#FFFFFFFF","DELTA"
"gossip","GossipFrameGreetingPanel/Texture#3","layer","|BACKGROUND","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"gossip","GossipFrameGreetingPanel/Texture#4","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"gossip","GossipFrameGreetingPanel/Texture#4","presence","PRESENT","PRESENT","PASS"
"gossip","GossipFrameGreetingPanel/Texture#4","geometry","256|256|128|256","256|256|128|256","PASS"
"gossip","GossipFrameGreetingPanel/Texture#4","anchor","BOTTOMRIGHT||||","TOPLEFT|GossipFrame|TOPLEFT|256|-256","DELTA"
"gossip","GossipFrameGreetingPanel/Texture#4","texture-path","Interface\QuestFrame\UI-QuestGreeting-BotRight.blp||","Interface\QuestFrame\UI-QuestGreeting-BotRight.blp||","PASS"
"gossip","GossipFrameGreetingPanel/Texture#4","font","|","|","PASS"
"gossip","GossipFrameGreetingPanel/Texture#4","color","","#FFFFFFFF","DELTA"
"gossip","GossipFrameGreetingPanel/Texture#4","layer","|BACKGROUND","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"gossip","GossipFrameGreetingPanel/Texture#5","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"gossip","GossipFrameGreetingPanel/Texture#5","presence","PRESENT","PRESENT","PASS"
"gossip","GossipFrameGreetingPanel/Texture#5","geometry","22|380|128|64","22|380|128|64","PASS"
"gossip","GossipFrameGreetingPanel/Texture#5","anchor","BOTTOMLEFT|||22|68","TOPLEFT|GossipFrame|TOPLEFT|22|-380","DELTA"
"gossip","GossipFrameGreetingPanel/Texture#5","texture-path","Interface\QuestFrame\UI-Quest-BotLeftPatch.blp||","Interface\QuestFrame\UI-Quest-BotLeftPatch.blp||","PASS"
"gossip","GossipFrameGreetingPanel/Texture#5","font","|","|","PASS"
"gossip","GossipFrameGreetingPanel/Texture#5","color","","#FFFFFFFF","DELTA"
"gossip","GossipFrameGreetingPanel/Texture#5","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"gossip","GossipFrameGreetingPanelMaterialBotLeft","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"gossip","GossipFrameGreetingPanelMaterialBotLeft","presence","PRESENT","ABSENT","DELTA"
"gossip","GossipFrameGreetingPanelMaterialBotRight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"gossip","GossipFrameGreetingPanelMaterialBotRight","presence","PRESENT","ABSENT","DELTA"
"gossip","GossipFrameGreetingPanelMaterialTopLeft","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"gossip","GossipFrameGreetingPanelMaterialTopLeft","presence","PRESENT","ABSENT","DELTA"
"gossip","GossipFrameGreetingPanelMaterialTopRight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"gossip","GossipFrameGreetingPanelMaterialTopRight","presence","PRESENT","ABSENT","DELTA"
"gossip","GossipFrameNpcNameText","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"gossip","GossipFrameNpcNameText","presence","PRESENT","ABSENT","DELTA"
