panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"gossip","GossipFrame","Frame","","0","0","384","512","TOPLEFT","","","0","-104","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\GossipFrame.xml","","",""
"gossip","GossipFramePortrait","Texture","GossipFrame","7","6","60","60","TOPLEFT","","","7","-6","","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\GossipFrame.xml","","",""
"gossip","GossipNpcNameFrame","Frame","GossipFrame","42","23","300","14","TOP","GossipFrame","TOP","0","-23","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\GossipFrame.xml","","",""
"gossip","GossipFrameNpcNameText","FontString","GossipNpcNameFrame","42","23","300","14","","","","","","","GameFontHighlight","Fonts\FRIZQT__.TTF","12","#FFFFFFFF","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\GossipFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"gossip","GossipFrameCloseButton","Button","GossipFrame","326","14","32","32","CENTER","GossipFrame","TOPRIGHT","-42","-30","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\GossipFrame.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","",""
"gossip","GossipFrameCloseButton/NormalTexture","NormalTexture","GossipFrameCloseButton","326","14","32","32","","","","","","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","",""
"gossip","GossipFrameCloseButton/PushedTexture","PushedTexture","GossipFrameCloseButton","326","14","32","32","","","","","","Interface\Buttons\UI-Panel-MinimizeButton-Down.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Down.blp","",""
"gossip","GossipFrameCloseButton/HighlightTexture","HighlightTexture","GossipFrameCloseButton","326","14","32","32","","","","","","Interface\Buttons\UI-Panel-MinimizeButton-Highlight.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Highlight.blp","",""
"gossip","GossipFrameGreetingPanel","Frame","GossipFrame","0","0","384","512","TOPLEFT","","","","","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\GossipFrame.xml","","",""
"gossip","GossipFrameGreetingPanel/Texture","Texture","GossipFrameGreetingPanel","0","0","256","256","TOPLEFT","","","","","Interface\QuestFrame\UI-QuestGreeting-TopLeft.blp","","","","","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\GossipFrame.xml","interface.MPQ:Interface\QuestFrame\UI-QuestGreeting-TopLeft.blp","",""
"gossip","GossipFrameGreetingPanel/Texture#2","Texture","GossipFrameGreetingPanel","256","0","128","256","TOPRIGHT","","","","","Interface\QuestFrame\UI-QuestGreeting-TopRight.blp","","","","","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\GossipFrame.xml","interface.MPQ:Interface\QuestFrame\UI-QuestGreeting-TopRight.blp","",""
"gossip","GossipFrameGreetingPanel/Texture#3","Texture","GossipFrameGreetingPanel","0","256","256","256","BOTTOMLEFT","","","","","Interface\QuestFrame\UI-QuestGreeting-BotLeft.blp","","","","","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\GossipFrame.xml","interface.MPQ:Interface\QuestFrame\UI-QuestGreeting-BotLeft.blp","",""
"gossip","GossipFrameGreetingPanel/Texture#4","Texture","GossipFrameGreetingPanel","256","256","128","256","BOTTOMRIGHT","","","","","Interface\QuestFrame\UI-QuestGreeting-BotRight.blp","","","","","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\GossipFrame.xml","interface.MPQ:Interface\QuestFrame\UI-QuestGreeting-BotRight.blp","",""
"gossip","GossipFrameGreetingPanelMaterialTopLeft","Texture","GossipFrameGreetingPanel","21","75","239","241","TOPLEFT","","","21","-75","","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\GossipFrame.xml","","",""
"gossip","GossipFrameGreetingPanelMaterialTopRight","Texture","GossipFrameGreetingPanel","260","75","64","241","TOPLEFT","GossipFrameGreetingPanelMaterialTopLeft","TOPRIGHT","","","","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\GossipFrame.xml","","",""
"gossip","GossipFrameGreetingPanelMaterialBotLeft","Texture","GossipFrameGreetingPanel","21","316","239","128","TOPLEFT","GossipFrameGreetingPanelMaterialTopLeft","BOTTOMLEFT","","","","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\GossipFrame.xml","","",""
"gossip","GossipFrameGreetingPanelMaterialBotRight","Texture","GossipFrameGreetingPanel","260","316","64","128","TOPLEFT","GossipFrameGreetingPanelMaterialTopLeft","BOTTOMRIGHT","","","","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\GossipFrame.xml","","",""
"gossip","GossipFrameGreetingPanel/Texture#5","Texture","GossipFrameGreetingPanel","22","380","128","64","BOTTOMLEFT","","","22","68","Interface\QuestFrame\UI-Quest-BotLeftPatch.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\GossipFrame.xml","interface.MPQ:Interface\QuestFrame\UI-Quest-BotLeftPatch.blp","",""
"gossip","GossipFrameGreetingGoodbyeButton","Button","GossipFrameGreetingPanel","268","417","77","22","BOTTOMRIGHT","GossipFrame","BOTTOMRIGHT","-39","73","Interface\Buttons\UI-Panel-Button-Up.blp","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","","","","","","","","","interface.MPQ:Interface\FrameXML\GossipFrame.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"gossip","GossipFrameGreetingGoodbyeButton/NormalTexture","NormalTexture","GossipFrameGreetingGoodbyeButton","268","417","77","22","","","","","","Interface\Buttons\UI-Panel-Button-Up.blp","","","","","","","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","",""
"gossip","GossipFrameGreetingGoodbyeButton/PushedTexture","PushedTexture","GossipFrameGreetingGoodbyeButton","268","417","77","22","","","","","","Interface\Buttons\UI-Panel-Button-Down.blp","","","","","","","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Down.blp","",""
"gossip","GossipFrameGreetingGoodbyeButton/DisabledTexture","DisabledTexture","GossipFrameGreetingGoodbyeButton","268","417","77","22","","","","","","Interface\Buttons\UI-Panel-Button-Disabled.blp","","","","","","","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Disabled.blp","",""
"gossip","GossipFrameGreetingGoodbyeButton/HighlightTexture","HighlightTexture","GossipFrameGreetingGoodbyeButton","268","417","77","22","","","","","","Interface\Buttons\UI-Panel-Button-Highlight.blp","","","","","","","","","","","","0|0|0.625|0.6875","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Highlight.blp","",""
