time,character,unit_guid,slot,spell_id,name,event,helpful,cancelable,stacks,duration_ms,remaining_ms,display,source
0.731,"Test",0x0000000000000001,0,2457,"Battle Stance",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.739,"Test",0x0000000000000001,1,16380,"Greater Invisibility",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.744,"Test",0xF13000195B015407,0,10848,"Shroud of Death",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.744,"Test",0xF13000195B015407,32,9036,"Ghost",APPLY,False,False,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.634,"Test",0x00000000000000C4,0,588,"Inner Fire",APPLY,True,True,20,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.634,"Test",0x00000000000001A8,0,588,"Inner Fire",APPLY,True,True,20,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.634,"Test",0x00000000000000D0,0,2457,"Battle Stance",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.634,"Test",0x00000000000000D0,2,5242,"Battle Shout",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
9.555,"Test",0x00000000000000D0,2,5242,"Battle Shout",REMOVE,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
9.857,"Test",0x00000000000000D0,1,29131,"Bloodrage",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
10.955,"Test",0x00000000000000D0,2,5242,"Battle Shout",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
15.562,"Test",0x0000000000000001,1,16380,"Greater Invisibility",REMOVE,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
19.811,"Test",0x00000000000000D0,1,29131,"Bloodrage",REMOVE,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
