panel,element,field,expected,actual,verdict
"taxi","TaxiCloseButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"taxi","TaxiCloseButton","presence","PRESENT","ABSENT","DELTA"
"taxi","TaxiCloseButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"taxi","TaxiCloseButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"taxi","TaxiCloseButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"taxi","TaxiCloseButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"taxi","TaxiCloseButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"taxi","TaxiCloseButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"taxi","TaxiFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"taxi","TaxiFrame","presence","PRESENT","PRESENT","PASS"
"taxi","TaxiFrame","geometry","0|0|384|512","0|0|384|512","PASS"
"taxi","TaxiFrame","anchor","TOPLEFT|||0|-104","ANCHOR:ABSOLUTE|||0|8","DELTA"
"taxi","TaxiFrame","texture-path","||","||","PASS"
"taxi","TaxiFrame","font","|","|","PASS"
"taxi","TaxiFrame","color","","","PASS"
"taxi","TaxiFrame","layer","|","IMGUI_WINDOW|IMGUI_HOST","DELTA"
"taxi","TaxiFrame/Texture","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"taxi","TaxiFrame/Texture","presence","PRESENT","PRESENT","PASS"
"taxi","TaxiFrame/Texture","geometry","0|0|256|256","0|0|256|256","PASS"
"taxi","TaxiFrame/Texture","anchor","TOPLEFT||||","TOPLEFT|TaxiFrame|TOPLEFT|0|-0","DELTA"
"taxi","TaxiFrame/Texture","texture-path","Interface\TaxiFrame\UI-TaxiFrame-TopLeft.blp||","Interface\TaxiFrame\UI-TaxiFrame-TopLeft.blp||","PASS"
"taxi","TaxiFrame/Texture","font","|","|","PASS"
"taxi","TaxiFrame/Texture","color","","#FFFFFFFF","DELTA"
"taxi","TaxiFrame/Texture","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"taxi","TaxiFrame/Texture#2","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"taxi","TaxiFrame/Texture#2","presence","PRESENT","PRESENT","PASS"
"taxi","TaxiFrame/Texture#2","geometry","256|0|128|256","256|0|128|256","PASS"
"taxi","TaxiFrame/Texture#2","anchor","TOPLEFT|||256|0","TOPLEFT|TaxiFrame|TOPLEFT|256|-0","DELTA"
"taxi","TaxiFrame/Texture#2","texture-path","Interface\TaxiFrame\UI-TaxiFrame-TopRight.blp||","Interface\TaxiFrame\UI-TaxiFrame-TopRight.blp||","PASS"
"taxi","TaxiFrame/Texture#2","font","|","|","PASS"
"taxi","TaxiFrame/Texture#2","color","","#FFFFFFFF","DELTA"
"taxi","TaxiFrame/Texture#2","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"taxi","TaxiFrame/Texture#3","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"taxi","TaxiFrame/Texture#3","presence","PRESENT","PRESENT","PASS"
"taxi","TaxiFrame/Texture#3","geometry","0|256|256|256","0|256|256|256","PASS"
"taxi","TaxiFrame/Texture#3","anchor","TOPLEFT|||0|-256","TOPLEFT|TaxiFrame|TOPLEFT|0|-256","DELTA"
"taxi","TaxiFrame/Texture#3","texture-path","Interface\TaxiFrame\UI-TaxiFrame-BotLeft.blp||","Interface\TaxiFrame\UI-TaxiFrame-BotLeft.blp||","PASS"
"taxi","TaxiFrame/Texture#3","font","|","|","PASS"
"taxi","TaxiFrame/Texture#3","color","","#FFFFFFFF","DELTA"
"taxi","TaxiFrame/Texture#3","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"taxi","TaxiFrame/Texture#4","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"taxi","TaxiFrame/Texture#4","presence","PRESENT","PRESENT","PASS"
"taxi","TaxiFrame/Texture#4","geometry","256|256|128|256","256|256|128|256","PASS"
"taxi","TaxiFrame/Texture#4","anchor","TOPLEFT|||256|-256","TOPLEFT|TaxiFrame|TOPLEFT|256|-256","DELTA"
"taxi","TaxiFrame/Texture#4","texture-path","Interface\TaxiFrame\UI-TaxiFrame-BotRight.blp||","Interface\TaxiFrame\UI-TaxiFrame-BotRight.blp||","PASS"
"taxi","TaxiFrame/Texture#4","font","|","|","PASS"
"taxi","TaxiFrame/Texture#4","color","","#FFFFFFFF","DELTA"
"taxi","TaxiFrame/Texture#4","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"taxi","TaxiMap","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"taxi","TaxiMap","presence","PRESENT","ABSENT","DELTA"
"taxi","TaxiMerchant","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"taxi","TaxiMerchant","presence","PRESENT","ABSENT","DELTA"
"taxi","TaxiPortrait","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"taxi","TaxiPortrait","presence","PRESENT","ABSENT","DELTA"
