panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"taxi","TaxiFrame","Frame","","0","0","384","512","TOPLEFT","","","0","-104","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\TaxiFrame.xml","","",""
"taxi","TaxiPortrait","Texture","TaxiFrame","8","9","58","58","TOPLEFT","","","8","-9","","","","","","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\TaxiFrame.xml","","",""
"taxi","TaxiFrame/Texture","Texture","TaxiFrame","0","0","256","256","TOPLEFT","","","","","Interface\TaxiFrame\UI-TaxiFrame-TopLeft.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\TaxiFrame.xml","interface.MPQ:Interface\TaxiFrame\UI-TaxiFrame-TopLeft.blp","",""
"taxi","TaxiFrame/Texture#2","Texture","TaxiFrame","256","0","128","256","TOPLEFT","","","256","0","Interface\TaxiFrame\UI-TaxiFrame-TopRight.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\TaxiFrame.xml","interface.MPQ:Interface\TaxiFrame\UI-TaxiFrame-TopRight.blp","",""
"taxi","TaxiFrame/Texture#3","Texture","TaxiFrame","0","256","256","256","TOPLEFT","","","0","-256","Interface\TaxiFrame\UI-TaxiFrame-BotLeft.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\TaxiFrame.xml","interface.MPQ:Interface\TaxiFrame\UI-TaxiFrame-BotLeft.blp","",""
"taxi","TaxiFrame/Texture#4","Texture","TaxiFrame","256","256","128","256","TOPLEFT","","","256","-256","Interface\TaxiFrame\UI-TaxiFrame-BotRight.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\TaxiFrame.xml","interface.MPQ:Interface\TaxiFrame\UI-TaxiFrame-BotRight.blp","",""
"taxi","TaxiMerchant","FontString","TaxiFrame","96","17","192","0","TOP","","","0","-17","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\TaxiFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"taxi","TaxiMap","Texture","TaxiFrame","42","85","280","280","TOP","","","-10","-85","","","","","","OVERLAY","","","","","","","","interface.MPQ:Interface\FrameXML\TaxiFrame.xml","","",""
"taxi","TaxiCloseButton","Button","TaxiFrame","323","8","32","32","TOPRIGHT","TaxiFrame","TOPRIGHT","-29","-8","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\TaxiFrame.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","",""
"taxi","TaxiCloseButton/NormalTexture","NormalTexture","TaxiCloseButton","323","8","32","32","","","","","","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","",""
"taxi","TaxiCloseButton/PushedTexture","PushedTexture","TaxiCloseButton","323","8","32","32","","","","","","Interface\Buttons\UI-Panel-MinimizeButton-Down.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Down.blp","",""
"taxi","TaxiCloseButton/HighlightTexture","HighlightTexture","TaxiCloseButton","323","8","32","32","","","","","","Interface\Buttons\UI-Panel-MinimizeButton-Highlight.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Highlight.blp","",""
