panel,element,field,expected,actual,verdict
"trade","TradeFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"trade","TradeFrame","presence","PRESENT","PRESENT","PASS"
"trade","TradeFrame","geometry","0|0|384|512","0|0|384|512","PASS"
"trade","TradeFrame","anchor","TOPLEFT|||0|-104","ANCHOR:ABSOLUTE|||0|8","DELTA"
"trade","TradeFrame","texture-path","||","||","PASS"
"trade","TradeFrame","font","|","|","PASS"
"trade","TradeFrame","color","","","PASS"
"trade","TradeFrame","layer","|","IMGUI_WINDOW|IMGUI_HOST","DELTA"
"trade","TradeFrame/Texture","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"trade","TradeFrame/Texture","presence","PRESENT","PRESENT","PASS"
"trade","TradeFrame/Texture","geometry","0|0|256|256","0|0|256|256","PASS"
"trade","TradeFrame/Texture","anchor","TOPLEFT||||","TOPLEFT|TradeFrame|TOPLEFT|0|-0","DELTA"
"trade","TradeFrame/Texture","texture-path","Interface\TradeFrame\UI-TradeFrame-TopLeft.blp||","Interface\TradeFrame\UI-TradeFrame-TopLeft.blp||","PASS"
"trade","TradeFrame/Texture","font","|","|","PASS"
"trade","TradeFrame/Texture","color","","#FFFFFFFF","DELTA"
"trade","TradeFrame/Texture","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"trade","TradeFrame/Texture#2","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"trade","TradeFrame/Texture#2","presence","PRESENT","PRESENT","PASS"
"trade","TradeFrame/Texture#2","geometry","256|0|128|256","256|0|128|256","PASS"
"trade","TradeFrame/Texture#2","anchor","TOPRIGHT||||","TOPLEFT|TradeFrame|TOPLEFT|256|-0","DELTA"
"trade","TradeFrame/Texture#2","texture-path","Interface\TradeFrame\UI-TradeFrame-TopRight.blp||","Interface\TradeFrame\UI-TradeFrame-TopRight.blp||","PASS"
"trade","TradeFrame/Texture#2","font","|","|","PASS"
"trade","TradeFrame/Texture#2","color","","#FFFFFFFF","DELTA"
"trade","TradeFrame/Texture#2","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"trade","TradeFrame/Texture#3","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"trade","TradeFrame/Texture#3","presence","PRESENT","PRESENT","PASS"
"trade","TradeFrame/Texture#3","geometry","0|256|256|256","0|256|256|256","PASS"
"trade","TradeFrame/Texture#3","anchor","BOTTOMLEFT||||","TOPLEFT|TradeFrame|TOPLEFT|0|-256","DELTA"
