panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"trade","TradeFrame","Frame","","0","0","384","512","TOPLEFT","","","0","-104","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\TradeFrame.xml","","",""
"trade","TradeFrameRecipientPortrait","Texture","TradeFrame","183","6","60","60","TOPLEFT","","","183","-6","","","","","","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\TradeFrame.xml","","",""
"trade","TradeFramePlayerPortrait","Texture","TradeFrame","7","6","60","60","TOPLEFT","","","7","-6","","","","","","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\TradeFrame.xml","","",""
"trade","TradeFrame/Texture","Texture","TradeFrame","0","0","256","256","TOPLEFT","","","","","Interface\TradeFrame\UI-TradeFrame-TopLeft.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\TradeFrame.xml","interface.MPQ:Interface\TradeFrame\UI-TradeFrame-TopLeft.blp","",""
"trade","TradeFrame/Texture#2","Texture","TradeFrame","256","0","128","256","TOPRIGHT","","","","","Interface\TradeFrame\UI-TradeFrame-TopRight.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\TradeFrame.xml","interface.MPQ:Interface\TradeFrame\UI-TradeFrame-TopRight.blp","",""
"trade","TradeFrame/Texture#3","Texture","TradeFrame","0","256","256","256","BOTTOMLEFT","","","","","Interface\TradeFrame\UI-TradeFrame-BotLeft.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\TradeFrame.xml","interface.MPQ:Interface\TradeFrame\UI-TradeFrame-BotLeft.blp","",""
"trade","TradeFrame/Texture#4","Texture","TradeFrame","256","256","128","256","BOTTOMRIGHT","","","","","Interface\TradeFrame\UI-TradeFrame-BotRight.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\TradeFrame.xml","interface.MPQ:Interface\TradeFrame\UI-TradeFrame-BotRight.blp","",""
"trade","TradeFrameRecipientNameText","FontString","TradeFrame","","","","","TOPLEFT","TradeFrame","","250","-17","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\TradeFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"trade","TradeFramePlayerNameText","FontString","TradeFrame","","","","","TOPLEFT","TradeFrame","","75","-17","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\TradeFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"trade","TradeFramePlayerEnchantText","FontString","TradeFrame","","","","","TOPLEFT","TradeFrame","","26","-374","","GameFontHighlightSmall","Fonts\FRIZQT__.TTF","10","#FFFFFFFF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\TradeFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
