panel,element,field,expected,actual,verdict
"spellbook","SpellBookCloseButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookCloseButton","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookCloseButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookCloseButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookCloseButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookCloseButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookCloseButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookCloseButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"spellbook","SpellBookFrame","presence","PRESENT","PRESENT","PASS"
"spellbook","SpellBookFrame","geometry","0|0|384|512","0|0|384|512","PASS"
"spellbook","SpellBookFrame","anchor","TOPLEFT|||0|-104","ANCHOR:ABSOLUTE|||0|8","DELTA"
"spellbook","SpellBookFrame","texture-path","||","||","PASS"
"spellbook","SpellBookFrame","font","|","|","PASS"
"spellbook","SpellBookFrame","color","","","PASS"
"spellbook","SpellBookFrame","layer","|","IMGUI_WINDOW|IMGUI_HOST","DELTA"
"spellbook","SpellBookFrame/Texture","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"spellbook","SpellBookFrame/Texture","presence","PRESENT","PRESENT","PASS"
"spellbook","SpellBookFrame/Texture","geometry","10|8|58|58","10|8|58|58","PASS"
"spellbook","SpellBookFrame/Texture","anchor","TOPLEFT|||10|-8","TOPLEFT|SpellBookFrame|TOPLEFT|10|-8","DELTA"
"spellbook","SpellBookFrame/Texture","texture-path","Interface\Spellbook\Spellbook-Icon.blp||","Interface\Spellbook\Spellbook-Icon.blp||","PASS"
"spellbook","SpellBookFrame/Texture","font","|","|","PASS"
"spellbook","SpellBookFrame/Texture","color","","#FFFFFFFF","DELTA"
"spellbook","SpellBookFrame/Texture","layer","|BACKGROUND","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"spellbook","SpellBookFrame/Texture#2","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"spellbook","SpellBookFrame/Texture#2","presence","PRESENT","PRESENT","PASS"
"spellbook","SpellBookFrame/Texture#2","geometry","0|0|256|256","0|0|256|256","PASS"
"spellbook","SpellBookFrame/Texture#2","anchor","TOPLEFT||||","TOPLEFT|SpellBookFrame|TOPLEFT|0|-0","DELTA"
"spellbook","SpellBookFrame/Texture#2","texture-path","Interface\Spellbook\UI-SpellbookPanel-TopLeft.blp||","Interface\Spellbook\UI-SpellbookPanel-TopLeft.blp||","PASS"
"spellbook","SpellBookFrame/Texture#2","font","|","|","PASS"
"spellbook","SpellBookFrame/Texture#2","color","","#FFFFFFFF","DELTA"
