panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"spellbook","SpellBookFrame","Frame","","0","0","384","512","TOPLEFT","","","0","-104","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\SpellBookFrame.xml","","",""
"spellbook","SpellBookFrame/Texture","Texture","SpellBookFrame","10","8","58","58","TOPLEFT","","","10","-8","Interface\Spellbook\Spellbook-Icon.blp","","","","","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\SpellBookFrame.xml","interface.MPQ:Interface\Spellbook\Spellbook-Icon.blp","",""
"spellbook","SpellBookFrame/Texture#2","Texture","SpellBookFrame","0","0","256","256","TOPLEFT","","","","","Interface\Spellbook\UI-SpellbookPanel-TopLeft.blp","","","","","ARTWORK","","","","","","","","patch.MPQ:Interface\FrameXML\SpellBookFrame.xml","patch.MPQ:Interface\Spellbook\UI-SpellbookPanel-TopLeft.blp","",""
"spellbook","SpellBookFrame/Texture#3","Texture","SpellBookFrame","256","0","128","256","TOPRIGHT","","","","","Interface\Spellbook\UI-SpellbookPanel-TopRight.blp","","","","","ARTWORK","","","","","","","","patch.MPQ:Interface\FrameXML\SpellBookFrame.xml","interface.MPQ:Interface\Spellbook\UI-SpellbookPanel-TopRight.blp","",""
"spellbook","SpellBookFrame/Texture#4","Texture","SpellBookFrame","0","256","256","256","BOTTOMLEFT","","","","","Interface\Spellbook\UI-SpellbookPanel-BotLeft.blp","","","","","ARTWORK","","","","","","","","patch.MPQ:Interface\FrameXML\SpellBookFrame.xml","patch.MPQ:Interface\Spellbook\UI-SpellbookPanel-BotLeft.blp","",""
"spellbook","SpellBookFrame/Texture#5","Texture","SpellBookFrame","256","256","128","256","BOTTOMRIGHT","","","","","Interface\Spellbook\UI-SpellbookPanel-BotRight.blp","","","","","ARTWORK","","","","","","","","patch.MPQ:Interface\FrameXML\SpellBookFrame.xml","interface.MPQ:Interface\Spellbook\UI-SpellbookPanel-BotRight.blp","",""
"spellbook","SpellBookTitleText","FontString","SpellBookFrame","","","","","CENTER","","","6","230","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","ARTWORK","","","","","","","","patch.MPQ:Interface\FrameXML\SpellBookFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"spellbook","SpellBookPageText","FontString","SpellBookFrame","127","416","102","0","BOTTOM","","","-14","96","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","ARTWORK","","","","","","","","patch.MPQ:Interface\FrameXML\SpellBookFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"spellbook","SpellBookFrameTabButton1","Button","SpellBookFrame","15","419","128","64","CENTER","","BOTTOMLEFT","79","61","Interface\SpellBook\UI-SpellBook-Tab-Unselected.blp","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","","","","","","","","","patch.MPQ:Interface\FrameXML\SpellBookFrame.xml","interface.MPQ:Interface\SpellBook\UI-SpellBook-Tab-Unselected.blp","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"spellbook","SpellBookFrameTabButton1/NormalTexture","NormalTexture","SpellBookFrameTabButton1","15","419","128","64","","","","","","Interface\SpellBook\UI-SpellBook-Tab-Unselected.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\SpellBookFrame.xml","interface.MPQ:Interface\SpellBook\UI-SpellBook-Tab-Unselected.blp","",""
