panel,element,field,expected,actual,verdict
"talent-frame","TalentFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"talent-frame","TalentFrame","presence","PRESENT","PRESENT","PASS"
"talent-frame","TalentFrame","geometry","0|0|384|512","0|0|384|512","PASS"
"talent-frame","TalentFrame","anchor","TOPLEFT|||0|-104","ANCHOR:ABSOLUTE|||0|8","DELTA"
"talent-frame","TalentFrame","texture-path","||","||","PASS"
"talent-frame","TalentFrame","font","|","|","PASS"
"talent-frame","TalentFrame","color","","","PASS"
"talent-frame","TalentFrame","layer","|","IMGUI_WINDOW|IMGUI_HOST","DELTA"
"talent-frame","TalentFrame/Texture","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"talent-frame","TalentFrame/Texture","presence","PRESENT","PRESENT","PASS"
"talent-frame","TalentFrame/Texture","geometry","2|1|256|256","2|1|256|256","PASS"
"talent-frame","TalentFrame/Texture","anchor","TOPLEFT|||2|-1","TOPLEFT|TalentFrame|TOPLEFT|2|-1","DELTA"
"talent-frame","TalentFrame/Texture","texture-path","Interface\PaperDollInfoFrame\UI-Character-General-TopLeft.blp||","Interface\PaperDollInfoFrame\UI-Character-General-TopLeft.blp||","PASS"
"talent-frame","TalentFrame/Texture","font","|","|","PASS"
"talent-frame","TalentFrame/Texture","color","","#FFFFFFFF","DELTA"
"talent-frame","TalentFrame/Texture","layer","|BORDER","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"talent-frame","TalentFrame/Texture#2","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"talent-frame","TalentFrame/Texture#2","presence","PRESENT","PRESENT","PASS"
"talent-frame","TalentFrame/Texture#2","geometry","258|1|128|256","258|1|128|256","PASS"
"talent-frame","TalentFrame/Texture#2","anchor","TOPRIGHT|||2|-1","TOPLEFT|TalentFrame|TOPLEFT|258|-1","DELTA"
"talent-frame","TalentFrame/Texture#2","texture-path","Interface\PaperDollInfoFrame\UI-Character-General-TopRight.blp||","Interface\PaperDollInfoFrame\UI-Character-General-TopRight.blp||","PASS"
"talent-frame","TalentFrame/Texture#2","font","|","|","PASS"
"talent-frame","TalentFrame/Texture#2","color","","#FFFFFFFF","DELTA"
"talent-frame","TalentFrame/Texture#2","layer","|BORDER","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"talent-frame","TalentFrame/Texture#3","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"talent-frame","TalentFrame/Texture#3","presence","PRESENT","PRESENT","PASS"
"talent-frame","TalentFrame/Texture#3","geometry","2|257|256|256","2|257|256|256","PASS"
"talent-frame","TalentFrame/Texture#3","anchor","BOTTOMLEFT|||2|-1","TOPLEFT|TalentFrame|TOPLEFT|2|-257","DELTA"
"talent-frame","TalentFrame/Texture#3","texture-path","Interface\TalentFrame\UI-TalentFrame-BotLeft.blp||","Interface\TalentFrame\UI-TalentFrame-BotLeft.blp||","PASS"
"talent-frame","TalentFrame/Texture#3","font","|","|","PASS"
"talent-frame","TalentFrame/Texture#3","color","","#FFFFFFFF","DELTA"
"talent-frame","TalentFrame/Texture#3","layer","|BORDER","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"talent-frame","TalentFrame/Texture#4","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"talent-frame","TalentFrame/Texture#4","presence","PRESENT","PRESENT","PASS"
"talent-frame","TalentFrame/Texture#4","geometry","258|257|128|256","258|257|128|256","PASS"
