panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"talent-frame","TalentFrame","Frame","","0","0","384","512","TOPLEFT","","","0","-104","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\TalentFrame.xml","","",""
"talent-frame","TalentFramePortrait","Texture","TalentFrame","7","6","60","60","TOPLEFT","","","7","-6","","","","","","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\TalentFrame.xml","","",""
"talent-frame","TalentFrame/Texture","Texture","TalentFrame","2","1","256","256","TOPLEFT","","","2","-1","Interface\PaperDollInfoFrame\UI-Character-General-TopLeft.blp","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\TalentFrame.xml","interface.MPQ:Interface\PaperDollInfoFrame\UI-Character-General-TopLeft.blp","",""
"talent-frame","TalentFrame/Texture#2","Texture","TalentFrame","258","1","128","256","TOPRIGHT","","","2","-1","Interface\PaperDollInfoFrame\UI-Character-General-TopRight.blp","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\TalentFrame.xml","interface.MPQ:Interface\PaperDollInfoFrame\UI-Character-General-TopRight.blp","",""
"talent-frame","TalentFrame/Texture#3","Texture","TalentFrame","2","257","256","256","BOTTOMLEFT","","","2","-1","Interface\TalentFrame\UI-TalentFrame-BotLeft.blp","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\TalentFrame.xml","interface.MPQ:Interface\TalentFrame\UI-TalentFrame-BotLeft.blp","",""
"talent-frame","TalentFrame/Texture#4","Texture","TalentFrame","258","257","128","256","BOTTOMRIGHT","","","2","-1","Interface\TalentFrame\UI-TalentFrame-BotRight.blp","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\TalentFrame.xml","interface.MPQ:Interface\TalentFrame\UI-TalentFrame-BotRight.blp","",""
"talent-frame","TalentFrameBackgroundTopLeft","Texture","TalentFrame","23","77","256","256","TOPLEFT","","","23","-77","","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\TalentFrame.xml","","",""
"talent-frame","TalentFrameBackgroundTopRight","Texture","TalentFrame","279","77","64","256","TOPLEFT","TalentFrameBackgroundTopLeft","TOPRIGHT","0","0","","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\TalentFrame.xml","","",""
"talent-frame","TalentFrameBackgroundBottomLeft","Texture","TalentFrame","23","333","256","128","TOPLEFT","TalentFrameBackgroundTopLeft","BOTTOMLEFT","0","0","","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\TalentFrame.xml","","",""
"talent-frame","TalentFrameBackgroundBottomRight","Texture","TalentFrame","279","333","64","128","TOPLEFT","TalentFrameBackgroundTopLeft","BOTTOMRIGHT","0","0","","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\TalentFrame.xml","","",""
