panel,element,field,expected,actual,verdict
"quest-log","QuestFrameExitButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestFrameExitButton","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestFrameExitButton/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestFrameExitButton/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestFrameExitButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestFrameExitButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestFrameExitButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestFrameExitButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestFrameExitButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestFrameExitButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestFramePushQuestButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestFramePushQuestButton","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestFramePushQuestButton/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestFramePushQuestButton/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestFramePushQuestButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestFramePushQuestButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestFramePushQuestButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestFramePushQuestButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestFramePushQuestButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestFramePushQuestButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestLogCollapseAllButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestLogCollapseAllButton","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestLogCollapseAllButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestLogCollapseAllButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestLogCollapseAllButton/Texture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestLogCollapseAllButton/Texture","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestLogCollapseAllButtonGroupMates","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestLogCollapseAllButtonGroupMates","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestLogCollapseAllButtonHighlight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestLogCollapseAllButtonHighlight","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestLogCollapseAllButtonTag","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestLogCollapseAllButtonTag","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestLogCountLeft","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestLogCountLeft","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestLogCountMiddle","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestLogCountMiddle","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestLogCountRight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestLogCountRight","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestLogExpandButtonFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestLogExpandButtonFrame","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestLogExpandTabLeft","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestLogExpandTabLeft","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestLogExpandTabMiddle","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"quest-log","QuestLogExpandTabMiddle","presence","PRESENT","ABSENT","DELTA"
"quest-log","QuestLogFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"quest-log","QuestLogFrame","presence","PRESENT","PRESENT","PASS"
"quest-log","QuestLogFrame","geometry","0|0|384|512","0|0|384|512","PASS"
"quest-log","QuestLogFrame","anchor","TOPLEFT|||0|-104","ANCHOR:ABSOLUTE|||0|8","DELTA"
"quest-log","QuestLogFrame","texture-path","||","||","PASS"
"quest-log","QuestLogFrame","font","|","|","PASS"
"quest-log","QuestLogFrame","color","","","PASS"
"quest-log","QuestLogFrame","layer","|","IMGUI_WINDOW|IMGUI_HOST","DELTA"
"quest-log","QuestLogFrame/Texture","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"quest-log","QuestLogFrame/Texture","presence","PRESENT","PRESENT","PASS"
"quest-log","QuestLogFrame/Texture","geometry","4|4|64|64","4|4|64|64","PASS"
"quest-log","QuestLogFrame/Texture","anchor","TOPLEFT|||4|-4","TOPLEFT|QuestLogFrame|TOPLEFT|4|-4","DELTA"
"quest-log","QuestLogFrame/Texture","texture-path","Interface\QuestFrame\UI-QuestLog-BookIcon.blp||","Interface\QuestFrame\UI-QuestLog-BookIcon.blp||","PASS"
"quest-log","QuestLogFrame/Texture","font","|","|","PASS"
"quest-log","QuestLogFrame/Texture","color","","#FFFFFFFF","DELTA"
