panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"quest-log","QuestLogFrame","Frame","","0","0","384","512","TOPLEFT","","","0","-104","","","","","","","","","","","","","","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","","",""
"quest-log","QuestLogFrame/Texture","Texture","QuestLogFrame","4","4","64","64","TOPLEFT","","","4","-4","Interface\QuestFrame\UI-QuestLog-BookIcon.blp","","","","","BACKGROUND","","","","","","","","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","interface.MPQ:Interface\QuestFrame\UI-QuestLog-BookIcon.blp","",""
"quest-log","QuestLogFrame/Texture#2","Texture","QuestLogFrame","0","0","256","256","TOPLEFT","","","","","Interface\QuestFrame\UI-QuestLog-TopLeft.blp","","","","","ARTWORK","","","","","","","","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","interface.MPQ:Interface\QuestFrame\UI-QuestLog-TopLeft.blp","",""
"quest-log","QuestLogFrame/Texture#3","Texture","QuestLogFrame","256","0","128","256","TOPRIGHT","","","","","Interface\QuestFrame\UI-QuestLog-TopRight.blp","","","","","ARTWORK","","","","","","","","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","interface.MPQ:Interface\QuestFrame\UI-QuestLog-TopRight.blp","",""
"quest-log","QuestLogFrame/Texture#4","Texture","QuestLogFrame","0","256","256","256","BOTTOMLEFT","","","","","Interface\QuestFrame\UI-QuestLog-BotLeft.blp","","","","","ARTWORK","","","","","","","","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","interface.MPQ:Interface\QuestFrame\UI-QuestLog-BotLeft.blp","",""
"quest-log","QuestLogFrame/Texture#5","Texture","QuestLogFrame","256","256","128","256","BOTTOMRIGHT","","","","","Interface\QuestFrame\UI-QuestLog-BotRight.blp","","","","","ARTWORK","","","","","","","","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","interface.MPQ:Interface\QuestFrame\UI-QuestLog-BotRight.blp","",""
"quest-log","QuestLogTitleText","FontString","QuestLogFrame","42","15","300","14","TOP","QuestLogFrame","TOP","0","-15","","GameFontHighlight","Fonts\FRIZQT__.TTF","12","#FFFFFFFF","ARTWORK","","","","","","","","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"quest-log","QuestLogCountRight","Texture","QuestLogFrame","329","41","8","20","TOPRIGHT","","","-47","-41","Interface\Common\Common-Input-Border.blp","","","","","OVERLAY","","","","","","","0.9375|0|1.0|0.625","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","interface.MPQ:Interface\Common\Common-Input-Border.blp","",""
"quest-log","QuestLogCountMiddle","Texture","QuestLogFrame","229","41","100","20","RIGHT","QuestLogCountRight","LEFT","","","Interface\Common\Common-Input-Border.blp","","","","","OVERLAY","","","","","","","0.0625|0|0.9375|0.625","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","interface.MPQ:Interface\Common\Common-Input-Border.blp","",""
"quest-log","QuestLogCountLeft","Texture","QuestLogFrame","221","41","8","20","RIGHT","QuestLogCountMiddle","LEFT","","","Interface\Common\Common-Input-Border.blp","","","","","OVERLAY","","","","","","","0|0|0.0625|0.625","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","interface.MPQ:Interface\Common\Common-Input-Border.blp","",""
"quest-log","QuestLogQuestCount","FontString","QuestLogFrame","","","","","RIGHT","QuestLogCountRight","","-6","0","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","OVERLAY","","","","","","","","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"quest-log","QuestLogExpandButtonFrame","Frame","QuestLogFrame","70","48","54","32","TOPLEFT","","","70","-48","","","","","","","","","","","","","","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","","",""
"quest-log","QuestLogCollapseAllButton","Button","QuestLogExpandButtonFrame","70","50","40","22","TOPLEFT","","","0","-2","Interface\Buttons\UI-MinusButton-UP.blp","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","","","","","","","","","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","interface.MPQ:Interface\Buttons\UI-MinusButton-UP.blp","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"quest-log","QuestLogCollapseAllButtonTag","FontString","QuestLogCollapseAllButton","108","53","0","16","RIGHT","","","-2","0","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","BACKGROUND","","","","","","","","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"quest-log","QuestLogCollapseAllButtonGroupMates","FontString","QuestLogCollapseAllButton","78","53","0","16","LEFT","","","8","0","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","","","","","","","","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"quest-log","QuestLogCollapseAllButton/NormalTexture","NormalTexture","QuestLogCollapseAllButton","73","53","16","16","LEFT","","","3","0","Interface\Buttons\UI-MinusButton-UP.blp","","","","","","","","","","","","","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","interface.MPQ:Interface\Buttons\UI-MinusButton-UP.blp","",""
"quest-log","QuestLogCollapseAllButtonHighlight","HighlightTexture","QuestLogCollapseAllButton","73","53","16","16","LEFT","","","3","0","Interface\Buttons\UI-PlusButton-Hilight.blp","","","","","","","","","","","","","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","interface.MPQ:Interface\Buttons\UI-PlusButton-Hilight.blp","",""
"quest-log","QuestLogExpandTabLeft","Texture","QuestLogCollapseAllButton","64","42","8","32","TOPLEFT","","","-6","8","Interface\QuestFrame\UI-QuestLogSortTab-Left.blp","","","","","BACKGROUND","","","","","","","","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","interface.MPQ:Interface\QuestFrame\UI-QuestLogSortTab-Left.blp","",""
"quest-log","QuestLogExpandTabMiddle","Texture","QuestLogCollapseAllButton","72","42","38","32","LEFT","QuestLogExpandTabLeft","RIGHT","0","0","Interface\QuestFrame\UI-QuestLogSortTab-Middle.blp","","","","","BACKGROUND","","","","","","","","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","interface.MPQ:Interface\QuestFrame\UI-QuestLogSortTab-Middle.blp","",""
"quest-log","QuestLogCollapseAllButton/Texture","Texture","QuestLogCollapseAllButton","110","42","8","32","LEFT","QuestLogExpandTabMiddle","RIGHT","","","Interface\QuestFrame\UI-QuestLogSortTab-Right.blp","","","","","BACKGROUND","","","","","","","","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","interface.MPQ:Interface\QuestFrame\UI-QuestLogSortTab-Right.blp","",""
"quest-log","QuestLogTrack","Frame","QuestLogFrame","129","44","20","20","LEFT","QuestLogExpandButtonFrame","RIGHT","5","10","","","","","","","","","","","","","","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","","",""
"quest-log","QuestLogTrackTitle","FontString","QuestLogTrack","","","","","LEFT","","RIGHT","0","0","","GameFontHighlightSmall","Fonts\FRIZQT__.TTF","10","#FFFFFFFF","BACKGROUND","","","","","","","","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"quest-log","QuestLogTrack/Texture","Texture","QuestLogTrack","129","44","20","20","","","","","","Interface\Buttons\UI-RadioButton.blp","","","","","BACKGROUND","","","","","","","0|0|0.25|1","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","interface.MPQ:Interface\Buttons\UI-RadioButton.blp","",""
"quest-log","QuestLogTrackTracking","Texture","QuestLogTrack","129","44","20","20","","","","","","Interface\Buttons\UI-RadioButton.blp","","","","","BACKGROUND","","","","","","","0.25|0|0.5|1","patch-2.MPQ:Interface\FrameXML\QuestLogFrame.xml","interface.MPQ:Interface\Buttons\UI-RadioButton.blp","",""
