panel,element,field,expected,actual,verdict
"merchant","BuybackFrameBotLeft","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","BuybackFrameBotLeft","presence","PRESENT","ABSENT","DELTA"
"merchant","BuybackFrameBotRight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","BuybackFrameBotRight","presence","PRESENT","ABSENT","DELTA"
"merchant","BuybackFrameTopLeft","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","BuybackFrameTopLeft","presence","PRESENT","ABSENT","DELTA"
"merchant","BuybackFrameTopRight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","BuybackFrameTopRight","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantBuyBackItem","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantBuyBackItem","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantBuyBackItemItemButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantBuyBackItemItemButton","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantBuyBackItemMoneyFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantBuyBackItemMoneyFrame","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantBuyBackItemName","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantBuyBackItemName","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantBuyBackItemNameFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantBuyBackItemNameFrame","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantBuyBackItemSlotTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantBuyBackItemSlotTexture","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"merchant","MerchantFrame","presence","PRESENT","PRESENT","PASS"
"merchant","MerchantFrame","geometry","0|0|384|512","0|0|384|512","PASS"
"merchant","MerchantFrame","anchor","TOPLEFT|||0|-104","ANCHOR:ABSOLUTE|||0|8","DELTA"
"merchant","MerchantFrame","texture-path","||","||","PASS"
"merchant","MerchantFrame","font","|","|","PASS"
"merchant","MerchantFrame","color","","","PASS"
"merchant","MerchantFrame","layer","|","IMGUI_WINDOW|IMGUI_HOST","DELTA"
"merchant","MerchantFrame/Texture","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"merchant","MerchantFrame/Texture","presence","PRESENT","PRESENT","PASS"
"merchant","MerchantFrame/Texture","geometry","0|0|256|256","0|0|256|256","PASS"
"merchant","MerchantFrame/Texture","anchor","TOPLEFT||||","TOPLEFT|MerchantFrame|TOPLEFT|0|-0","DELTA"
"merchant","MerchantFrame/Texture","texture-path","Interface\MerchantFrame\UI-Merchant-TopLeft.blp||","Interface\MerchantFrame\UI-Merchant-TopLeft.blp||","PASS"
"merchant","MerchantFrame/Texture","font","|","|","PASS"
"merchant","MerchantFrame/Texture","color","","#FFFFFFFF","DELTA"
"merchant","MerchantFrame/Texture","layer","|BORDER","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"merchant","MerchantFrame/Texture#2","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"merchant","MerchantFrame/Texture#2","presence","PRESENT","PRESENT","PASS"
"merchant","MerchantFrame/Texture#2","geometry","256|0|128|256","256|0|128|256","PASS"
"merchant","MerchantFrame/Texture#2","anchor","TOPRIGHT||||","TOPLEFT|MerchantFrame|TOPLEFT|256|-0","DELTA"
"merchant","MerchantFrame/Texture#2","texture-path","Interface\MerchantFrame\UI-Merchant-TopRight.blp||","Interface\MerchantFrame\UI-Merchant-TopRight.blp||","PASS"
"merchant","MerchantFrame/Texture#2","font","|","|","PASS"
"merchant","MerchantFrame/Texture#2","color","","#FFFFFFFF","DELTA"
"merchant","MerchantFrame/Texture#2","layer","|BORDER","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"merchant","MerchantFrame/Texture#3","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"merchant","MerchantFrame/Texture#3","presence","PRESENT","PRESENT","PASS"
"merchant","MerchantFrame/Texture#3","geometry","0|256|256|256","0|256|256|256","PASS"
"merchant","MerchantFrame/Texture#3","anchor","BOTTOMLEFT||||","TOPLEFT|MerchantFrame|TOPLEFT|0|-256","DELTA"
"merchant","MerchantFrame/Texture#3","texture-path","Interface\MerchantFrame\UI-Merchant-BotLeft.blp||","Interface\MerchantFrame\UI-Merchant-BotLeft.blp||","PASS"
"merchant","MerchantFrame/Texture#3","font","|","|","PASS"
"merchant","MerchantFrame/Texture#3","color","","#FFFFFFFF","DELTA"
"merchant","MerchantFrame/Texture#3","layer","|BORDER","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"merchant","MerchantFrame/Texture#4","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"merchant","MerchantFrame/Texture#4","presence","PRESENT","PRESENT","PASS"
"merchant","MerchantFrame/Texture#4","geometry","256|256|128|256","256|256|128|256","PASS"
"merchant","MerchantFrame/Texture#4","anchor","BOTTOMRIGHT||||","TOPLEFT|MerchantFrame|TOPLEFT|256|-256","DELTA"
"merchant","MerchantFrame/Texture#4","texture-path","Interface\MerchantFrame\UI-Merchant-BotRight.blp||","Interface\MerchantFrame\UI-Merchant-BotRight.blp||","PASS"
"merchant","MerchantFrame/Texture#4","font","|","|","PASS"
"merchant","MerchantFrame/Texture#4","color","","#FFFFFFFF","DELTA"
"merchant","MerchantFrame/Texture#4","layer","|BORDER","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"merchant","MerchantFrameBottomLeftBorder","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantFrameBottomLeftBorder","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantFrameBottomRightBorder","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantFrameBottomRightBorder","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantFrameCloseButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantFrameCloseButton","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantFrameCloseButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantFrameCloseButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantFrameCloseButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantFrameCloseButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantFrameCloseButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantFrameCloseButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantFramePortrait","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantFramePortrait","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantFrameTab1","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantFrameTab1","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantFrameTab2","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantFrameTab2","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem1","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem1","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem10","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem10","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem10ItemButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem10ItemButton","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem10MoneyFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem10MoneyFrame","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem10Name","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem10Name","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem10NameFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem10NameFrame","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem10SlotTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem10SlotTexture","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem11","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem11","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem11ItemButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem11ItemButton","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem11MoneyFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem11MoneyFrame","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem11Name","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem11Name","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem11NameFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem11NameFrame","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem11SlotTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem11SlotTexture","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem12","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem12","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem12ItemButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem12ItemButton","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem12MoneyFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem12MoneyFrame","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem12Name","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem12Name","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem12NameFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem12NameFrame","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem12SlotTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem12SlotTexture","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem1ItemButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem1ItemButton","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem1MoneyFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem1MoneyFrame","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem1Name","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem1Name","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem1NameFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem1NameFrame","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem1SlotTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem1SlotTexture","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem2","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem2","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem2ItemButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem2ItemButton","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem2MoneyFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem2MoneyFrame","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem2Name","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem2Name","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem2NameFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem2NameFrame","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem2SlotTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"merchant","MerchantItem2SlotTexture","presence","PRESENT","ABSENT","DELTA"
"merchant","MerchantItem3","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
