panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"merchant","MerchantFrame","Frame","","0","0","384","512","TOPLEFT","","","0","-104","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","",""
"merchant","MerchantFramePortrait","Texture","MerchantFrame","7","6","60","60","TOPLEFT","","","7","-6","","","","","","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","",""
"merchant","MerchantFrame/Texture","Texture","MerchantFrame","0","0","256","256","TOPLEFT","","","","","Interface\MerchantFrame\UI-Merchant-TopLeft.blp","","","","","BORDER","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","interface.MPQ:Interface\MerchantFrame\UI-Merchant-TopLeft.blp","",""
"merchant","MerchantFrame/Texture#2","Texture","MerchantFrame","256","0","128","256","TOPRIGHT","","","","","Interface\MerchantFrame\UI-Merchant-TopRight.blp","","","","","BORDER","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","interface.MPQ:Interface\MerchantFrame\UI-Merchant-TopRight.blp","",""
"merchant","MerchantFrame/Texture#3","Texture","MerchantFrame","0","256","256","256","BOTTOMLEFT","","","","","Interface\MerchantFrame\UI-Merchant-BotLeft.blp","","","","","BORDER","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","patch.MPQ:Interface\MerchantFrame\UI-Merchant-BotLeft.blp","",""
"merchant","MerchantFrame/Texture#4","Texture","MerchantFrame","256","256","128","256","BOTTOMRIGHT","","","","","Interface\MerchantFrame\UI-Merchant-BotRight.blp","","","","","BORDER","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","patch.MPQ:Interface\MerchantFrame\UI-Merchant-BotRight.blp","",""
"merchant","MerchantNameText","FontString","MerchantFrame","","","","","TOP","MerchantFrame","TOP","0","-17","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","BORDER","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"merchant","MerchantPageText","FontString","MerchantFrame","126","362","104","0","BOTTOM","","","-14","150","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","BORDER","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"merchant","MerchantRepairText","FontString","MerchantFrame","","","","","BOTTOMLEFT","","","26","103","","GameFontHighlightSmall","Fonts\FRIZQT__.TTF","10","#FFFFFFFF","BORDER","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"merchant","BuybackFrameTopLeft","Texture","MerchantFrame","19","71","256","256","TOPLEFT","","","19","-71","Interface\MerchantFrame\UI-BuyBack-TopLeft.blp","","","","","ARTWORK","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","patch.MPQ:Interface\MerchantFrame\UI-BuyBack-TopLeft.blp","",""
"merchant","BuybackFrameTopRight","Texture","MerchantFrame","275","71","64","256","TOPLEFT","BuybackFrameTopLeft","TOPRIGHT","","","Interface\MerchantFrame\UI-BuyBack-TopRight.blp","","","","","ARTWORK","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","patch.MPQ:Interface\MerchantFrame\UI-BuyBack-TopRight.blp","",""
"merchant","BuybackFrameBotLeft","Texture","MerchantFrame","19","327","256","128","TOPLEFT","BuybackFrameTopLeft","BOTTOMLEFT","","","Interface\MerchantFrame\UI-BuyBack-BotLeft.blp","","","","","ARTWORK","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","patch.MPQ:Interface\MerchantFrame\UI-BuyBack-BotLeft.blp","",""
"merchant","BuybackFrameBotRight","Texture","MerchantFrame","275","327","64","128","TOPLEFT","BuybackFrameTopLeft","BOTTOMRIGHT","","","Interface\MerchantFrame\UI-BuyBack-BotRight.blp","","","","","ARTWORK","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","patch.MPQ:Interface\MerchantFrame\UI-BuyBack-BotRight.blp","",""
"merchant","MerchantFrameBottomLeftBorder","Texture","MerchantFrame","14","366","256","61","BOTTOMLEFT","","","14","85","Interface\MerchantFrame\UI-Merchant-BottomBorder.blp","","","","","OVERLAY","","","","","","","0|0|1|0.4765625","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","patch.MPQ:Interface\MerchantFrame\UI-Merchant-BottomBorder.blp","",""
"merchant","MerchantFrameBottomRightBorder","Texture","MerchantFrame","270","366","76","61","LEFT","MerchantFrameBottomLeftBorder","RIGHT","","","Interface\MerchantFrame\UI-Merchant-BottomBorder.blp","","","","","OVERLAY","","","","","","","0|0.4765625|0.296875|0.953125","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","patch.MPQ:Interface\MerchantFrame\UI-Merchant-BottomBorder.blp","",""
"merchant","MerchantItem1","Frame","MerchantFrame","24","80","153","44","TOPLEFT","","","24","-80","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","",""
"merchant","MerchantItem1SlotTexture","Texture","MerchantItem1","11","67","64","64","TOPLEFT","","","-13","13","Interface\Buttons\UI-EmptySlot.blp","","","","","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","interface.MPQ:Interface\Buttons\UI-EmptySlot.blp","",""
"merchant","MerchantItem1NameFrame","Texture","MerchantItem1","66","78","128","78","LEFT","MerchantItem1SlotTexture","RIGHT","-9","-18","Interface\MerchantFrame\UI-Merchant-LabelSlots.blp","","","","","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","patch.MPQ:Interface\MerchantFrame\UI-Merchant-LabelSlots.blp","",""
"merchant","MerchantItem1Name","FontString","MerchantItem1","70","77","100","30","LEFT","MerchantItem1SlotTexture","RIGHT","-5","7","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"merchant","MerchantItem1ItemButton","Button","MerchantItem1","","","","","TOPLEFT","MerchantItem1","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","",""
"merchant","MerchantItem1MoneyFrame","Frame","MerchantItem1","","","","","BOTTOMLEFT","MerchantItem1NameFrame","BOTTOMLEFT","2","31","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","",""
"merchant","MerchantItem2","Frame","MerchantFrame","189","80","153","44","TOPLEFT","MerchantItem1","TOPRIGHT","12","0","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","",""
"merchant","MerchantItem2SlotTexture","Texture","MerchantItem2","176","67","64","64","TOPLEFT","","","-13","13","Interface\Buttons\UI-EmptySlot.blp","","","","","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","interface.MPQ:Interface\Buttons\UI-EmptySlot.blp","",""
"merchant","MerchantItem2NameFrame","Texture","MerchantItem2","231","78","128","78","LEFT","MerchantItem2SlotTexture","RIGHT","-9","-18","Interface\MerchantFrame\UI-Merchant-LabelSlots.blp","","","","","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","patch.MPQ:Interface\MerchantFrame\UI-Merchant-LabelSlots.blp","",""
"merchant","MerchantItem2Name","FontString","MerchantItem2","235","77","100","30","LEFT","MerchantItem2SlotTexture","RIGHT","-5","7","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"merchant","MerchantItem2ItemButton","Button","MerchantItem2","","","","","TOPLEFT","MerchantItem2","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","",""
"merchant","MerchantItem2MoneyFrame","Frame","MerchantItem2","","","","","BOTTOMLEFT","MerchantItem2NameFrame","BOTTOMLEFT","2","31","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","",""
"merchant","MerchantItem3","Frame","MerchantFrame","24","132","153","44","TOPLEFT","MerchantItem1","BOTTOMLEFT","0","-8","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","",""
"merchant","MerchantItem3SlotTexture","Texture","MerchantItem3","11","119","64","64","TOPLEFT","","","-13","13","Interface\Buttons\UI-EmptySlot.blp","","","","","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","interface.MPQ:Interface\Buttons\UI-EmptySlot.blp","",""
"merchant","MerchantItem3NameFrame","Texture","MerchantItem3","66","130","128","78","LEFT","MerchantItem3SlotTexture","RIGHT","-9","-18","Interface\MerchantFrame\UI-Merchant-LabelSlots.blp","","","","","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","patch.MPQ:Interface\MerchantFrame\UI-Merchant-LabelSlots.blp","",""
"merchant","MerchantItem3Name","FontString","MerchantItem3","70","129","100","30","LEFT","MerchantItem3SlotTexture","RIGHT","-5","7","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"merchant","MerchantItem3ItemButton","Button","MerchantItem3","","","","","TOPLEFT","MerchantItem3","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","",""
"merchant","MerchantItem3MoneyFrame","Frame","MerchantItem3","","","","","BOTTOMLEFT","MerchantItem3NameFrame","BOTTOMLEFT","2","31","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","",""
"merchant","MerchantItem4","Frame","MerchantFrame","189","132","153","44","TOPLEFT","MerchantItem3","TOPRIGHT","12","0","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","",""
"merchant","MerchantItem4SlotTexture","Texture","MerchantItem4","176","119","64","64","TOPLEFT","","","-13","13","Interface\Buttons\UI-EmptySlot.blp","","","","","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","interface.MPQ:Interface\Buttons\UI-EmptySlot.blp","",""
"merchant","MerchantItem4NameFrame","Texture","MerchantItem4","231","130","128","78","LEFT","MerchantItem4SlotTexture","RIGHT","-9","-18","Interface\MerchantFrame\UI-Merchant-LabelSlots.blp","","","","","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","patch.MPQ:Interface\MerchantFrame\UI-Merchant-LabelSlots.blp","",""
"merchant","MerchantItem4Name","FontString","MerchantItem4","235","129","100","30","LEFT","MerchantItem4SlotTexture","RIGHT","-5","7","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"merchant","MerchantItem4ItemButton","Button","MerchantItem4","","","","","TOPLEFT","MerchantItem4","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","",""
"merchant","MerchantItem4MoneyFrame","Frame","MerchantItem4","","","","","BOTTOMLEFT","MerchantItem4NameFrame","BOTTOMLEFT","2","31","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","",""
"merchant","MerchantItem5","Frame","MerchantFrame","24","184","153","44","TOPLEFT","MerchantItem3","BOTTOMLEFT","0","-8","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","",""
"merchant","MerchantItem5SlotTexture","Texture","MerchantItem5","11","171","64","64","TOPLEFT","","","-13","13","Interface\Buttons\UI-EmptySlot.blp","","","","","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","interface.MPQ:Interface\Buttons\UI-EmptySlot.blp","",""
"merchant","MerchantItem5NameFrame","Texture","MerchantItem5","66","182","128","78","LEFT","MerchantItem5SlotTexture","RIGHT","-9","-18","Interface\MerchantFrame\UI-Merchant-LabelSlots.blp","","","","","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","patch.MPQ:Interface\MerchantFrame\UI-Merchant-LabelSlots.blp","",""
"merchant","MerchantItem5Name","FontString","MerchantItem5","70","181","100","30","LEFT","MerchantItem5SlotTexture","RIGHT","-5","7","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"merchant","MerchantItem5ItemButton","Button","MerchantItem5","","","","","TOPLEFT","MerchantItem5","","","","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","",""
"merchant","MerchantItem5MoneyFrame","Frame","MerchantItem5","","","","","BOTTOMLEFT","MerchantItem5NameFrame","BOTTOMLEFT","2","31","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","",""
"merchant","MerchantItem6","Frame","MerchantFrame","189","184","153","44","TOPLEFT","MerchantItem5","TOPRIGHT","12","0","","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\MerchantFrame.xml","","",""
