panel,element,field,expected,actual,verdict
"trainer","ClassTrainerAvailableButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerAvailableButton","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerAvailableButton/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerAvailableButton/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerAvailableButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerAvailableButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerAvailableButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerAvailableButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerAvailableButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerAvailableButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerAvailableButtonText","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerAvailableButtonText","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerCancelButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerCancelButton","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerCancelButton/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerCancelButton/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerCancelButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerCancelButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerCancelButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerCancelButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerCancelButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerCancelButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerCollapseAllButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerCollapseAllButton","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerCollapseAllButton/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
