panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"trainer","ClassTrainerFrame","Frame","","0","0","384","512","TOPLEFT","","","0","-104","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","","",""
"trainer","ClassTrainerFramePortrait","Texture","ClassTrainerFrame","7","6","60","60","TOPLEFT","","","7","-6","","","","","","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","","",""
"trainer","ClassTrainerFrame/Texture","Texture","ClassTrainerFrame","0","0","256","256","TOPLEFT","","","","","Interface\ClassTrainerFrame\UI-ClassTrainer-TopLeft.blp","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","interface.MPQ:Interface\ClassTrainerFrame\UI-ClassTrainer-TopLeft.blp","",""
"trainer","ClassTrainerFrame/Texture#2","Texture","ClassTrainerFrame","256","0","128","256","TOPRIGHT","","","","","Interface\ClassTrainerFrame\UI-ClassTrainer-TopRight.blp","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","interface.MPQ:Interface\ClassTrainerFrame\UI-ClassTrainer-TopRight.blp","",""
"trainer","ClassTrainerFrameBottomLeft","Texture","ClassTrainerFrame","0","256","256","256","BOTTOMLEFT","","","","","Interface\ClassTrainerFrame\UI-ClassTrainer-BotLeft.blp","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","interface.MPQ:Interface\ClassTrainerFrame\UI-ClassTrainer-BotLeft.blp","",""
"trainer","ClassTrainerFrameBottomRight","Texture","ClassTrainerFrame","256","256","128","256","BOTTOMRIGHT","","","","","Interface\ClassTrainerFrame\UI-ClassTrainer-BotRight.blp","","","","","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","interface.MPQ:Interface\ClassTrainerFrame\UI-ClassTrainer-BotRight.blp","",""
"trainer","ClassTrainerNameText","FontString","ClassTrainerFrame","","","","","TOP","ClassTrainerFrame","TOP","0","-17","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"trainer","ClassTrainerGreetingText","FontString","ClassTrainerFrame","76","38","260","26","TOPLEFT","","","76","-38","","GameFontHighlight","Fonts\FRIZQT__.TTF","12","#FFFFFFFF","BORDER","","","","","","","","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"trainer","ClassTrainerHorizontalBarLeft","Texture","ClassTrainerFrame","15","275","256","16","TOPLEFT","","","15","-275","Interface\ClassTrainerFrame\UI-ClassTrainer-HorizontalBar.blp","","","","","ARTWORK","","","","","","","0|0|1.0|0.25","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","interface.MPQ:Interface\ClassTrainerFrame\UI-ClassTrainer-HorizontalBar.blp","",""
"trainer","ClassTrainerFrame/Texture#3","Texture","ClassTrainerFrame","271","275","75","16","LEFT","ClassTrainerHorizontalBarLeft","RIGHT","0","0","Interface\ClassTrainerFrame\UI-ClassTrainer-HorizontalBar.blp","","","","","ARTWORK","","","","","","","0|0.25|0.29296875|0.5","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","interface.MPQ:Interface\ClassTrainerFrame\UI-ClassTrainer-HorizontalBar.blp","",""
"trainer","ClassTrainerExpandButtonFrame","Frame","ClassTrainerFrame","15","70","54","32","TOPLEFT","","","15","-70","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","","",""
"trainer","ClassTrainerExpandTabLeft","Texture","ClassTrainerExpandButtonFrame","15","70","8","32","TOPLEFT","","","","","Interface\ClassTrainerFrame\UI-ClassTrainer-ExpandTab-Left.blp","","","","","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","interface.MPQ:Interface\ClassTrainerFrame\UI-ClassTrainer-ExpandTab-Left.blp","",""
"trainer","ClassTrainerExpandTabMiddle","Texture","ClassTrainerExpandButtonFrame","23","64","38","32","LEFT","ClassTrainerExpandTabLeft","RIGHT","0","6","Interface\QuestFrame\UI-QuestLogSortTab-Middle.blp","","","","","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","interface.MPQ:Interface\QuestFrame\UI-QuestLogSortTab-Middle.blp","",""
"trainer","ClassTrainerExpandButtonFrame/Texture","Texture","ClassTrainerExpandButtonFrame","61","64","8","32","LEFT","ClassTrainerExpandTabMiddle","RIGHT","","","Interface\QuestFrame\UI-QuestLogSortTab-Right.blp","","","","","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","interface.MPQ:Interface\QuestFrame\UI-QuestLogSortTab-Right.blp","",""
"trainer","ClassTrainerCollapseAllButton","Button","ClassTrainerExpandButtonFrame","23","72","40","22","LEFT","ClassTrainerExpandTabLeft","RIGHT","0","3","Interface\Buttons\UI-MinusButton-UP.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","interface.MPQ:Interface\Buttons\UI-MinusButton-UP.blp","",""
"trainer","ClassTrainerCollapseAllButtonSubText","FontString","ClassTrainerCollapseAllButton","23","72","40","22","","","","","","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"trainer","ClassTrainerCollapseAllButton/NormalTexture","NormalTexture","ClassTrainerCollapseAllButton","26","75","16","16","LEFT","","","3","0","Interface\Buttons\UI-MinusButton-UP.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","interface.MPQ:Interface\Buttons\UI-MinusButton-UP.blp","",""
"trainer","ClassTrainerCollapseAllButtonHighlight","HighlightTexture","ClassTrainerCollapseAllButton","26","75","16","16","LEFT","","","3","0","Interface\Buttons\UI-PlusButton-Hilight.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","interface.MPQ:Interface\Buttons\UI-PlusButton-Hilight.blp","",""
"trainer","ClassTrainerCollapseAllButton/DisabledTexture","DisabledTexture","ClassTrainerCollapseAllButton","26","75","16","16","LEFT","","","3","0","Interface\Buttons\UI-PlusButton-Disabled.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","interface.MPQ:Interface\Buttons\UI-PlusButton-Disabled.blp","",""
"trainer","ClassTrainerSortFrame","Frame","ClassTrainerFrame","92","65","252","32","TOPRIGHT","","","-40","-65","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","","",""
"trainer","ClassTrainerSortFrameRight","Texture","ClassTrainerSortFrame","332","65","12","32","TOPRIGHT","","","","","Interface\ClassTrainerFrame\UI-ClassTrainer-FilterBorder.blp","","","","","BACKGROUND","","","","","","","0.90625|0|1.0|1.0","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","interface.MPQ:Interface\ClassTrainerFrame\UI-ClassTrainer-FilterBorder.blp","",""
"trainer","ClassTrainerSortFrameMiddle","Texture","ClassTrainerSortFrame","104","65","228","32","RIGHT","ClassTrainerSortFrameRight","LEFT","","","Interface\ClassTrainerFrame\UI-ClassTrainer-FilterBorder.blp","","","","","BACKGROUND","","","","","","","0.09375|0|0.90625|1.0","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","interface.MPQ:Interface\ClassTrainerFrame\UI-ClassTrainer-FilterBorder.blp","",""
"trainer","ClassTrainerSortFrameLeft","Texture","ClassTrainerSortFrame","92","65","12","32","RIGHT","ClassTrainerSortFrameMiddle","LEFT","","","Interface\ClassTrainerFrame\UI-ClassTrainer-FilterBorder.blp","","","","","BACKGROUND","","","","","","","0|0|0.09375|1.0","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","interface.MPQ:Interface\ClassTrainerFrame\UI-ClassTrainer-FilterBorder.blp","",""
"trainer","ClassTrainerAvailableButton","CheckButton","ClassTrainerSortFrame","107","66.5","25","25","LEFT","ClassTrainerSortFrameLeft","","15","2","Interface\Buttons\UI-CheckBox-Up.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\ClassTrainerFrame.xml","interface.MPQ:Interface\Buttons\UI-CheckBox-Up.blp","",""
