panel,element,field,expected,actual,verdict
"bank","BankCloseButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankCloseButton","presence","PRESENT","ABSENT","DELTA"
"bank","BankCloseButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankCloseButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"bank","BankCloseButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankCloseButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"bank","BankCloseButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankCloseButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"bank","BankFrame","presence","PRESENT","PRESENT","PASS"
"bank","BankFrame","geometry","0|0|384|512","0|0|384|512","PASS"
"bank","BankFrame","anchor","TOPLEFT|||0|-104","ANCHOR:ABSOLUTE|||0|8","DELTA"
"bank","BankFrame","texture-path","||","||","PASS"
"bank","BankFrame","font","|","|","PASS"
"bank","BankFrame","color","","","PASS"
"bank","BankFrame","layer","|","IMGUI_WINDOW|IMGUI_HOST","DELTA"
"bank","BankFrame/FontString","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrame/FontString","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrame/FontString#2","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrame/FontString#2","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrame/Texture","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"bank","BankFrame/Texture","presence","PRESENT","PRESENT","PASS"
"bank","BankFrame/Texture","geometry","0|0|256|256","0|0|256|256","PASS"
"bank","BankFrame/Texture","anchor","TOPLEFT||||","TOPLEFT|BankFrame|TOPLEFT|0|-0","DELTA"
"bank","BankFrame/Texture","texture-path","Interface\BankFrame\UI-BankFrame-TopLeft.blp||","Interface\BankFrame\UI-BankFrame-TopLeft.blp||","PASS"
"bank","BankFrame/Texture","font","|","|","PASS"
"bank","BankFrame/Texture","color","","#FFFFFFFF","DELTA"
"bank","BankFrame/Texture","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"bank","BankFrame/Texture#2","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"bank","BankFrame/Texture#2","presence","PRESENT","PRESENT","PASS"
"bank","BankFrame/Texture#2","geometry","256|0|128|256","256|0|128|256","PASS"
"bank","BankFrame/Texture#2","anchor","TOPRIGHT||||","TOPLEFT|BankFrame|TOPLEFT|256|-0","DELTA"
"bank","BankFrame/Texture#2","texture-path","Interface\BankFrame\UI-BankFrame-TopRight.blp||","Interface\BankFrame\UI-BankFrame-TopRight.blp||","PASS"
"bank","BankFrame/Texture#2","font","|","|","PASS"
"bank","BankFrame/Texture#2","color","","#FFFFFFFF","DELTA"
"bank","BankFrame/Texture#2","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"bank","BankFrame/Texture#3","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"bank","BankFrame/Texture#3","presence","PRESENT","PRESENT","PASS"
"bank","BankFrame/Texture#3","geometry","0|256|256|256","0|256|256|256","PASS"
"bank","BankFrame/Texture#3","anchor","BOTTOMLEFT||||","TOPLEFT|BankFrame|TOPLEFT|0|-256","DELTA"
"bank","BankFrame/Texture#3","texture-path","Interface\BankFrame\UI-BankFrame-BotLeft.blp||","Interface\BankFrame\UI-BankFrame-BotLeft.blp||","PASS"
"bank","BankFrame/Texture#3","font","|","|","PASS"
"bank","BankFrame/Texture#3","color","","#FFFFFFFF","DELTA"
"bank","BankFrame/Texture#3","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"bank","BankFrame/Texture#4","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"bank","BankFrame/Texture#4","presence","PRESENT","PRESENT","PASS"
"bank","BankFrame/Texture#4","geometry","256|256|128|256","256|256|128|256","PASS"
"bank","BankFrame/Texture#4","anchor","BOTTOMRIGHT||||","TOPLEFT|BankFrame|TOPLEFT|256|-256","DELTA"
"bank","BankFrame/Texture#4","texture-path","Interface\BankFrame\UI-BankFrame-BotRight.blp||","Interface\BankFrame\UI-BankFrame-BotRight.blp||","PASS"
"bank","BankFrame/Texture#4","font","|","|","PASS"
"bank","BankFrame/Texture#4","color","","#FFFFFFFF","DELTA"
"bank","BankFrame/Texture#4","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"bank","BankFrameBag1","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameBag1","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameBag1HighlightFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameBag1HighlightFrame","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameBag2","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameBag2","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameBag2HighlightFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameBag2HighlightFrame","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameBag3","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameBag3","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameBag3HighlightFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameBag3HighlightFrame","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameBag4","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameBag4","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameBag4HighlightFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameBag4HighlightFrame","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameBag5","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameBag5","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameBag5HighlightFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameBag5HighlightFrame","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameBag6","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameBag6","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameBag6HighlightFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameBag6HighlightFrame","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameDetailMoneyFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameDetailMoneyFrame","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem1","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem1","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem10","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem10","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem11","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem11","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem12","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem12","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem13","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem13","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem14","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem14","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem15","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem15","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem16","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem16","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem17","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem17","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem18","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem18","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem19","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem19","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem2","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem2","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem20","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem20","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem21","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem21","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem22","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem22","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem23","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem23","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem24","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem24","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem3","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem3","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem4","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem4","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem5","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem5","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem6","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem6","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem7","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem7","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem8","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem8","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameItem9","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameItem9","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameMoneyFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameMoneyFrame","presence","PRESENT","ABSENT","DELTA"
"bank","BankFramePurchaseInfo","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFramePurchaseInfo","presence","PRESENT","ABSENT","DELTA"
"bank","BankFramePurchaseInfo/FontString","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFramePurchaseInfo/FontString","presence","PRESENT","ABSENT","DELTA"
"bank","BankFramePurchaseInfoPurchaseButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFramePurchaseInfoPurchaseButton","presence","PRESENT","ABSENT","DELTA"
"bank","BankFramePurchaseInfoPurchaseButton/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFramePurchaseInfoPurchaseButton/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"bank","BankFramePurchaseInfoPurchaseButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFramePurchaseInfoPurchaseButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"bank","BankFramePurchaseInfoPurchaseButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFramePurchaseInfoPurchaseButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"bank","BankFramePurchaseInfoPurchaseButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFramePurchaseInfoPurchaseButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameSlotCost","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameSlotCost","presence","PRESENT","ABSENT","DELTA"
"bank","BankFrameTitleText","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankFrameTitleText","presence","PRESENT","ABSENT","DELTA"
"bank","BankPortraitTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"bank","BankPortraitTexture","presence","PRESENT","ABSENT","DELTA"
