panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource,coverage
"bank","BankFrame","Frame","","0","0","384","512","TOPLEFT","","","0","-104","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankPortraitTexture","Texture","BankFrame","12","8","58","58","TOPLEFT","","","12","-8","","","","","","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrame/Texture","Texture","BankFrame","0","0","256","256","TOPLEFT","","","","","Interface\BankFrame\UI-BankFrame-TopLeft.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","patch.MPQ:Interface\BankFrame\UI-BankFrame-TopLeft.blp","",""
"bank","BankFrame/Texture#2","Texture","BankFrame","256","0","128","256","TOPRIGHT","","","","","Interface\BankFrame\UI-BankFrame-TopRight.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","patch.MPQ:Interface\BankFrame\UI-BankFrame-TopRight.blp","",""
"bank","BankFrame/Texture#3","Texture","BankFrame","0","256","256","256","BOTTOMLEFT","","","","","Interface\BankFrame\UI-BankFrame-BotLeft.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","patch.MPQ:Interface\BankFrame\UI-BankFrame-BotLeft.blp","",""
"bank","BankFrame/Texture#4","Texture","BankFrame","256","256","128","256","BOTTOMRIGHT","","","","","Interface\BankFrame\UI-BankFrame-BotRight.blp","","","","","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","patch.MPQ:Interface\BankFrame\UI-BankFrame-BotRight.blp","",""
"bank","BankFrameTitleText","FontString","BankFrame","","","","","CENTER","","","6","230","","GameFontHighlight","Fonts\FRIZQT__.TTF","12","#FFFFFFFF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"bank","BankFrame/FontString","FontString","BankFrame","","","","","CENTER","","","-11","195","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"bank","BankFrame/FontString#2","FontString","BankFrame","","","","","CENTER","","","-11","-5","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","ARTWORK","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"bank","BankCloseButton","Button","BankFrame","324","10","32","32","CENTER","BankFrame","TOPRIGHT","-44","-26","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","",""
"bank","BankCloseButton/NormalTexture","NormalTexture","BankCloseButton","324","10","32","32","","","","","","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Up.blp","",""
"bank","BankCloseButton/PushedTexture","PushedTexture","BankCloseButton","324","10","32","32","","","","","","Interface\Buttons\UI-Panel-MinimizeButton-Down.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Down.blp","",""
"bank","BankCloseButton/HighlightTexture","HighlightTexture","BankCloseButton","324","10","32","32","","","","","","Interface\Buttons\UI-Panel-MinimizeButton-Highlight.blp","","","","","","","","","","","","","patch.MPQ:Interface\FrameXML\UIPanelTemplates.xml","interface.MPQ:Interface\Buttons\UI-Panel-MinimizeButton-Highlight.blp","",""
"bank","BankFrameItem1","Button","BankFrame","","","","","TOPLEFT","","","40","-73","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem2","Button","BankFrame","","","","","TOPLEFT","BankFrameItem1","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem3","Button","BankFrame","","","","","TOPLEFT","BankFrameItem2","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem4","Button","BankFrame","","","","","TOPLEFT","BankFrameItem3","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem5","Button","BankFrame","","","","","TOPLEFT","BankFrameItem4","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem6","Button","BankFrame","","","","","TOPLEFT","BankFrameItem5","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem7","Button","BankFrame","","","","","TOPLEFT","BankFrameItem1","BOTTOMLEFT","0","-7","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem8","Button","BankFrame","","","","","TOPLEFT","BankFrameItem7","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem9","Button","BankFrame","","","","","TOPLEFT","BankFrameItem8","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem10","Button","BankFrame","","","","","TOPLEFT","BankFrameItem9","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem11","Button","BankFrame","","","","","TOPLEFT","BankFrameItem10","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem12","Button","BankFrame","","","","","TOPLEFT","BankFrameItem11","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem13","Button","BankFrame","","","","","TOPLEFT","BankFrameItem7","BOTTOMLEFT","0","-7","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem14","Button","BankFrame","","","","","TOPLEFT","BankFrameItem13","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem15","Button","BankFrame","","","","","TOPLEFT","BankFrameItem14","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem16","Button","BankFrame","","","","","TOPLEFT","BankFrameItem15","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem17","Button","BankFrame","","","","","TOPLEFT","BankFrameItem16","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem18","Button","BankFrame","","","","","TOPLEFT","BankFrameItem17","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem19","Button","BankFrame","","","","","TOPLEFT","BankFrameItem13","BOTTOMLEFT","0","-7","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem20","Button","BankFrame","","","","","TOPLEFT","BankFrameItem19","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem21","Button","BankFrame","","","","","TOPLEFT","BankFrameItem20","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem22","Button","BankFrame","","","","","TOPLEFT","BankFrameItem21","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem23","Button","BankFrame","","","","","TOPLEFT","BankFrameItem22","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameItem24","Button","BankFrame","","","","","TOPLEFT","BankFrameItem23","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameBag1","Button","BankFrame","","","","","TOPLEFT","BankFrameItem19","BOTTOMLEFT","0","-32","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameBag1HighlightFrame","Frame","BankFrameBag1","","","","","","","","","","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameBag2","Button","BankFrame","","","","","TOPLEFT","BankFrameBag1","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameBag2HighlightFrame","Frame","BankFrameBag2","","","","","","","","","","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameBag3","Button","BankFrame","","","","","TOPLEFT","BankFrameBag2","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameBag3HighlightFrame","Frame","BankFrameBag3","","","","","","","","","","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameBag4","Button","BankFrame","","","","","TOPLEFT","BankFrameBag3","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameBag4HighlightFrame","Frame","BankFrameBag4","","","","","","","","","","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameBag5","Button","BankFrame","","","","","TOPLEFT","BankFrameBag4","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameBag5HighlightFrame","Frame","BankFrameBag5","","","","","","","","","","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameBag6","Button","BankFrame","","","","","TOPLEFT","BankFrameBag5","TOPRIGHT","12","0","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFrameBag6HighlightFrame","Frame","BankFrameBag6","","","","","","","","","","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFramePurchaseInfo","Frame","BankFrame","27","325","300","72","CENTER","BankFrame","CENTER","-15","-105","","","","","","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","",""
"bank","BankFramePurchaseInfo/FontString","FontString","BankFramePurchaseInfo","47","341","280","0","CENTER","","","10","20","","GameFontHighlight","Fonts\FRIZQT__.TTF","12","#FFFFFFFF","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"bank","BankFrameSlotCost","FontString","BankFramePurchaseInfo","57","365","0","12","LEFT","","LEFT","30","-10","","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","BACKGROUND","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF",""
"bank","BankFramePurchaseInfoPurchaseButton","Button","BankFramePurchaseInfo","183","360.5","124","21","RIGHT","","RIGHT","-20","-10","Interface\Buttons\UI-Panel-Button-Up.blp","GameFontNormal","Fonts\FRIZQT__.TTF","12","#FFD100FF","","","","","","","","","interface.MPQ:Interface\FrameXML\BankFrame.xml","interface.MPQ:Interface\Buttons\UI-Panel-Button-Up.blp","fonts.MPQ:Fonts\FRIZQT__.TTF",""
