panel,element,field,expected,actual,verdict
"mail","InboxCloseButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","InboxCloseButton","presence","PRESENT","ABSENT","DELTA"
"mail","InboxCloseButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","InboxCloseButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"mail","InboxCloseButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","InboxCloseButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"mail","InboxCloseButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","InboxCloseButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"mail","InboxCurrentPage","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","InboxCurrentPage","presence","PRESENT","ABSENT","DELTA"
"mail","InboxFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","InboxFrame","presence","PRESENT","ABSENT","DELTA"
"mail","InboxNextPageButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","InboxNextPageButton","presence","PRESENT","ABSENT","DELTA"
"mail","InboxNextPageButton/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","InboxNextPageButton/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"mail","InboxNextPageButton/FontString","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","InboxNextPageButton/FontString","presence","PRESENT","ABSENT","DELTA"
"mail","InboxNextPageButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","InboxNextPageButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"mail","InboxNextPageButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","InboxNextPageButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"mail","InboxNextPageButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","InboxNextPageButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"mail","InboxPrevPageButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","InboxPrevPageButton","presence","PRESENT","ABSENT","DELTA"
"mail","InboxPrevPageButton/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","InboxPrevPageButton/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"mail","InboxPrevPageButton/FontString","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","InboxPrevPageButton/FontString","presence","PRESENT","ABSENT","DELTA"
"mail","InboxPrevPageButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","InboxPrevPageButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"mail","InboxPrevPageButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","InboxPrevPageButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"mail","InboxPrevPageButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","InboxPrevPageButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"mail","InboxTitleText","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","InboxTitleText","presence","PRESENT","ABSENT","DELTA"
"mail","MailFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"mail","MailFrame","presence","PRESENT","PRESENT","PASS"
"mail","MailFrame","geometry","0|0|384|512","0|0|384|512","PASS"
"mail","MailFrame","anchor","TOPLEFT|||0|-104","ANCHOR:ABSOLUTE|||0|8","DELTA"
"mail","MailFrame","texture-path","||","||","PASS"
"mail","MailFrame","font","|","|","PASS"
"mail","MailFrame","color","","","PASS"
"mail","MailFrame","layer","|","IMGUI_WINDOW|IMGUI_HOST","DELTA"
"mail","MailFrame/Texture","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"mail","MailFrame/Texture","presence","PRESENT","PRESENT","PASS"
"mail","MailFrame/Texture","geometry","10|8|58|58","10|8|58|58","PASS"
"mail","MailFrame/Texture","anchor","TOPLEFT|||10|-8","TOPLEFT|MailFrame|TOPLEFT|10|-8","DELTA"
"mail","MailFrame/Texture","texture-path","Interface\MailFrame\Mail-Icon.blp||","Interface\MailFrame\Mail-Icon.blp||","PASS"
"mail","MailFrame/Texture","font","|","|","PASS"
"mail","MailFrame/Texture","color","","#FFFFFFFF","DELTA"
"mail","MailFrame/Texture","layer","|BACKGROUND","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"mail","MailFrameBotLeft","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"mail","MailFrameBotLeft","presence","PRESENT","PRESENT","PASS"
"mail","MailFrameBotLeft","geometry","0|256|256|256","0|256|256|256","PASS"
"mail","MailFrameBotLeft","anchor","TOPLEFT|MailFrameTopLeft|BOTTOMLEFT||","TOPLEFT|MailFrame|TOPLEFT|0|-256","DELTA"
"mail","MailFrameBotLeft","texture-path","Interface\ItemTextFrame\UI-ItemText-BotLeft.blp||","Interface\ItemTextFrame\UI-ItemText-BotLeft.blp||","PASS"
"mail","MailFrameBotLeft","font","|","|","PASS"
"mail","MailFrameBotLeft","color","","#FFFFFFFF","DELTA"
"mail","MailFrameBotLeft","layer","|BORDER","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"mail","MailFrameBotRight","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"mail","MailFrameBotRight","presence","PRESENT","PRESENT","PASS"
"mail","MailFrameBotRight","geometry","256|256|128|256","256|256|128|256","PASS"
"mail","MailFrameBotRight","anchor","TOPLEFT|MailFrameTopLeft|BOTTOMRIGHT||","TOPLEFT|MailFrame|TOPLEFT|256|-256","DELTA"
"mail","MailFrameBotRight","texture-path","Interface\Spellbook\UI-SpellbookPanel-BotRight.blp||","Interface\Spellbook\UI-SpellbookPanel-BotRight.blp||","PASS"
"mail","MailFrameBotRight","font","|","|","PASS"
"mail","MailFrameBotRight","color","","#FFFFFFFF","DELTA"
"mail","MailFrameBotRight","layer","|BORDER","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"mail","MailFrameTab1","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","MailFrameTab1","presence","PRESENT","ABSENT","DELTA"
"mail","MailFrameTab2","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"mail","MailFrameTab2","presence","PRESENT","ABSENT","DELTA"
"mail","MailFrameTopLeft","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"mail","MailFrameTopLeft","presence","PRESENT","PRESENT","PASS"
"mail","MailFrameTopLeft","geometry","0|0|256|256","0|0|256|256","PASS"
"mail","MailFrameTopLeft","anchor","TOPLEFT||||","TOPLEFT|MailFrame|TOPLEFT|0|-0","DELTA"
"mail","MailFrameTopLeft","texture-path","Interface\ItemTextFrame\UI-ItemText-TopLeft.blp||","Interface\ItemTextFrame\UI-ItemText-TopLeft.blp||","PASS"
"mail","MailFrameTopLeft","font","|","|","PASS"
"mail","MailFrameTopLeft","color","","#FFFFFFFF","DELTA"
"mail","MailFrameTopLeft","layer","|BORDER","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"mail","MailFrameTopRight","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
